#LIBRARY    JENDL-4.0
#REACTION   HE-4(N,TOT),SIG
#NUCLEUS    He-4
#MF         3
#MT         1
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       21.628       Lin-Lin
 1.1024E-05  20.6001      Lin-Lin
 1.21504E-05 19.6232      Lin-Lin
 1.33946E-05 18.6908      Lin-Lin
 1.47633E-05 17.8046      Lin-Lin
 1.6275E-05  16.9589      Lin-Lin
 1.79381E-05 16.1551      Lin-Lin
 1.97749E-05 15.388       Lin-Lin
 2.17956E-05 14.6589      Lin-Lin
 2.40274E-05 13.9631      Lin-Lin
 2.64826E-05 13.3018      Lin-Lin
 2.91943E-05 12.6708      Lin-Lin
 3.21775E-05 12.071       Lin-Lin
 3.54723E-05 11.4987      Lin-Lin
 3.9097E-05  10.9548      Lin-Lin
 4.31005E-05 10.4358      Lin-Lin
 4.75046E-05 9.94258      Lin-Lin
 5.2369E-05  9.47197      Lin-Lin
 5.77202E-05 9.02474      Lin-Lin
 6.36306E-05 8.59803      Lin-Lin
 7.01326E-05 8.19255      Lin-Lin
 7.73139E-05 7.80572      Lin-Lin
 8.52142E-05 7.43813      Lin-Lin
 9.39398E-05 7.08748      Lin-Lin
 0.000103539 6.75432      Lin-Lin
 0.000114141 6.43652      Lin-Lin
 0.000125804 6.13461      Lin-Lin
 0.000138686 5.84666      Lin-Lin
 0.000152858 5.57313      Lin-Lin
 0.00016851  5.31228      Lin-Lin
 0.000185729 5.06454      Lin-Lin
 0.000204747 4.82833      Lin-Lin
 0.000225669 4.60402      Lin-Lin
 0.000248777 4.39018      Lin-Lin
 0.000274198 4.18718      Lin-Lin
 0.000302275 3.9937       Lin-Lin
 0.000333162 3.81007      Lin-Lin
 0.000367277 3.63511      Lin-Lin
 0.000404807 3.4691       Lin-Lin
 0.000446258 3.31099      Lin-Lin
 0.000491858 3.16103      Lin-Lin
 0.000542223 3.01826      Lin-Lin
 0.000597629 2.88292      Lin-Lin
 0.000658824 2.75413      Lin-Lin
 0.000726145 2.63211      Lin-Lin
 0.000800501 2.51608      Lin-Lin
 0.000882299 2.40621      Lin-Lin
 0.000972643 2.30181      Lin-Lin
 0.00107203  2.20304      Lin-Lin
 0.0011818   2.10927      Lin-Lin
 0.00130256  2.02065      Lin-Lin
 0.00143594  1.9366       Lin-Lin
 0.00158267  1.85725      Lin-Lin
 0.00174474  1.78209      Lin-Lin
 0.00192302  1.71123      Lin-Lin
 0.00211993  1.64422      Lin-Lin
 0.00236952  1.57237      Lin-Lin
 0.00264849  1.50524      Lin-Lin
 0.0029603   1.44263      Lin-Lin
 0.00330883  1.38429      Lin-Lin
 0.00369839  1.33003      Lin-Lin
 0.00413382  1.27965      Lin-Lin
 0.00462051  1.23294      Lin-Lin
 0.00516449  1.18973      Lin-Lin
 0.00577253  1.14983      Lin-Lin
 0.00654191  1.10871      Lin-Lin
 0.00741527  1.07127      Lin-Lin
 0.0084036   1.03737      Lin-Lin
 0.00952551  1.00668      Lin-Lin
 0.0109474   0.976151     Lin-Lin
 0.0125815   0.949059     Lin-Lin
 0.0144596   0.925103     Lin-Lin
 0.0168492   0.90204      Lin-Lin
 0.0199107   0.880353     Lin-Lin
 0.0235285   0.861863     Lin-Lin
 0.0250875   0.855517     Lin-Lin
 0.0253      0.854712     Lin-Lin
 0.0307406   0.837859     Lin-Lin
 0.0378782   0.823061     Lin-Lin
 0.0479806   0.809631     Lin-Lin
 0.0625045   0.797927     Lin-Lin
