#LIBRARY    JENDL-4.0
#REACTION   K-39(N,EL)K-39-L0,SIG
#NUCLEUS    K-39
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       18.9131      Lin-Lin
 1.10304E-05 18.0175      Lin-Lin
 1.21669E-05 17.1652      Lin-Lin
 1.34206E-05 16.3541      Lin-Lin
 1.48034E-05 15.5824      Lin-Lin
 1.63286E-05 14.8482      Lin-Lin
 1.80111E-05 14.1497      Lin-Lin
 1.99487E-05 13.458       Lin-Lin
 2.20041E-05 12.8273      Lin-Lin
 2.42713E-05 12.2273      Lin-Lin
 2.67722E-05 11.6568      Lin-Lin
 2.95307E-05 11.1142      Lin-Lin
 3.25735E-05 10.5984      Lin-Lin
 3.59297E-05 10.1081      Lin-Lin
 3.96318E-05 9.64205      Lin-Lin
 4.37154E-05 9.19915      Lin-Lin
 4.82197E-05 8.77837      Lin-Lin
 5.35606E-05 8.35099      Lin-Lin
 5.94961E-05 7.94643      Lin-Lin
 6.60861E-05 7.56394      Lin-Lin
 7.34096E-05 7.20212      Lin-Lin
 8.15407E-05 6.86027      Lin-Lin
 9.05769E-05 6.53714      Lin-Lin
 0.000100609 6.23212      Lin-Lin
 0.000111759 5.94406      Lin-Lin
 0.000124138 5.67244      Lin-Lin
 0.000137894 5.41623      Lin-Lin
 0.000153168 5.17492      Lin-Lin
 0.000170142 4.94762      Lin-Lin
 0.000188987 4.73388      Lin-Lin
 0.00020993  4.53287      Lin-Lin
 0.000233183 4.34419      Lin-Lin
 0.000259024 4.16711      Lin-Lin
 0.000289744 3.99054      Lin-Lin
 0.000324107 3.82602      Lin-Lin
 0.000362546 3.67296      Lin-Lin
 0.000405543 3.53081      Lin-Lin
 0.00045364  3.399        Lin-Lin
 0.000510996 3.26975      Lin-Lin
 0.000575631 3.15092      Lin-Lin
 0.000648411 3.04205      Lin-Lin
 0.000735544 2.9369       Lin-Lin
 0.000834387 2.84155      Lin-Lin
 0.000953189 2.7508       Lin-Lin
 0.00108885  2.66952      Lin-Lin
 0.0012526   2.59335      Lin-Lin
 0.00145114  2.52284      Lin-Lin
 0.00169291  2.45839      Lin-Lin
 0.00198881  2.4002       Lin-Lin
 0.00236951  2.34629      Lin-Lin
 0.00286276  2.2975       Lin-Lin
 0.00350767  2.25428      Lin-Lin
 0.00438902  2.2157       Lin-Lin
 0.00564787  2.18146      Lin-Lin
 0.00752665  2.15166      Lin-Lin
 0.0104615   2.12652      Lin-Lin
 0.015595    2.1053       Lin-Lin
 0.0252051   2.08881      Lin-Lin
 0.0253      2.08871      Lin-Lin
 0.0485345   2.07594      Lin-Lin
 0.128499    2.06723      Lin-Lin
 0.919926    2.06215      Lin-Lin
 172.276     1.94604      Lin-Lin
 372.274     1.82642      Lin-Lin
 582.159     1.71549      Lin-Lin
 802.291     1.61268      Lin-Lin
 1036.7      1.51589      Lin-Lin
 1101.57     1.49218      Lin-Lin
 1104.95     1.49579      Lin-Lin
 1107.82     1.51223      Lin-Lin
 1107.96     1.5123       Lin-Lin
 1109.04     1.50768      Lin-Lin
 1111.05     1.49347      Lin-Lin
 1114.03     1.48767      Lin-Lin
 1296.81     1.42128      Lin-Lin
 1558.19     1.33752      Lin-Lin
 1830.24     1.26027      Lin-Lin
 2122.74     1.18671      Lin-Lin
 2434.05     1.11711      Lin-Lin
 2784.89     1.04784      Lin-Lin
 3158.6      0.982715     Lin-Lin
 3259.14     0.967715     Lin-Lin
 3261.46     0.967679     Lin-Lin
 3269.74     0.96998      Lin-Lin
 3272.15     0.97362      Lin-Lin
 3273.7      0.97959      Lin-Lin
 3274.73     0.988071     Lin-Lin
 3275.62     1.00156      Lin-Lin
 3276.38     1.02016      Lin-Lin
 3276.98     1.04067      Lin-Lin
 3277.63     1.06923      Lin-Lin
 3278.45     1.11289      Lin-Lin
 3279.48     1.16834      Lin-Lin
 3280.09     1.19366      Lin-Lin
 3280.48     1.20369      Lin-Lin
 3280.93     1.2088       Lin-Lin
 3281        1.20888      Lin-Lin
 3281.44     1.20509      Lin-Lin
 3281.86     1.19477      Lin-Lin
 3282.48     1.16971      Lin-Lin
 3283.3      1.12589      Lin-Lin
 3284.13     1.08058      Lin-Lin
 3284.8      1.04868      Lin-Lin
 3285.31     1.02869      Lin-Lin
 3285.97     1.00908      Lin-Lin
 3286.77     0.992934     Lin-Lin
 3287.69     0.981909     Lin-Lin
 3289.23     0.972827     Lin-Lin
 3291.29     0.967784     Lin-Lin
 3298.49     0.962248     Lin-Lin
 3346.83     0.95281      Lin-Lin
 3729.94     0.896463     Lin-Lin
 4185.02     0.836668     Lin-Lin
 4676.15     0.778642     Lin-Lin
 5266.72     0.714949     Lin-Lin
 6601.5      0.579415     Lin-Lin
 6984.21     0.537356     Lin-Lin
 7262.55     0.503801     Lin-Lin
 7494.2      0.472788     Lin-Lin
 7686.3      0.444008     Lin-Lin
 7855.8      0.415606     Lin-Lin
 7991.4      0.390077     Lin-Lin
 8104.4      0.366534     Lin-Lin
 8194.8      0.34583      Lin-Lin
 8285.2      0.3232       Lin-Lin
 8375.6      0.298323     Lin-Lin
 8443.4      0.277998     Lin-Lin
 8511.2      0.256099     Lin-Lin
 8579        0.232536     Lin-Lin
 8646.8      0.207319     Lin-Lin
 8725.9      0.176138     Lin-Lin
 8805        0.144354     Lin-Lin
 8838.9      0.131317     Lin-Lin
 8864.33     0.122196     Lin-Lin
 8881.28     0.116603     Lin-Lin
 8898.22     0.11155      Lin-Lin
 8915.17     0.1072       Lin-Lin
 8927.89     0.104517     Lin-Lin
 8940.6      0.102435     Lin-Lin
 8950.13     0.101357     Lin-Lin
 8959.67     0.100794     Lin-Lin
 8966.03     0.100667     Lin-Lin
 8975.56     0.101026     Lin-Lin
 8985.09     0.102075     Lin-Lin
 8994.63     0.103929     Lin-Lin
 9000.98     0.105665     Lin-Lin
 9007.34     0.107843     Lin-Lin
 9013.7      0.110509     Lin-Lin
 9020.05     0.113722     Lin-Lin
 9026.41     0.11753      Lin-Lin
 9032.77     0.121992     Lin-Lin
 9039.12     0.127176     Lin-Lin
 9045.48     0.133156     Lin-Lin
 9051.83     0.140016     Lin-Lin
 9058.19     0.147847     Lin-Lin
 9064.55     0.156753     Lin-Lin
 9069.49     0.164497     Lin-Lin
 9074.79     0.173661     Lin-Lin
 9080.08     0.183801     Lin-Lin
 9085.38     0.195013     Lin-Lin
 9090.68     0.207393     Lin-Lin
 9095.97     0.221053     Lin-Lin
 9100.74     0.234542     Lin-Lin
 9105.51     0.24927      Lin-Lin
 9110.28     0.265349     Lin-Lin
 9115.04     0.282884     Lin-Lin
 9119.81     0.30201      Lin-Lin
 9124.79     0.323848     Lin-Lin
 9129.88     0.348305     Lin-Lin
 9134.96     0.375158     Lin-Lin
 9140.04     0.404654     Lin-Lin
 9145.13     0.437071     Lin-Lin
 9150.21     0.47272      Lin-Lin
 9155.3      0.511952     Lin-Lin
 9160.38     0.555166     Lin-Lin
 9165.47     0.602811     Lin-Lin
 9170.55     0.655399     Lin-Lin
 9175.64     0.713512     Lin-Lin
 9180.3      0.772203     Lin-Lin
 9184.96     0.836679     Lin-Lin
 9189.62     0.9076       Lin-Lin
 9194.29     0.985666     Lin-Lin
 9198.95     1.0716       Lin-Lin
 9203.33     1.16057      Lin-Lin
 9207.56     1.25529      Lin-Lin
 9211.8      1.35936      Lin-Lin
 9216.04     1.47387      Lin-Lin
 9220.28     1.60008      Lin-Lin
 9224.37     1.73458      Lin-Lin
 9228.18     1.87218      Lin-Lin
 9232        2.02316      Lin-Lin
 9235.81     2.18912      Lin-Lin
 9239.63     2.37189      Lin-Lin
 9243.44     2.5736       Lin-Lin
 9247.25     2.79673      Lin-Lin
 9251.07     3.04419      Lin-Lin
 9253.61     3.2243       Lin-Lin
 9256.15     3.41774      Lin-Lin
 9258.7      3.62571      Lin-Lin
 9261.24     3.84962      Lin-Lin
 9263.78     4.09099      Lin-Lin
 9267.08     4.43355      Lin-Lin
 9270.39     4.81258      Lin-Lin
 9272.59     5.08819      Lin-Lin
 9274.8      5.38426      Lin-Lin
 9277        5.70262      Lin-Lin
 9279.2      6.0452       Lin-Lin
 9281.41     6.41424      Lin-Lin
