#LIBRARY    JENDL/HE-2007
#REACTION   MN-55(N,EL)MN-55-L0,SIG
#NUCLEUS    Mn-55
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       16.7696      Lin-Lin
 1.10304E-05 15.9788      Lin-Lin
 1.21669E-05 15.2265      Lin-Lin
 1.34206E-05 14.5108      Lin-Lin
 1.48034E-05 13.8299      Lin-Lin
 1.63286E-05 13.1823      Lin-Lin
 1.80111E-05 12.5664      Lin-Lin
 1.98669E-05 11.9807      Lin-Lin
 2.19139E-05 11.4238      Lin-Lin
 2.41719E-05 10.8944      Lin-Lin
 2.66625E-05 10.3911      Lin-Lin
 2.94097E-05 9.91286      Lin-Lin
 3.244E-05   9.45838      Lin-Lin
 3.57825E-05 9.02662      Lin-Lin
 3.97479E-05 8.58794      Lin-Lin
 4.41505E-05 8.17313      Lin-Lin
 4.90431E-05 7.78065      Lin-Lin
 5.44753E-05 7.40976      Lin-Lin
 6.05121E-05 7.05909      Lin-Lin
 6.72147E-05 6.72799      Lin-Lin
 7.46633E-05 6.41522      Lin-Lin
 8.29332E-05 6.12019      Lin-Lin
 9.21237E-05 5.8418       Lin-Lin
 0.000102328 5.57951      Lin-Lin
 0.000113667 5.33235      Lin-Lin
 0.000126257 5.09981      Lin-Lin
 0.000140249 4.88102      Lin-Lin
 0.000155784 4.67554      Lin-Lin
 0.000173047 4.48257      Lin-Lin
 0.00019357  4.29002      Lin-Lin
 0.000216528 4.11048      Lin-Lin
 0.000242208 3.94332      Lin-Lin
 0.000270933 3.78793      Lin-Lin
 0.000303065 3.64371      Lin-Lin
 0.000341383 3.50213      Lin-Lin
 0.000384565 3.37183      Lin-Lin
 0.000433187 3.25229      Lin-Lin
 0.000491399 3.13669      Lin-Lin
 0.000557433 3.03171      Lin-Lin
 0.000632341 2.93666      Lin-Lin
 0.000722375 2.84635      Lin-Lin
 0.000831009 2.7616       Lin-Lin
 0.000962676 2.68303      Lin-Lin
 0.00112307  2.61106      Lin-Lin
 0.00131943  2.54596      Lin-Lin
 0.00156098  2.4878       Lin-Lin
 0.00187281  2.43457      Lin-Lin
 0.00227864  2.38694      Lin-Lin
 0.0028312   2.34395      Lin-Lin
 0.00359256  2.30635      Lin-Lin
 0.00472126  2.27293      Lin-Lin
 0.00642558  2.24471      Lin-Lin
 0.0092492   2.22085      Lin-Lin
 0.0144811   2.20126      Lin-Lin
 0.0252419   2.18652      Lin-Lin
 0.0253      2.18648      Lin-Lin
 0.0562245   2.17572      Lin-Lin
 0.217305    2.16997      Lin-Lin
 0.304154    2.16978      Lin-Lin
 10.7531     2.22998      Lin-Lin
 23.0749     2.31789      Lin-Lin
 34.6406     2.41809      Lin-Lin
 45.205      2.52723      Lin-Lin
 54.6152     2.64189      Lin-Lin
 63.7149     2.76948      Lin-Lin
 72.2769     2.90923      Lin-Lin
 80.2865     3.05732      Lin-Lin
 87.9387     3.21971      Lin-Lin
 94.3195     3.37164      Lin-Lin
 100.46      3.53302      Lin-Lin
 106.994     3.726        Lin-Lin
 113.959     3.95514      Lin-Lin
 120.528     4.20039      Lin-Lin
 126.582     4.45382      Lin-Lin
 132.015     4.70554      Lin-Lin
 137.682     4.99698      Lin-Lin
 142.593     5.27453      Lin-Lin
 148.714     5.66245      Lin-Lin
 154.011     6.03603      Lin-Lin
 159.505     6.4668       Lin-Lin
 164.037     6.86178      Lin-Lin
 168.698     7.31006      Lin-Lin
 173.492     7.8186       Lin-Lin
 178.422     8.39993      Lin-Lin
 182.206     8.8963       Lin-Lin
 186.08      9.44301      Lin-Lin
 190.027     10.0582      Lin-Lin
 194.068     10.7456      Lin-Lin
 198.184     11.5224      Lin-Lin
 202.398     12.4038      Lin-Lin
 205.253     13.0559      Lin-Lin
 208.149     13.7687      Lin-Lin
 211.086     14.5513      Lin-Lin
 214.064     15.4084      Lin-Lin
 217.084     16.3519      Lin-Lin
