#LIBRARY    JENDL-4.0
#REACTION   N-14(N,EL)N-14-L0,SIG
#NUCLEUS    N-14
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       152.494      Lin-Lin
 1.1024E-05  145.266      Lin-Lin
 1.21504E-05 138.397      Lin-Lin
 1.33946E-05 131.843      Lin-Lin
 1.47633E-05 125.614      Lin-Lin
 1.6275E-05  119.671      Lin-Lin
 1.79381E-05 114.023      Lin-Lin
 1.97749E-05 108.635      Lin-Lin
 2.17956E-05 103.515      Lin-Lin
 2.40274E-05 98.6303      Lin-Lin
 2.64826E-05 93.9891      Lin-Lin
 2.91943E-05 89.5617      Lin-Lin
 3.21775E-05 85.3553      Lin-Lin
 3.54723E-05 81.3432      Lin-Lin
 3.9097E-05  77.5317      Lin-Lin
 4.31005E-05 73.8967      Lin-Lin
 4.75046E-05 70.444       Lin-Lin
 5.2369E-05  67.1516      Lin-Lin
 5.77202E-05 64.0248      Lin-Lin
 6.36306E-05 61.0437      Lin-Lin
 7.01326E-05 58.2132      Lin-Lin
 7.73139E-05 55.5152      Lin-Lin
 8.52142E-05 52.954       Lin-Lin
 9.39398E-05 50.5133      Lin-Lin
 0.000103539 48.1971      Lin-Lin
 0.000114141 45.9906      Lin-Lin
 0.000125804 43.8974      Lin-Lin
 0.000138686 41.9041      Lin-Lin
 0.000152858 40.0138      Lin-Lin
 0.00016851  38.2146      Lin-Lin
 0.000185729 36.5094      Lin-Lin
 0.000204747 34.8872      Lin-Lin
 0.000225669 33.3506      Lin-Lin
 0.000248777 31.8899      Lin-Lin
 0.000274198 30.5073      Lin-Lin
 0.000302275 29.1939      Lin-Lin
 0.000333162 27.9519      Lin-Lin
 0.000367277 26.7733      Lin-Lin
 0.000404807 25.6598      Lin-Lin
 0.000446258 24.6043      Lin-Lin
 0.000491858 23.6085      Lin-Lin
 0.000542223 22.6658      Lin-Lin
 0.000597629 21.7777      Lin-Lin
 0.000658824 20.9384      Lin-Lin
 0.00073639  20.0391      Lin-Lin
 0.000823088 19.2         Lin-Lin
 0.000919993 18.4179      Lin-Lin
 0.00102831  17.6902      Lin-Lin
 0.00114937  17.0141      Lin-Lin
 0.00128469  16.3871      Lin-Lin
 0.00143594  15.8068      Lin-Lin
 0.001605    15.2707      Lin-Lin
 0.00181892  14.7179      Lin-Lin
 0.00206175  14.2141      Lin-Lin
 0.00233655  13.7578      Lin-Lin
 0.00264849  13.3443      Lin-Lin
 0.00300149  12.9721      Lin-Lin
 0.00344953  12.6021      Lin-Lin
 0.00396444  12.2746      Lin-Lin
 0.00462051  11.9587      Lin-Lin
 0.00538409  11.6848      Lin-Lin
 0.00636239  11.428       Lin-Lin
 0.00762451  11.1926      Lin-Lin
 0.00926411  10.9819      Lin-Lin
 0.0115739   10.7861      Lin-Lin
 0.0146608   10.6206      Lin-Lin
 0.0193643   10.4699      Lin-Lin
 0.0250875   10.3627      Lin-Lin
 0.0253      10.3596      Lin-Lin
 0.0363262   10.2505      Lin-Lin
 0.0566987   10.1605      Lin-Lin
 0.100311    10.0907      Lin-Lin
 0.224803    10.0405      Lin-Lin
 0.942138    9.99604      Lin-Lin
 1.10216     9.88475      Lin-Lin
 1.19812     9.87391      Lin-Lin
 4.13258     9.93537      Lin-Lin
 10.1426     9.98542      Lin-Lin
 51.6481     9.92907      Lin-Lin
 105.015     9.88285      Lin-Lin
 166.191     9.69114      Lin-Lin
 252.276     9.51914      Lin-Lin
 355.985     9.38011      Lin-Lin
 540.382     9.18837      Lin-Lin
 675.114     9.03227      Lin-Lin
 910.751     8.82299      Lin-Lin
 1086.96     8.71338      Lin-Lin
 1453.94     8.55264      Lin-Lin
 1815.52     8.43494      Lin-Lin
 2364.62     8.29129      Lin-Lin
 3065.87     8.15781      Lin-Lin
 4832.65     7.99417      Lin-Lin
 7272.13     7.81762      Lin-Lin
 10141.1     7.65462      Lin-Lin
 12382.5     7.41498      Lin-Lin
 14753.5     7.21091      Lin-Lin
 17016.1     7.04827      Lin-Lin
 20282.2     6.85453      Lin-Lin
 24918.5     6.65419      Lin-Lin
 36564.2     6.24462      Lin-Lin
 43013.4     6.06168      Lin-Lin
 50004       5.89278      Lin-Lin
 55776       5.64253      Lin-Lin
 60846.5     5.44976      Lin-Lin
 68119.3     5.20851      Lin-Lin
 78593.4     4.89321      Lin-Lin
 87386.9     4.66756      Lin-Lin
 97034.6     4.45444      Lin-Lin
 100154      4.38364      Lin-Lin
 112184      4.07874      Lin-Lin
 156099      3.83199      Lin-Lin
 202835      3.46627      Lin-Lin
 243927      3.17989      Lin-Lin
 265884      3.08545      Lin-Lin
 287842      3.05326      Lin-Lin
 318244      2.95153      Lin-Lin
 348646      2.753        Lin-Lin
 378999      2.63759      Lin-Lin
 417051      2.54903      Lin-Lin
 419585      2.50499      Lin-Lin
 422079      2.58462      Lin-Lin
 423385      2.69521      Lin-Lin
 424652      2.86046      Lin-Lin
 425918      3.09029      Lin-Lin
 427185      3.39295      Lin-Lin
 428452      3.77665      Lin-Lin
 429719      4.25104      Lin-Lin
 430352      4.59004      Lin-Lin
