#LIBRARY    JENDL-4.0/HE
#REACTION   NA-23(N,EL)NA-23-L0,SIG
#NUCLEUS    Na-23
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       36.0275      Lin-Lin
 1.10304E-05 34.3141      Lin-Lin
 1.21669E-05 32.6832      Lin-Lin
 1.34206E-05 31.131       Lin-Lin
 1.48034E-05 29.6536      Lin-Lin
 1.63286E-05 28.2475      Lin-Lin
 1.80111E-05 26.9093      Lin-Lin
 1.98669E-05 25.6359      Lin-Lin
 2.19139E-05 24.424       Lin-Lin
 2.41719E-05 23.271       Lin-Lin
 2.66625E-05 22.1738      Lin-Lin
 2.94097E-05 21.13        Lin-Lin
 3.244E-05   20.137       Lin-Lin
 3.57825E-05 19.1924      Lin-Lin
 3.94694E-05 18.2939      Lin-Lin
 4.35362E-05 17.4394      Lin-Lin
 4.80221E-05 16.6269      Lin-Lin
 5.29701E-05 15.8543      Lin-Lin
 5.8428E-05  15.1198      Lin-Lin
 6.44482E-05 14.4216      Lin-Lin
 7.10888E-05 13.7581      Lin-Lin
 7.84136E-05 13.1277      Lin-Lin
 8.71032E-05 12.487       Lin-Lin
 9.6751E-05  11.881       Lin-Lin
 0.000107473 11.3075      Lin-Lin
 0.000119377 10.7654      Lin-Lin
 0.000132606 10.2526      Lin-Lin
 0.000147294 9.76835      Lin-Lin
 0.000163617 9.31068      Lin-Lin
 0.000181739 8.87882      Lin-Lin
 0.000201879 8.47111      Lin-Lin
 0.00022424  8.08677      Lin-Lin
 0.00024909  7.72439      Lin-Lin
 0.00027668  7.38324      Lin-Lin
 0.000307341 7.06205      Lin-Lin
 0.000341383 6.76017      Lin-Lin
 0.000379215 6.47643      Lin-Lin
 0.000421218 6.21027      Lin-Lin
 0.000471174 5.94462      Lin-Lin
 0.000527054 5.69698      Lin-Lin
 0.000589562 5.46646      Lin-Lin
 0.000659484 5.25223      Lin-Lin
 0.000737698 5.05346      Lin-Lin
 0.000831009 4.85831      Lin-Lin
 0.000936077 4.67893      Lin-Lin
 0.00105448  4.51428      Lin-Lin
 0.00119618  4.3552       Lin-Lin
 0.00135693  4.21079      Lin-Lin
 0.00155005  4.07325      Lin-Lin
 0.00177075  3.94985      Lin-Lin
 0.00203704  3.83412      Lin-Lin
 0.0023598   3.7269       Lin-Lin
 0.00275297  3.62876      Lin-Lin
 0.00323431  3.54005      Lin-Lin
 0.00382643  3.46083      Lin-Lin
 0.00459081  3.38837      Lin-Lin
 0.0055856   3.32353      Lin-Lin
 0.0069401   3.26503      Lin-Lin
 0.00886852  3.21254      Lin-Lin
 0.0116543   3.16738      Lin-Lin
 0.0159732   3.12851      Lin-Lin
 0.0231534   3.09598      Lin-Lin
 0.0252419   3.08999      Lin-Lin
 0.0253      3.08984      Lin-Lin
