#LIBRARY    JENDL-4.0/HE
#REACTION   NI-58(N,EL)NI-58-L0,SIG
#NUCLEUS    Ni-58
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 1E-05       187.023      Lin-Lin
 1.10304E-05 178.211      Lin-Lin
 1.21669E-05 169.828      Lin-Lin
 1.34206E-05 161.852      Lin-Lin
 1.48034E-05 154.266      Lin-Lin
 1.63286E-05 147.051      Lin-Lin
 1.80947E-05 139.874      Lin-Lin
 1.99591E-05 133.365      Lin-Lin
 2.20157E-05 127.176      Lin-Lin
 2.42841E-05 121.294      Lin-Lin
 2.67863E-05 115.702      Lin-Lin
 2.95462E-05 110.389      Lin-Lin
 3.25906E-05 105.34       Lin-Lin
 3.62004E-05 100.213      Lin-Lin
 4.02121E-05 95.3594      Lin-Lin
 4.46661E-05 90.7708      Lin-Lin
 4.96159E-05 86.4301      Lin-Lin
 5.51115E-05 82.3292      Lin-Lin
 6.12189E-05 78.4528      Lin-Lin
 6.79997E-05 74.7938      Lin-Lin
 7.55353E-05 71.3384      Lin-Lin
 8.39018E-05 68.0802      Lin-Lin
 9.31996E-05 65.0069      Lin-Lin
 0.000103523 62.1125      Lin-Lin
 0.000114995 59.3862      Lin-Lin
 0.000127732 56.8227      Lin-Lin
 0.000141887 54.412       Lin-Lin
 0.000157603 52.1492      Lin-Lin
 0.000175068 50.0256      Lin-Lin
 0.000195831 47.9083      Lin-Lin
 0.000219057 45.9355      Lin-Lin
 0.000245036 44.1005      Lin-Lin
 0.000274097 42.3962      Lin-Lin
 0.000306605 40.8161      Lin-Lin
 0.00034537  39.2666      Lin-Lin
 0.000389056 37.8425      Lin-Lin
 0.000438246 36.5377      Lin-Lin
 0.000497138 35.2777      Lin-Lin
 0.000563943 34.1352      Lin-Lin
 0.000644239 33.0479      Lin-Lin
 0.000735931 32.0743      Lin-Lin
 0.000846603 31.162       Lin-Lin
 0.000980789 30.3176      Lin-Lin
 0.0011442   29.546       Lin-Lin
 0.00134419  28.8493      Lin-Lin
 0.0016015   28.2039      Lin-Lin
 0.00193488  27.6199      Lin-Lin
 0.00237075  27.1026      Lin-Lin
 0.00296644  26.6409      Lin-Lin
 0.00381726  26.2311      Lin-Lin
 0.00508709  25.8744      Lin-Lin
 0.00712021  25.5682      Lin-Lin
 0.0106147   25.316       Lin-Lin
 0.0174537   25.1147      Lin-Lin
 0.0252117   25.0185      Lin-Lin
 0.0253      25.0177      Lin-Lin
 0.0578221   24.8964      Lin-Lin
 0.243077    24.8239      Lin-Lin
 377.526     23.6735      Lin-Lin
 997.115     21.9795      Lin-Lin
 1652.28     20.3667      Lin-Lin
 2352.79     18.8046      Lin-Lin
 3119.69     17.2479      Lin-Lin
 3951.61     15.6966      Lin-Lin
 4907.54     14.0437      Lin-Lin
 6167.27     11.9941      Lin-Lin
 6898        10.8366      Lin-Lin
 6902.45     10.8624      Lin-Lin
 6906.3      10.9303      Lin-Lin
 6909.08     10.8803      Lin-Lin
 6912.31     10.821       Lin-Lin
 8302.64     8.57578      Lin-Lin
 9008.8      7.38174      Lin-Lin
 9531.06     6.45681      Lin-Lin
 9962.11     5.65877      Lin-Lin
 10340       4.9285       Lin-Lin
 10708.8     4.18519      Lin-Lin
 11079       3.41138      Lin-Lin
 11520.4     2.45865      Lin-Lin
 11888.3     1.66081      Lin-Lin
 12053.8     1.31141      Lin-Lin
 12135.6     1.14392      Lin-Lin
 12228.7     0.957699     Lin-Lin
 12295.2     0.829729     Lin-Lin
 12345.7     0.735424     Lin-Lin
 12393.6     0.649002     Lin-Lin
 12437       0.573262     Lin-Lin
 12468       0.521022     Lin-Lin
 12513.3     0.447299     Lin-Lin
 12545.2     0.397787     Lin-Lin
 12578.2     0.348914     Lin-Lin
 12603.8     0.312968     Lin-Lin
 12618.9     0.292842     Lin-Lin
 12626.9     0.283315     Lin-Lin
 12630.3     0.280665     Lin-Lin
 12630.7     0.280587     Lin-Lin
 12632       0.281208     Lin-Lin
 12632.9     0.282712     Lin-Lin
 12633.7     0.285369     Lin-Lin
 12634.5     0.289326     Lin-Lin
 12635.2     0.294054     Lin-Lin
 12636.1     0.301815     Lin-Lin
 12638.2     0.324052     Lin-Lin
 12639       0.330729     Lin-Lin
 12639.8     0.334506     Lin-Lin
 12640.4     0.335533     Lin-Lin
 12641       0.334176     Lin-Lin
 12641.6     0.330386     Lin-Lin
