#LIBRARY    JENDL-4.0
#REACTION   O-16(N,EL)O-16-L0,SIG
#NUCLEUS    O-16
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       54.8163      Lin-Lin
 1.1024E-05  52.2195      Lin-Lin
 1.21504E-05 49.7517      Lin-Lin
 1.33946E-05 47.3971      Lin-Lin
 1.47633E-05 45.1594      Lin-Lin
 1.6275E-05  43.0246      Lin-Lin
 1.79381E-05 40.9958      Lin-Lin
 1.97749E-05 39.0604      Lin-Lin
 2.17956E-05 37.2213      Lin-Lin
 2.40274E-05 35.4669      Lin-Lin
 2.64826E-05 33.8001      Lin-Lin
 2.91943E-05 32.2102      Lin-Lin
 3.21775E-05 30.6997      Lin-Lin
 3.54723E-05 29.2592      Lin-Lin
 3.9097E-05  27.8907      Lin-Lin
 4.31005E-05 26.5858      Lin-Lin
 4.75046E-05 25.3464      Lin-Lin
 5.2369E-05  24.1648      Lin-Lin
 5.77202E-05 23.0427      Lin-Lin
 6.36306E-05 21.9731      Lin-Lin
 7.01326E-05 20.9576      Lin-Lin
 7.73139E-05 19.9898      Lin-Lin
 8.52142E-05 19.0713      Lin-Lin
 9.39398E-05 18.1962      Lin-Lin
 0.000103539 17.366       Lin-Lin
 0.000114141 16.5752      Lin-Lin
 0.000125804 15.8253      Lin-Lin
 0.000138686 15.1114      Lin-Lin
 0.000152858 14.4346      Lin-Lin
 0.00016851  13.7906      Lin-Lin
 0.000185729 13.1805      Lin-Lin
 0.000204747 12.6004      Lin-Lin
 0.000225669 12.0512      Lin-Lin
 0.000248777 11.5294      Lin-Lin
 0.000274198 11.0357      Lin-Lin
 0.000302275 10.5671      Lin-Lin
 0.000333162 10.1243      Lin-Lin
 0.000367277 9.70435      Lin-Lin
 0.000404807 9.30797      Lin-Lin
 0.000446258 8.93257      Lin-Lin
 0.000491858 8.57873      Lin-Lin
 0.000542223 8.24414      Lin-Lin
 0.00060606  7.88545      Lin-Lin
 0.000677414 7.55047      Lin-Lin
 0.000757168 7.23806      Lin-Lin
 0.000846312 6.94709      Lin-Lin
 0.000945952 6.67654      Lin-Lin
 0.00105732  6.42538      Lin-Lin
 0.0011818   6.19266      Lin-Lin
 0.00132094  5.97743      Lin-Lin
 0.00147646  5.77878      Lin-Lin
 0.00167325  5.57418      Lin-Lin
 0.00189663  5.38793      Lin-Lin
 0.00214942  5.2194       Lin-Lin
 0.00243638  5.06691      Lin-Lin
 0.00280006  4.91532      Lin-Lin
 0.00321803  4.78086      Lin-Lin
 0.00374984  4.65103      Lin-Lin
 0.00437039  4.53802      Lin-Lin
 0.00516449  4.43198      Lin-Lin
 0.00618779  4.33479      Lin-Lin
 0.00751843  4.24759      Lin-Lin
 0.00926411  4.17102      Lin-Lin
 0.0117349   4.10151      Lin-Lin
 0.0152871   4.04093      Lin-Lin
 0.0204725   3.99024      Lin-Lin
 0.0250875   3.96275      Lin-Lin
 0.0253      3.96173      Lin-Lin
 0.0373512   3.92271      Lin-Lin
 0.0607892   3.89113      Lin-Lin
 0.115285    3.86734      Lin-Lin
 0.301056    3.85096      Lin-Lin
 2.02527     3.84231      Lin-Lin
 99946.3     3.6481       Lin-Lin
 200000      3.50442      Lin-Lin
 300000      3.53685      Lin-Lin
 320000      3.62165      Lin-Lin
 340000      3.78637      Lin-Lin
 350000      3.92178      Lin-Lin
 359876      4.11398      Lin-Lin
 370000      4.40371      Lin-Lin
 380000      4.84206      Lin-Lin
 390000      5.53914      Lin-Lin
 395000      6.04283      Lin-Lin
 400000      6.69949      Lin-Lin
 405000      7.56177      Lin-Lin
 410000      8.69406      Lin-Lin
 415000      10.158       Lin-Lin
 420000      11.9636      Lin-Lin
 425000      13.9623      Lin-Lin
 430000      15.7144      Lin-Lin
 432000      16.1936      Lin-Lin
 434000      16.4824      Lin-Lin
 436000      16.5543      Lin-Lin
 438000      16.4035      Lin-Lin
 440000      16.0447      Lin-Lin
 442000      15.511       Lin-Lin
 444000      14.8474      Lin-Lin
 446000      14.0987      Lin-Lin
 450000      12.5154      Lin-Lin
 455000      10.6579      Lin-Lin
 460000      9.11281      Lin-Lin
 465000      7.89815      Lin-Lin
 470000      6.96197      Lin-Lin
 475000      6.2416       Lin-Lin
 480000      5.68328      Lin-Lin
 485000      5.24538      Lin-Lin
 490000      4.89751      Lin-Lin
 495000      4.61736      Lin-Lin
 500000      4.38898      Lin-Lin
 510000      4.04296      Lin-Lin
 520000      3.79654      Lin-Lin
 540000      3.4748       Lin-Lin
 560000      3.27615      Lin-Lin
 580000      3.14133      Lin-Lin
 600000      3.04312      Lin-Lin
 620000      2.96752      Lin-Lin
 650000      2.88081      Lin-Lin
 680000      2.81541      Lin-Lin
 700000      2.78061      Lin-Lin
 750000      2.72142      Lin-Lin
 800000      2.71282      Lin-Lin
 822573      2.73933      Lin-Lin
 850000      2.80897      Lin-Lin
 880000      2.98842      Lin-Lin
 900000      3.22173      Lin-Lin
 910000      3.39743      Lin-Lin
 920000      3.63147      Lin-Lin
 930000      3.94473      Lin-Lin
 940000      4.3638       Lin-Lin
 950000      4.91834      Lin-Lin
 960000      5.6291       Lin-Lin
 972500      6.69293      Lin-Lin
 980000      7.34443      Lin-Lin
 990000      8.00227      Lin-Lin
 1E+06       8.20022      Lin-Lin
 1.01E+06    7.87632      Lin-Lin
 1.02E+06    7.20827      Lin-Lin
 1.03E+06    6.43963      Lin-Lin
 1.04E+06    5.72646      Lin-Lin
