#LIBRARY    JENDL/HE-2007
#REACTION   PB-207(N,EL)PB-207-L0,SIG
#NUCLEUS    Pb-207
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1E-05       45.7978      Lin-Lin
 1.11082E-05 43.5776      Lin-Lin
 1.23386E-05 41.4786      Lin-Lin
 1.37059E-05 39.4929      Lin-Lin
 1.5224E-05  37.6167      Lin-Lin
 1.69111E-05 35.8432      Lin-Lin
 1.87842E-05 34.1689      Lin-Lin
 2.08659E-05 32.5877      Lin-Lin
 2.3177E-05  31.0966      Lin-Lin
 2.57455E-05 29.69        Lin-Lin
 2.85971E-05 28.3652      Lin-Lin
 3.17662E-05 27.1171      Lin-Lin
 3.52847E-05 25.9434      Lin-Lin
 3.91949E-05 24.8395      Lin-Lin
 4.35362E-05 23.8032      Lin-Lin
 4.83608E-05 22.8305      Lin-Lin
 5.40964E-05 21.8605      Lin-Lin
 6.05121E-05 20.9566      Lin-Lin
 6.76888E-05 20.1155      Lin-Lin
 7.57166E-05 19.3342      Lin-Lin
 8.46965E-05 18.6097      Lin-Lin
 9.54051E-05 17.8991      Lin-Lin
 0.000107473 17.2458      Lin-Lin
 0.000121061 16.647       Lin-Lin
 0.000137329 16.0686      Lin-Lin
 0.000155784 15.5441      Lin-Lin
 0.000177964 15.0447      Lin-Lin
 0.000203293 14.5974      Lin-Lin
 0.000233866 14.1782      Lin-Lin
 0.000269895 13.7996      Lin-Lin
 0.000314863 13.4435      Lin-Lin
 0.000369897 13.1221      Lin-Lin
 0.000440702 12.8242      Lin-Lin
 0.000532442 12.5546      Lin-Lin
 0.000652387 12.3158      Lin-Lin
 0.000816308 12.1027      Lin-Lin
 0.00105044  11.9136      Lin-Lin
 0.00139987  11.749       Lin-Lin
 0.00194572  11.6101      Lin-Lin
 0.00288032  11.4946      Lin-Lin
 0.00470317  11.4014      Lin-Lin
 0.00895918  11.3314      Lin-Lin
 0.0233901   11.2837      Lin-Lin
 0.0251936   11.2816      Lin-Lin
 0.0253      11.2815      Lin-Lin
 0.195626    11.2576      Lin-Lin
 3011        11.0944      Lin-Lin
 3050        11.1136      Lin-Lin
 3055.26     11.1569      Lin-Lin
 3057.02     11.205       Lin-Lin
 3058.32     11.2876      Lin-Lin
 3058.97     11.3724      Lin-Lin
 3059.43     11.4811      Lin-Lin
 3059.77     11.6325      Lin-Lin
 3059.96     11.7769      Lin-Lin
 3060.12     11.9536      Lin-Lin
 3060.29     12.2084      Lin-Lin
 3060.41     12.4714      Lin-Lin
 3060.53     12.8171      Lin-Lin
 3060.61     13.1046      Lin-Lin
 3060.69     13.4468      Lin-Lin
 3060.77     13.8519      Lin-Lin
 3060.85     14.3291      Lin-Lin
 3060.94     14.8875      Lin-Lin
 3061.02     15.5368      Lin-Lin
 3061.1      16.286       Lin-Lin
 3061.18     17.1439      Lin-Lin
 3061.26     18.139       Lin-Lin
 3061.35     19.2617      Lin-Lin
 3061.43     20.5167      Lin-Lin
 3061.51     21.9054      Lin-Lin
 3061.59     23.4265      Lin-Lin
 3061.69     25.276       Lin-Lin
 3061.78     27.3785      Lin-Lin
 3061.91     30.3862      Lin-Lin
 3062.25     38.6486      Lin-Lin
 3062.36     41.2143      Lin-Lin
 3062.46     43.3803      Lin-Lin
 3062.57     45.4292      Lin-Lin
 3062.68     47.0352      Lin-Lin
 3062.76     47.9816      Lin-Lin
 3062.83     48.6836      Lin-Lin
 3062.91     49.1208      Lin-Lin
 3063        49.3013      Lin-Lin
 3063.08     49.1691      Lin-Lin
 3063.15     48.8272      Lin-Lin
 3063.21     48.2924      Lin-Lin
 3063.3      47.3764      Lin-Lin
 3063.4      45.9494      Lin-Lin
 3063.48     44.4712      Lin-Lin
 3063.58     42.5191      Lin-Lin
 3063.68     40.2705      Lin-Lin
 3063.84     36.2811      Lin-Lin
 3064.07     30.7032      Lin-Lin
 3064.2      27.6772      Lin-Lin
 3064.3      25.5561      Lin-Lin
 3064.4      23.5919      Lin-Lin
 3064.5      21.8017      Lin-Lin
 3064.57     20.5789      Lin-Lin
 3064.64     19.4604      Lin-Lin
 3064.72     18.3385      Lin-Lin
 3064.79     17.5302      Lin-Lin
 3064.85     16.7981      Lin-Lin
 3064.92     16.1386      Lin-Lin
 3064.98     15.5475      Lin-Lin
 3065.08     14.7793      Lin-Lin
 3065.18     14.139       Lin-Lin
 3065.25     13.7329      Lin-Lin
 3065.33     13.3472      Lin-Lin
 3065.41     13.0218      Lin-Lin
 3065.53     12.6294      Lin-Lin
 3065.66     12.3298      Lin-Lin
 3065.78     12.1022      Lin-Lin
 3065.94     11.8816      Lin-Lin
 3066.1      11.7278      Lin-Lin
 3066.35     11.5763      Lin-Lin
 3066.67     11.4561      Lin-Lin
 3067.16     11.3546      Lin-Lin
 3067.81     11.2786      Lin-Lin
 3069.11     11.2019      Lin-Lin
 3071.84     11.1418      Lin-Lin
 3079.38     11.1045      Lin-Lin
 3297        11.0781      Lin-Lin
 10072.8     10.7233      Lin-Lin
 10147.1     10.7438      Lin-Lin
 10162.2     10.7941      Lin-Lin
 10169       10.8782      Lin-Lin
 10171.9     10.9653      Lin-Lin
 10173.6     11.051       Lin-Lin
 10175       11.1591      Lin-Lin
 10176       11.2841      Lin-Lin
 10177.1     11.4691      Lin-Lin
 10177.8     11.6768      Lin-Lin
 10178.3     11.8773      Lin-Lin
 10178.8     12.1257      Lin-Lin
 10179.1     12.3438      Lin-Lin
 10179.3     12.6269      Lin-Lin
 10179.6     13.0017      Lin-Lin
 10179.8     13.3197      Lin-Lin
 10180       13.708       Lin-Lin
 10180.2     14.0948      Lin-Lin
 10180.4     14.6474      Lin-Lin
 10180.6     15.3211      Lin-Lin
 10180.7     15.8489      Lin-Lin
 10180.8     16.4479      Lin-Lin
 10180.9     17.127       Lin-Lin
 10181.1     17.8933      Lin-Lin
 10181.2     18.6804      Lin-Lin
 10181.3     19.8959      Lin-Lin
 10181.4     20.8043      Lin-Lin
 10181.5     21.7954      Lin-Lin
 10181.6     22.875       Lin-Lin
 10181.8     24.6663      Lin-Lin
 10182       26.6706      Lin-Lin
 10182.1     28.8957      Lin-Lin
 10182.3     31.3405      Lin-Lin
 10182.4     33.9973      Lin-Lin
 10182.6     36.8568      Lin-Lin
 10182.8     40.9439      Lin-Lin
 10183.1     46.5296      Lin-Lin
 10183.6     57.6823      Lin-Lin
 10183.9     62.7397      Lin-Lin
 10184       65.8062      Lin-Lin
 10184.2     69.0386      Lin-Lin
 10184.4     71.4703      Lin-Lin
 10184.6     73.2431      Lin-Lin
 10184.8     74.4212      Lin-Lin
 10184.9     74.9617      Lin-Lin
 10185       75.0067      Lin-Lin
 10185.2     74.7466      Lin-Lin
 10185.3     73.9743      Lin-Lin
 10185.5     72.7506      Lin-Lin
 10185.6     71.0124      Lin-Lin
 10185.8     68.5954      Lin-Lin
 10186       66.1609      Lin-Lin
 10186.1     63.4495      Lin-Lin
 10186.4     58.4641      Lin-Lin
 10187       44.2299      Lin-Lin
 10187.3     39.245       Lin-Lin
 10187.4     36.1288      Lin-Lin
 10187.6     32.8221      Lin-Lin
 10187.8     30.2595      Lin-Lin
 10188       27.9152      Lin-Lin
 10188.1     25.7894      Lin-Lin
 10188.3     23.8811      Lin-Lin
 10188.4     22.7274      Lin-Lin
 10188.5     21.663       Lin-Lin
 10188.6     20.6856      Lin-Lin
 10188.7     19.3732      Lin-Lin
 10188.9     18.2325      Lin-Lin
 10189.1     17.246       Lin-Lin
 10189.2     16.3986      Lin-Lin
 10189.4     15.6731      Lin-Lin
 10189.5     15.0549      Lin-Lin
 10189.7     14.5295      Lin-Lin
 10189.8     14.0841      Lin-Lin
 10190       13.7064      Lin-Lin
 10190.2     13.2448      Lin-Lin
 10190.5     12.8833      Lin-Lin
 10190.7     12.6263      Lin-Lin
 10191       12.326       Lin-Lin
 10191.3     12.0993      Lin-Lin
 10191.7     11.8738      Lin-Lin
 10192.2     11.7062      Lin-Lin
 10193       11.485       Lin-Lin
 10193.7     11.3351      Lin-Lin
 10194.8     11.1974      Lin-Lin
 10196.4     11.0651      Lin-Lin
 10198.5     10.9604      Lin-Lin
 10200.6     10.8969      Lin-Lin
 10204.8     10.8266      Lin-Lin
 10214.5     10.7645      Lin-Lin
 10246       10.7241      Lin-Lin
 12122.6     10.6135      Lin-Lin
 12183.6     10.6125      Lin-Lin
 12294.7     10.633       Lin-Lin
 12319.2     10.6772      Lin-Lin
 12327.8     10.7239      Lin-Lin
 12334.9     10.8089      Lin-Lin
 12339.1     10.9111      Lin-Lin
 12342       11.0427      Lin-Lin
 12344.2     11.2103      Lin-Lin
 12345.6     11.3647      Lin-Lin
 12346.7     11.5441      Lin-Lin
 12347.8     11.8016      Lin-Lin
 12348.5     12.0438      Lin-Lin
 12349.1     12.3063      Lin-Lin
 12349.5     12.5295      Lin-Lin
 12349.9     12.8071      Lin-Lin
 12350.3     13.1596      Lin-Lin
 12350.6     13.4908      Lin-Lin
 12350.9     13.8976      Lin-Lin
 12351.1     14.4028      Lin-Lin
 12351.3     14.8078      Lin-Lin
 12351.5     15.2785      Lin-Lin
 12351.7     15.8047      Lin-Lin
 12351.9     16.3888      Lin-Lin
 12352.1     17.0602      Lin-Lin
 12352.3     17.8311      Lin-Lin
 12352.5     18.7138      Lin-Lin
 12352.6     19.7211      Lin-Lin
 12352.8     20.8654      Lin-Lin
 12353       22.1586      Lin-Lin
 12353.2     23.3403      Lin-Lin
 12353.3     24.8722      Lin-Lin
 12353.5     26.5656      Lin-Lin
 12353.7     28.4235      Lin-Lin
 12353.9     30.4455      Lin-Lin
 12354       32.6255      Lin-Lin
 12354.3     35.7921      Lin-Lin
 12354.5     39.1907      Lin-Lin
 12354.9     45.2091      Lin-Lin
 12355.3     51.3333      Lin-Lin
 12355.6     55.5407      Lin-Lin
 12355.8     58.4483      Lin-Lin
 12356       60.6846      Lin-Lin
 12356.2     63.0336      Lin-Lin
 12356.4     64.4942      Lin-Lin
 12356.5     65.6664      Lin-Lin
 12356.7     66.4871      Lin-Lin
 12356.9     66.9427      Lin-Lin
 12357       67.025       Lin-Lin
 12357.2     66.816       Lin-Lin
 12357.3     66.2278      Lin-Lin
 12357.5     65.2748      Lin-Lin
 12357.7     63.6505      Lin-Lin
 12357.9     61.782       Lin-Lin
 12358.1     59.3888      Lin-Lin
 12358.3     56.4622      Lin-Lin
 12358.6     52.5527      Lin-Lin
 12359.4     40.3247      Lin-Lin
 12359.6     36.8365      Lin-Lin
 12359.8     34.3583      Lin-Lin
 12360       31.7713      Lin-Lin
 12360.2     29.3779      Lin-Lin
 12360.4     27.1902      Lin-Lin
 12360.6     25.4176      Lin-Lin
 12360.7     23.9982      Lin-Lin
 12360.9     22.7024      Lin-Lin
 12361       21.5248      Lin-Lin
 12361.2     20.4596      Lin-Lin
 12361.3     19.4994      Lin-Lin
 12361.5     18.6384      Lin-Lin
 12361.7     17.8682      Lin-Lin
 12361.8     17.0906      Lin-Lin
 12362       16.332       Lin-Lin
 12362.2     15.6807      Lin-Lin
 12362.4     15.1224      Lin-Lin
 12362.6     14.6438      Lin-Lin
 12362.8     14.2335      Lin-Lin
 12363.1     13.7235      Lin-Lin
 12363.4     13.3146      Lin-Lin
 12363.7     12.9838      Lin-Lin
 12364.1     12.6338      Lin-Lin
 12364.5     12.3603      Lin-Lin
 12364.9     12.1421      Lin-Lin
 12365.5     11.8875      Lin-Lin
 12366.4     11.6133      Lin-Lin
 12367.2     11.4197      Lin-Lin
 12368.4     11.2376      Lin-Lin
 12369.6     11.1096      Lin-Lin
 12371.4     10.9783      Lin-Lin
 12374.3     10.8475      Lin-Lin
 12379.1     10.7417      Lin-Lin
 12387       10.667       Lin-Lin
 12401.1     10.6215      Lin-Lin
 12470.9     10.59        Lin-Lin
 15566.8     10.4336      Lin-Lin
 15641.3     10.4328      Lin-Lin
 16069.4     10.4579      Lin-Lin
 16264.8     10.5248      Lin-Lin
 16376.5     10.6269      Lin-Lin
 16441.6     10.7464      Lin-Lin
 16491.6     10.9057      Lin-Lin
 16522.6     11.0597      Lin-Lin
 16549.5     11.2542      Lin-Lin
 16571.9     11.4828      Lin-Lin
 16586.8     11.6869      Lin-Lin
 16601.7     11.9516      Lin-Lin
