#LIBRARY    JENDL-4.0
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1E-05       21.141       Lin-Lin
 1.1024E-05  20.1427      Lin-Lin
 1.21504E-05 19.1942      Lin-Lin
 1.33946E-05 18.2893      Lin-Lin
 1.47633E-05 17.4295      Lin-Lin
 1.6275E-05  16.6095      Lin-Lin
 1.79381E-05 15.8303      Lin-Lin
 1.97749E-05 15.0872      Lin-Lin
 2.17956E-05 14.3814      Lin-Lin
 2.40274E-05 13.7082      Lin-Lin
 2.64826E-05 13.0689      Lin-Lin
 2.91943E-05 12.4593      Lin-Lin
 3.21775E-05 11.8804      Lin-Lin
 3.54723E-05 11.3286      Lin-Lin
 3.9097E-05  10.8047      Lin-Lin
 4.31005E-05 10.3054      Lin-Lin
 4.75046E-05 9.83151      Lin-Lin
 5.2369E-05  9.37999      Lin-Lin
 5.77202E-05 8.95157      Lin-Lin
 6.36306E-05 8.54353      Lin-Lin
 7.01326E-05 8.15651      Lin-Lin
 7.73139E-05 7.78806      Lin-Lin
 8.52142E-05 7.43876      Lin-Lin
 9.39398E-05 7.10639      Lin-Lin
 0.000103539 6.79147      Lin-Lin
 0.000114141 6.49199      Lin-Lin
 0.000125804 6.20844      Lin-Lin
 0.000138686 5.93899      Lin-Lin
 0.000152858 5.68406      Lin-Lin
 0.00016851  5.44204      Lin-Lin
 0.000185729 5.21329      Lin-Lin
 0.000204747 4.99634      Lin-Lin
 0.000225669 4.79152      Lin-Lin
 0.000248777 4.59752      Lin-Lin
 0.000274198 4.41462      Lin-Lin
 0.000302275 4.24163      Lin-Lin
 0.000337862 4.05614      Lin-Lin
 0.00037764  3.88286      Lin-Lin
 0.000422101 3.7212       Lin-Lin
 0.000467278 3.58318      Lin-Lin
 0.000522293 3.4422       Lin-Lin
 0.000583784 3.31125      Lin-Lin
 0.000652515 3.18985      Lin-Lin
 0.000729338 3.0775       Lin-Lin
 0.000815205 2.97373      Lin-Lin
 0.000924038 2.86663      Lin-Lin
 0.0010472   2.76935      Lin-Lin
 0.001187    2.68098      Lin-Lin
 0.00134521  2.6012       Lin-Lin
 0.00154601  2.52169      Lin-Lin
 0.00177679  2.4511       Lin-Lin
 0.00204201  2.38866      Lin-Lin
 0.00237993  2.32846      Lin-Lin
 0.00281237  2.27191      Lin-Lin
 0.00332338  2.22369      Lin-Lin
 0.00398187  2.17958      Lin-Lin
 0.00483815  2.14006      Lin-Lin
 0.00604444  2.10334      Lin-Lin
 0.00776456  2.0707       Lin-Lin
 0.0102556   2.04284      Lin-Lin
 0.0141246   2.01904      Lin-Lin
 0.0208527   1.9987       Lin-Lin
 0.0251422   1.99141      Lin-Lin
 0.0253      1.99119      Lin-Lin
 0.0429267   1.97673      Lin-Lin
 0.0884965   1.96605      Lin-Lin
 0.280852    1.95915      Lin-Lin
 6.07828     1.95607      Lin-Lin
 10561.5     1.85486      Lin-Lin
 18500       1.76624      Lin-Lin
 24963.5     1.68154      Lin-Lin
 30004.2     1.60305      Lin-Lin
 31716.6     1.57292      Lin-Lin
 31739.8     1.57739      Lin-Lin
 31767.4     1.57193      Lin-Lin
 35048       1.50653      Lin-Lin
 37667.5     1.44505      Lin-Lin
 39959.6     1.3815       Lin-Lin
 41924.3     1.31639      Lin-Lin
 43234.1     1.26544      Lin-Lin
 44543.9     1.20627      Lin-Lin
 45526.2     1.15484      Lin-Lin
 46508.5     1.09551      Lin-Lin
 47327.1     1.03819      Lin-Lin
 47982       0.98604      Lin-Lin
 48473.2     0.942615     Lin-Lin
 49046.2     0.885754     Lin-Lin
 49537.4     0.831007     Lin-Lin
 49946.7     0.780417     Lin-Lin
 50356       0.724278     Lin-Lin
 50683.5     0.674995     Lin-Lin
 51010.9     0.621228     Lin-Lin
 51322       0.565662     Lin-Lin
 51616.7     0.508275     Lin-Lin
 51813.1     0.467252     Lin-Lin
 52009.6     0.42418      Lin-Lin
 52206.1     0.378644     Lin-Lin
 52402.5     0.331072     Lin-Lin
 52599       0.281342     Lin-Lin
 52828.2     0.221241     Lin-Lin
 53139.3     0.138537     Lin-Lin
 53253.9     0.108867     Lin-Lin
 53331.7     0.0894532    Lin-Lin
 53393.1     0.0746644    Lin-Lin
 53442.2     0.0633354    Lin-Lin
 53485.2     0.0538508    Lin-Lin
 53515.9     0.0473609    Lin-Lin
 53551.7     0.040118     Lin-Lin
 53577.3     0.0351965    Lin-Lin
 53601.8     0.0306944    Lin-Lin
 53622.3     0.0271184    Lin-Lin
 53642.7     0.0237145    Lin-Lin
 53659.1     0.0211234    Lin-Lin
 53675.5     0.0186543    Lin-Lin
 53690.8     0.0164565    Lin-Lin
 53703.1     0.0147881    Lin-Lin
 53717.4     0.0129454    Lin-Lin
 53730.2     0.0113976    Lin-Lin
 53740.5     0.0102283    Lin-Lin
 53750.7     0.00912258   Lin-Lin
 53759.4     0.0082343    Lin-Lin
 53767.6     0.0074428    Lin-Lin
 53775.8     0.00669544   Lin-Lin
 53784       0.00599323   Lin-Lin
 53791.4     0.00539711   Lin-Lin
 53798.5     0.00485918   Lin-Lin
 53803.9     0.00448056   Lin-Lin
 53809.3     0.00412359   Lin-Lin
 53814.7     0.00378855   Lin-Lin
 53820       0.00347579   Lin-Lin
 53825.4     0.0031857    Lin-Lin
 53830.8     0.00291865   Lin-Lin
 53836.1     0.00267506   Lin-Lin
 53839.7     0.00252588   Lin-Lin
 53843.3     0.00238742   Lin-Lin
 53846.9     0.00225979   Lin-Lin
 53850.5     0.00214311   Lin-Lin
 53854.1     0.0020375    Lin-Lin
 53857.6     0.00194311   Lin-Lin
 53861.2     0.00186006   Lin-Lin
 53864.8     0.00178852   Lin-Lin
 53868.4     0.00172862   Lin-Lin
 53872       0.0016805    Lin-Lin
 53875       0.00164875   Lin-Lin
 53878.1     0.00162584   Lin-Lin
 53881.2     0.00161185   Lin-Lin
 53884.2     0.00160688   Lin-Lin
 53888.1     0.00161346   Lin-Lin
 53891.9     0.00163443   Lin-Lin
 53895.8     0.00166995   Lin-Lin
 53899.6     0.00172023   Lin-Lin
 53903.4     0.00178544   Lin-Lin
 53906.2     0.00184286   Lin-Lin
 53909.3     0.00191488   Lin-Lin
 53912.4     0.00199677   Lin-Lin
 53915.4     0.00208864   Lin-Lin
 53918.5     0.00219058   Lin-Lin
 53921.6     0.00230268   Lin-Lin
 53924.7     0.00242502   Lin-Lin
 53927.7     0.0025577    Lin-Lin
 53932.3     0.00277631   Lin-Lin
 53936.9     0.00301872   Lin-Lin
 53941.5     0.00328531   Lin-Lin
 53946.1     0.00357645   Lin-Lin
 53950.8     0.00389253   Lin-Lin
 53955.4     0.00423391   Lin-Lin
 53960       0.00460099   Lin-Lin
 53964.6     0.00499415   Lin-Lin
 53969.2     0.00541376   Lin-Lin
 53973.8     0.00586024   Lin-Lin
 53978.4     0.00633395   Lin-Lin
 53983.8     0.00692163   Lin-Lin
 53989.1     0.00754762   Lin-Lin
 53994.5     0.0082126    Lin-Lin
 53999.9     0.00891725   Lin-Lin
 54007       0.00991985   Lin-Lin
 54013.2     0.010838     Lin-Lin
 54019.3     0.0118118    Lin-Lin
 54025.4     0.012842     Lin-Lin
 54033.6     0.0143046    Lin-Lin
 54042.3     0.0159721    Lin-Lin
 54050       0.0175435    Lin-Lin
 54057.7     0.0192116    Lin-Lin
 54065.4     0.0209789    Lin-Lin
 54073       0.0228479    Lin-Lin
 54083.3     0.0255027    Lin-Lin
 54093.5     0.0283491    Lin-Lin
 54103.7     0.0313938    Lin-Lin
 54114       0.0346434    Lin-Lin
 54124.7     0.0382837    Lin-Lin
 54137       0.0427408    Lin-Lin
 54149.3     0.047527     Lin-Lin
 54161.5     0.0526558    Lin-Lin
 54174.3     0.0583779    Lin-Lin
 54185.1     0.0634959    Lin-Lin
 54195.8     0.0689091    Lin-Lin
 54210.1     0.0766047    Lin-Lin
 54224.5     0.084871     Lin-Lin
 54237.3     0.0927567    Lin-Lin
