#LIBRARY    JENDL-4.0/HE
#REACTION   TI-48(N,EL)TI-48-L0,SIG
#NUCLEUS    Ti-48
#MF         3
#MT         2
#EN-MIN     1e-05
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1E-05       33.1977      Lin-Lin
 1.10304E-05 31.6294      Lin-Lin
 1.21669E-05 30.1371      Lin-Lin
 1.34206E-05 28.7173      Lin-Lin
 1.48034E-05 27.3666      Lin-Lin
 1.63286E-05 26.0816      Lin-Lin
 1.80111E-05 24.8594      Lin-Lin
 1.98669E-05 23.6969      Lin-Lin
 2.19139E-05 22.5914      Lin-Lin
 2.41719E-05 21.5402      Lin-Lin
 2.66625E-05 20.5407      Lin-Lin
 2.94097E-05 19.5906      Lin-Lin
 3.244E-05   18.6876      Lin-Lin
 3.57825E-05 17.8295      Lin-Lin
 3.94694E-05 17.0142      Lin-Lin
 4.38433E-05 16.1858      Lin-Lin
 4.86996E-05 15.4024      Lin-Lin
 5.40964E-05 14.661       Lin-Lin
 6.00883E-05 13.9604      Lin-Lin
 6.67471E-05 13.2978      Lin-Lin
 7.41403E-05 12.6721      Lin-Lin
 8.23563E-05 12.081       Lin-Lin
 9.14784E-05 11.5233      Lin-Lin
 0.000101616 10.9969      Lin-Lin
 0.000112871 10.5009      Lin-Lin
 0.000125379 10.0333      Lin-Lin
 0.000139267 9.5933       Lin-Lin
 0.0001547   9.17917      Lin-Lin
 0.000171835 8.79012      Lin-Lin
 0.000190877 8.42462      Lin-Lin
 0.00021202  8.08191      Lin-Lin
 0.000237165 7.74007      Lin-Lin
 0.000265292 7.42159      Lin-Lin
 0.000296756 7.12534      Lin-Lin
 0.000331951 6.85021      Lin-Lin
 0.00037132  6.59515      Lin-Lin
 0.000418288 6.34494      Lin-Lin
 0.000471174 6.11517      Lin-Lin
 0.000530772 5.9045       Lin-Lin
 0.000602097 5.70116      Lin-Lin
 0.000683007 5.51679      Lin-Lin
 0.000780217 5.34141      Lin-Lin
 0.000891306 5.18427      Lin-Lin
 0.00102534  5.03708      Lin-Lin
 0.0011878   4.9009       Lin-Lin
 0.00138571  4.77641      Lin-Lin
 0.00162799  4.664        Lin-Lin
 0.00193952  4.55992      Lin-Lin
 0.00234338  4.4657       Lin-Lin
 0.00287114  4.38229      Lin-Lin
 0.00359256  4.30782      Lin-Lin
 0.00462297  4.24172      Lin-Lin
 0.00616112  4.18419      Lin-Lin
 0.00862348  4.13482      Lin-Lin
 0.0128551   4.09417      Lin-Lin
 0.0211387   4.06171      Lin-Lin
 0.0252419   4.05353      Lin-Lin
 0.0253      4.05344      Lin-Lin
 0.0527906   4.03159      Lin-Lin
 0.171253    4.01799      Lin-Lin
 0.587564    4.01486      Lin-Lin
 68.3381     4.19966      Lin-Lin
 147.672     4.37826      Lin-Lin
 251.479     4.57241      Lin-Lin
 396.171     4.79984      Lin-Lin
 611.398     5.09064      Lin-Lin
 1028.87     5.59343      Lin-Lin
 1799.72     6.50457      Lin-Lin
 2314.7      7.15846      Lin-Lin
 2813.29     7.84469      Lin-Lin
 3265.97     8.52604      Lin-Lin
 3788.86     9.38959      Lin-Lin
 4224.14     10.1879      Lin-Lin
 4578.48     10.8893      Lin-Lin
 4960.01     11.7086      Lin-Lin
 5341.55     12.6001      Lin-Lin
 5683.28     13.4634      Lin-Lin
 6119.94     14.6695      Lin-Lin
 6523.87     15.9045      Lin-Lin
 6685.13     16.4479      Lin-Lin
 6689.07     16.47        Lin-Lin
 6693.1      16.464       Lin-Lin
 7017.84     17.5894      Lin-Lin
 7341.84     18.8153      Lin-Lin
 7696.7      20.2632      Lin-Lin
 7997.23     21.6081      Lin-Lin
 8282.08     22.9795      Lin-Lin
 8552.53     24.3772      Lin-Lin
 8795.55     25.7205      Lin-Lin
 9045.48     27.1958      Lin-Lin
 9340.4      29.0607      Lin-Lin
 9647.15     31.1794      Lin-Lin
 9888.12     32.9691      Lin-Lin
 10129.1     34.8807      Lin-Lin
 10357       36.8104      Lin-Lin
 10572.8     38.7561      Lin-Lin
 10840.2     41.3195      Lin-Lin
 11143.1     44.4981      Lin-Lin
 11346.8     46.8719      Lin-Lin
 11401.9     47.6753      Lin-Lin
 11431.5     48.335       Lin-Lin
 11445.9     48.9175      Lin-Lin
 11453.6     49.4445      Lin-Lin
 11458.4     49.9541      Lin-Lin
 11462.9     50.6789      Lin-Lin
 11466.6     51.5805      Lin-Lin
 11469.3     52.6083      Lin-Lin
 11471.4     53.7046      Lin-Lin
 11472.7     54.6597      Lin-Lin
 11474       55.9021      Lin-Lin
 11475       57.1017      Lin-Lin
 11476       58.6242      Lin-Lin
 11476.9     60.275       Lin-Lin
 11477.5     61.7893      Lin-Lin
 11478.2     63.6018      Lin-Lin
 11478.8     65.7801      Lin-Lin
 11479.4     68.4008      Lin-Lin
 11480       71.0883      Lin-Lin
 11480.5     74.2295      Lin-Lin
 11481.1     77.8834      Lin-Lin
 11481.6     82.1039      Lin-Lin
 11482.2     86.9338      Lin-Lin
 11482.7     92.3987      Lin-Lin
 11483.3     98.4985      Lin-Lin
 11483.8     105.2        Lin-Lin
 11484.4     112.432      Lin-Lin
 11485.2     124          Lin-Lin
 11486.5     142.092      Lin-Lin
 11487.1     150.841      Lin-Lin
 11487.8     158.49       Lin-Lin
 11488.3     163.103      Lin-Lin
 11488.8     166.72       Lin-Lin
 11489.2     169.211      Lin-Lin
 11489.7     170.481      Lin-Lin
 11490       170.638      Lin-Lin
 11490.4     170.219      Lin-Lin
 11490.7     169.102      Lin-Lin
 11491.2     166.54       Lin-Lin
 11491.7     162.85       Lin-Lin
 11492.2     158.161      Lin-Lin
 11492.6     152.637      Lin-Lin
 11493.4     142.893      Lin-Lin
 11495.5     113.288      Lin-Lin
 11496       105.887      Lin-Lin
 11496.6     99.0043      Lin-Lin
 11497.1     92.7221      Lin-Lin
 11497.7     87.0818      Lin-Lin
 11498.2     82.0923      Lin-Lin
 11498.8     77.7314      Lin-Lin
 11499.3     73.8711      Lin-Lin
 11499.9     70.4976      Lin-Lin
 11500.5     67.6428      Lin-Lin
 11501.1     65.2375      Lin-Lin
 11501.6     63.3248      Lin-Lin
 11502.4     61.1117      Lin-Lin
 11503.1     59.3433      Lin-Lin
 11503.9     57.9199      Lin-Lin
 11504.9     56.4265      Lin-Lin
 11506.1     55.0975      Lin-Lin
 11507.5     53.9611      Lin-Lin
 11508.9     53.109       Lin-Lin
 11510.9     52.1805      Lin-Lin
 11513.7     51.3497      Lin-Lin
 11516.4     50.7977      Lin-Lin
 11521.6     50.1698      Lin-Lin
 11526.8     49.8287      Lin-Lin
 11538.2     49.5132      Lin-Lin
 11550.6     49.4419      Lin-Lin
 11586.4     49.665       Lin-Lin
 11743.3     51.5412      Lin-Lin
 12023.7     55.2751      Lin-Lin
 12353.1     60.0598      Lin-Lin
 12630.8     64.4166      Lin-Lin
 12904       69.0703      Lin-Lin
 13101.3     72.8249      Lin-Lin
 13194.2     74.9543      Lin-Lin
 13243.9     76.4379      Lin-Lin
 13281.9     78.0416      Lin-Lin
 13304.7     79.4736      Lin-Lin
 13318.3     80.6717      Lin-Lin
 13332       82.3335      Lin-Lin
 13340.6     83.7698      Lin-Lin
 13349.3     85.6792      Lin-Lin
 13357.1     88.0274      Lin-Lin
 13363.2     90.5004      Lin-Lin
 13367.3     92.5856      Lin-Lin
 13371.4     95.1488      Lin-Lin
 13374.5     97.4467      Lin-Lin
 13377.5     100.178      Lin-Lin
 13380.5     103.453      Lin-Lin
 13383.6     107.421      Lin-Lin
 13385.9     110.966      Lin-Lin
 13388.1     115.112      Lin-Lin
 13390.4     119.988      Lin-Lin
 13392.7     125.747      Lin-Lin
 13394.2     130.168      Lin-Lin
 13395.7     135.124      Lin-Lin
 13397.2     140.68       Lin-Lin
 13398.8     146.905      Lin-Lin
 13400.3     153.863      Lin-Lin
 13401.8     161.608      Lin-Lin
