#LIBRARY    JENDL/HE-2007
#REACTION   AL-27(N,INL)AL-27,SIG
#NUCLEUS    Al-27
#MF         3
#MT         4
#EN-MIN     875323
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 875323      0            Lin-Lin
 877146      0.000550102  Lin-Lin
 880747      0.00163311   Lin-Lin
 887764      0.00373145   Lin-Lin
 894395      0.00569864   Lin-Lin
 906960      0.00938712   Lin-Lin
 918099      0.0126145    Lin-Lin
 937923      0.0182625    Lin-Lin
 953071      0.0224985    Lin-Lin
 976254      0.0288525    Lin-Lin
 1E+06       0.0352065    Lin-Lin
 1.05188E+06 0.0398255    Lin-Lin
 1.0524E+06  0.0400425    Lin-Lin
 1.05453E+06 0.0409155    Lin-Lin
 1.0598E+06  0.0430732    Lin-Lin
 1.07025E+06 0.0473275    Lin-Lin
 1.08047E+06 0.051457     Lin-Lin
 1.09047E+06 0.0554652    Lin-Lin
 1.10979E+06 0.0631298    Lin-Lin
 1.1101E+06  0.0632514    Lin-Lin
 1.12883E+06 0.0705052    Lin-Lin
 1.15513E+06 0.0805341    Lin-Lin
 1.16022E+06 0.0824415    Lin-Lin
 1.1798E+06  0.0897078    Lin-Lin
 1.21069E+06 0.100957     Lin-Lin
 1.21909E+06 0.103942     Lin-Lin
 1.25152E+06 0.115361     Lin-Lin
 1.28547E+06 0.126983     Lin-Lin
 1.29861E+06 0.131429     Lin-Lin
 1.33509E+06 0.143455     Lin-Lin
 1.36992E+06 0.154628     Lin-Lin
 1.39174E+06 0.161573     Lin-Lin
 1.51019E+06 0.198044     Lin-Lin
 1.53388E+06 0.205077     Lin-Lin
 1.58838E+06 0.221024     Lin-Lin
 1.63908E+06 0.235327     Lin-Lin
 1.65692E+06 0.240287     Lin-Lin
 1.73673E+06 0.261708     Lin-Lin
 1.75982E+06 0.267672     Lin-Lin
 1.82652E+06 0.284618     Lin-Lin
 1.9165E+06  0.306498     Lin-Lin
 1.94042E+06 0.312236     Lin-Lin
 2E+06       0.326029     Lin-Lin
 2.29256E+06 0.326996     Lin-Lin
 2.29738E+06 0.328412     Lin-Lin
 2.3069E+06  0.331197     Lin-Lin
 2.32547E+06 0.336586     Lin-Lin
 2.34301E+06 0.341632     Lin-Lin
 2.37625E+06 0.351071     Lin-Lin
 2.40572E+06 0.359308     Lin-Lin
 2.45818E+06 0.373674     Lin-Lin
 2.49828E+06 0.384405     Lin-Lin
 2.54991E+06 0.397888     Lin-Lin
 2.55965E+06 0.400475     Lin-Lin
 2.62253E+06 0.416694     Lin-Lin
 2.67437E+06 0.432303     Lin-Lin
 2.68922E+06 0.436645     Lin-Lin
 2.75407E+06 0.455702     Lin-Lin
 2.83614E+06 0.478999     Lin-Lin
 2.84611E+06 0.482899     Lin-Lin
 2.86491E+06 0.490228     Lin-Lin
 2.89602E+06 0.502295     Lin-Lin
 2.93273E+06 0.516442     Lin-Lin
 2.95817E+06 0.526163     Lin-Lin
 2.97741E+06 0.533394     Lin-Lin
 3E+06       0.541829     Lin-Lin
 3.06932E+06 0.552101     Lin-Lin
 3.09278E+06 0.555505     Lin-Lin
 3.10448E+06 0.558048     Lin-Lin
 3.11622E+06 0.560596     Lin-Lin
 3.1284E+06  0.563781     Lin-Lin
 3.136E+06   0.565758     Lin-Lin
 3.15214E+06 0.569949     Lin-Lin
 3.17455E+06 0.575738     Lin-Lin
 3.17467E+06 0.575768     Lin-Lin
 3.21701E+06 0.586576     Lin-Lin
 3.2287E+06  0.589533     Lin-Lin
 3.23165E+06 0.590277     Lin-Lin
 3.25463E+06 0.595995     Lin-Lin
 3.27908E+06 0.602012     Lin-Lin
 3.32152E+06 0.612398     Lin-Lin
 3.33155E+06 0.61482      Lin-Lin
 3.34176E+06 0.617262     Lin-Lin
