#LIBRARY    ENDF/B-VIII.b4
#REACTION   B-11(N,INL)B-11,SIG
#NUCLEUS    B-11
#MF         3
#MT         4
#EN-MIN     2.31935e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.31935E+06 0            Lin-Lin
 2.4E+06     3.34822E-05  Lin-Lin
 2.40155E+06 3.87855E-05  Lin-Lin
 2.40305E+06 4.47229E-05  Lin-Lin
 2.4045E+06  5.13401E-05  Lin-Lin
 2.40591E+06 5.86829E-05  Lin-Lin
 2.40728E+06 6.67962E-05  Lin-Lin
 2.4086E+06  7.57242E-05  Lin-Lin
 2.40988E+06 8.55096E-05  Lin-Lin
 2.41112E+06 9.61935E-05  Lin-Lin
 2.41233E+06 0.000107815  Lin-Lin
 2.4135E+06  0.00012041   Lin-Lin
 2.41463E+06 0.000134014  Lin-Lin
 2.41573E+06 0.000148656  Lin-Lin
 2.41679E+06 0.000164364  Lin-Lin
 2.41782E+06 0.000181163  Lin-Lin
 2.41882E+06 0.000199073  Lin-Lin
 2.41979E+06 0.000218109  Lin-Lin
 2.42073E+06 0.000238285  Lin-Lin
 2.42164E+06 0.000259608  Lin-Lin
 2.42252E+06 0.000282083  Lin-Lin
 2.42337E+06 0.00030571   Lin-Lin
 2.4242E+06  0.000330484  Lin-Lin
 2.42581E+06 0.00038434   Lin-Lin
 2.42731E+06 0.000442776  Lin-Lin
 2.42872E+06 0.000505603  Lin-Lin
 2.43005E+06 0.000572577  Lin-Lin
 2.43129E+06 0.000643402  Lin-Lin
 2.43246E+06 0.000717736  Lin-Lin
 2.43355E+06 0.000795206  Lin-Lin
 2.43457E+06 0.000875411  Lin-Lin
 2.43553E+06 0.000957936  Lin-Lin
 2.43644E+06 0.00104235   Lin-Lin
 2.43728E+06 0.00112824   Lin-Lin
 2.43887E+06 0.00130881   Lin-Lin
 2.44026E+06 0.00149037   Lin-Lin
 2.44147E+06 0.00166977   Lin-Lin
 2.44254E+06 0.00184438   Lin-Lin
 2.44347E+06 0.00201207   Lin-Lin
 2.4451E+06  0.00234306   Lin-Lin
 2.44632E+06 0.00262656   Lin-Lin
 2.44724E+06 0.00286148   Lin-Lin
 2.44862E+06 0.00325384   Lin-Lin
 2.45E+06    0.0037       Lin-Lin
 2.4562E+06  0.00419485   Lin-Lin
 2.46163E+06 0.00468185   Lin-Lin
 2.46639E+06 0.00515413   Lin-Lin
 2.47057E+06 0.0056063    Lin-Lin
 2.47789E+06 0.00649512   Lin-Lin
 2.4834E+06  0.00725305   Lin-Lin
 2.48754E+06 0.007879     Lin-Lin
 2.49376E+06 0.00892064   Lin-Lin
 2.5E+06     0.0101       Lin-Lin
 2.5062E+06  0.0111855    Lin-Lin
 2.51163E+06 0.0122307    Lin-Lin
 2.52117E+06 0.0143001    Lin-Lin
 2.52834E+06 0.0160788    Lin-Lin
 2.53374E+06 0.0175566    Lin-Lin
 2.54186E+06 0.0200319    Lin-Lin
 2.55E+06    0.0228561    Lin-Lin
 2.57488E+06 0.0251129    Lin-Lin
 2.6E+06     0.0275926    Lin-Lin
 2.6062E+06  0.0254164    Lin-Lin
 2.61708E+06 0.0220129    Lin-Lin
 2.62527E+06 0.0197628    Lin-Lin
 2.63143E+06 0.0182275    Lin-Lin
 2.6407E+06  0.0161453    Lin-Lin
 2.65E+06    0.0143009    Lin-Lin
 2.7E+06     0.0126524    Lin-Lin
 2.72488E+06 0.0138143    Lin-Lin
 2.75E+06    0.015083     Lin-Lin
 2.8E+06     0.0169999    Lin-Lin
 2.85E+06    0.0184088    Lin-Lin
 2.9E+06     0.0193725    Lin-Lin
 2.95E+06    0.0192815    Lin-Lin
 3E+06       0.0185473    Lin-Lin
 3.05E+06    0.0165599    Lin-Lin
 3.1E+06     0.0148092    Lin-Lin
 3.15E+06    0.0155385    Lin-Lin
 3.2E+06     0.017668     Lin-Lin
 3.2249E+06  0.0193276    Lin-Lin
 3.25E+06    0.0211432    Lin-Lin
 3.2749E+06  0.0234504    Lin-Lin
 3.3E+06     0.0260094    Lin-Lin
 3.32491E+06 0.028935     Lin-Lin
 3.35E+06    0.0321897    Lin-Lin
 3.37491E+06 0.0357129    Lin-Lin
 3.4E+06     0.0396217    Lin-Lin
 3.42491E+06 0.0459882    Lin-Lin
 3.45E+06    0.0533777    Lin-Lin
 3.47491E+06 0.0608429    Lin-Lin
 3.5E+06     0.0693522    Lin-Lin
 3.53E+06    0.0734515    Lin-Lin
 3.55E+06    0.0704987    Lin-Lin
 3.57491E+06 0.0648699    Lin-Lin
 3.6E+06     0.0596906    Lin-Lin
 3.65E+06    0.0537831    Lin-Lin
 3.7E+06     0.0495432    Lin-Lin
 3.75E+06    0.0489181    Lin-Lin
 3.8E+06     0.051635     Lin-Lin
 3.85E+06    0.05636      Lin-Lin
 3.9E+06     0.0627012    Lin-Lin
 3.95E+06    0.0701524    Lin-Lin
 4E+06       0.0789698    Lin-Lin
 4.05E+06    0.0911812    Lin-Lin
 4.1E+06     0.0989826    Lin-Lin
 4.15E+06    0.0881511    Lin-Lin
 4.2E+06     0.083        Lin-Lin
 4.25E+06    0.0895953    Lin-Lin
 4.3E+06     0.0968592    Lin-Lin
 4.35E+06    0.104819     Lin-Lin
 4.4E+06     0.1135       Lin-Lin
 4.45E+06    0.122921     Lin-Lin
 4.5E+06     0.133108     Lin-Lin
 4.55E+06    0.144471     Lin-Lin
 4.6E+06     0.157143     Lin-Lin
 4.65E+06    0.171007     Lin-Lin
 4.7E+06     0.18589      Lin-Lin
 4.75E+06    0.201544     Lin-Lin
 4.85213E+06 0.234486     Lin-Lin
 4.9E+06     0.251388     Lin-Lin
 4.90622E+06 0.250465     Lin-Lin
 4.91167E+06 0.249914     Lin-Lin
 4.91645E+06 0.249654     Lin-Lin
 4.92063E+06 0.249616     Lin-Lin
 4.92796E+06 0.250023     Lin-Lin
 4.93346E+06 0.250776     Lin-Lin
 4.93759E+06 0.251625     Lin-Lin
 4.94379E+06 0.253409     Lin-Lin
 4.95E+06    0.255882     Lin-Lin
 4.97494E+06 0.238122     Lin-Lin
 5E+06       0.220907     Lin-Lin
 5.01245E+06 0.215242     Lin-Lin
 5.02181E+06 0.211303     Lin-Lin
 5.03589E+06 0.205837     Lin-Lin
 5.05E+06    0.200842     Lin-Lin
 5.06245E+06 0.204257     Lin-Lin
 5.07181E+06 0.207016     Lin-Lin
 5.08589E+06 0.211506     Lin-Lin
 5.1E+06     0.216466     Lin-Lin
 5.11245E+06 0.22295      Lin-Lin
 5.12182E+06 0.228383     Lin-Lin
 5.12885E+06 0.232816     Lin-Lin
 5.13941E+06 0.240108     Lin-Lin
 5.15E+06    0.24826      Lin-Lin
 5.16246E+06 0.255388     Lin-Lin
 5.18119E+06 0.267239     Lin-Lin
 5.2E+06     0.280666     Lin-Lin
 5.25E+06    0.279893     Lin-Lin
 5.26246E+06 0.274133     Lin-Lin
