#LIBRARY    JENDL/HE-2007
#REACTION   O-16(N,INL)O-16,SIG
#NUCLEUS    O-16
#MF         3
#MT         4
#EN-MIN     6.43046e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 6.43046E+06 0            Lin-Lin
 6.44778E+06 0.00254167   Lin-Lin
 6.4869E+06  0.00826044   Lin-Lin
 6.5E+06     0.0101667    Lin-Lin
 6.51644E+06 0.0108       Lin-Lin
 6.51657E+06 0.0108019    Lin-Lin
 6.53032E+06 0.013835     Lin-Lin
 6.55616E+06 0.0195233    Lin-Lin
 6.60165E+06 0.0294813    Lin-Lin
 6.67046E+06 0.0444273    Lin-Lin
 6.72374E+06 0.0558876    Lin-Lin
 6.74E+06    0.059377     Lin-Lin
 6.79E+06    0.124943     Lin-Lin
 6.87E+06    0.186416     Lin-Lin
 6.90668E+06 0.172579     Lin-Lin
 6.92E+06    0.167548     Lin-Lin
 6.94E+06    0.0652832    Lin-Lin
 7E+06       0.0661376    Lin-Lin
 7.04E+06    0.0851849    Lin-Lin
 7.09E+06    0.0963566    Lin-Lin
 7.15E+06    0.111693     Lin-Lin
 7.2E+06     0.174874     Lin-Lin
 7.25E+06    0.140896     Lin-Lin
 7.3E+06     0.209683     Lin-Lin
 7.35E+06    0.2812       Lin-Lin
 7.35306E+06 0.283566     Lin-Lin
 7.3532E+06  0.283671     Lin-Lin
 7.36893E+06 0.29612      Lin-Lin
 7.39654E+06 0.317968     Lin-Lin
 7.4E+06     0.320702     Lin-Lin
 7.45E+06    0.342453     Lin-Lin
 7.45905E+06 0.330513     Lin-Lin
 7.48E+06    0.302861     Lin-Lin
 7.5E+06     0.28132      Lin-Lin
 7.5344E+06  0.244398     Lin-Lin
 7.55E+06    0.22765      Lin-Lin
 7.56556E+06 0.224879     Lin-Lin
 7.5657E+06  0.224854     Lin-Lin
 7.5885E+06  0.223385     Lin-Lin
 7.6E+06     0.222639     Lin-Lin
 7.61675E+06 0.23778      Lin-Lin
 7.62855E+06 0.24844      Lin-Lin
 7.65E+06    0.267793     Lin-Lin
 7.68904E+06 0.285938     Lin-Lin
 7.7E+06     0.291023     Lin-Lin
 7.75E+06    0.308692     Lin-Lin
 7.8E+06     0.360659     Lin-Lin
 7.82E+06    0.384011     Lin-Lin
 7.85E+06    0.350346     Lin-Lin
 7.91E+06    0.314181     Lin-Lin
 7.96E+06    0.237971     Lin-Lin
 8E+06       0.194448     Lin-Lin
 8.03E+06    0.153559     Lin-Lin
 8.05E+06    0.166103     Lin-Lin
 8.11983E+06 0.212244     Lin-Lin
 8.15E+06    0.232048     Lin-Lin
 8.2E+06     0.284261     Lin-Lin
 8.24E+06    0.323445     Lin-Lin
 8.25E+06    0.340091     Lin-Lin
 8.26E+06    0.356632     Lin-Lin
 8.34E+06    0.367268     Lin-Lin
 8.35E+06    0.367798     Lin-Lin
 8.36E+06    0.368192     Lin-Lin
 8.38E+06    0.37558      Lin-Lin
 8.4E+06     0.361768     Lin-Lin
 8.45E+06    0.351688     Lin-Lin
 8.46E+06    0.353252     Lin-Lin
 8.5E+06     0.327308     Lin-Lin
 8.56E+06    0.277693     Lin-Lin
 8.6E+06     0.243432     Lin-Lin
 8.63E+06    0.258999     Lin-Lin
 8.66E+06    0.259816     Lin-Lin
 8.68E+06    0.276661     Lin-Lin
 8.73E+06    0.281436     Lin-Lin
 8.75E+06    0.277305     Lin-Lin
 8.76E+06    0.275742     Lin-Lin
 8.78E+06    0.310168     Lin-Lin
 8.83E+06    0.344985     Lin-Lin
 8.86E+06    0.356501     Lin-Lin
 8.88E+06    0.352879     Lin-Lin
 8.93E+06    0.289449     Lin-Lin
 8.96E+06    0.260467     Lin-Lin
 9E+06       0.285324     Lin-Lin
 9.02E+06    0.297333     Lin-Lin
 9.06E+06    0.325349     Lin-Lin
 9.12E+06    0.350148     Lin-Lin
 9.15E+06    0.359798     Lin-Lin
