#LIBRARY    JENDL/HE-2007
#REACTION   PB-207(N,INL)PB-207,SIG
#NUCLEUS    Pb-207
#MF         3
#MT         4
#EN-MIN     572476
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 572476      0            Lin-Lin
 572480      1.16295E-05  Lin-Lin
 573689      0.00353609   Lin-Lin
 576096      0.01053      Lin-Lin
 580865      0.0242991    Lin-Lin
 585523      0.037638     Lin-Lin
 594653      0.063482     Lin-Lin
 603342      0.0877108    Lin-Lin
 615514      0.121073     Lin-Lin
 626899      0.151684     Lin-Lin
 641107      0.189116     Lin-Lin
 659813      0.237155     Lin-Lin
 681289      0.290652     Lin-Lin
 697853      0.330775     Lin-Lin
 723457      0.390959     Lin-Lin
 750000      0.451143     Lin-Lin
 799141      0.50787      Lin-Lin
 856430      0.569753     Lin-Lin
 902070      0.616161     Lin-Lin
 902075      0.616166     Lin-Lin
 904985      0.622637     Lin-Lin
 910649      0.63518      Lin-Lin
 915992      0.646947     Lin-Lin
 926094      0.66903      Lin-Lin
 935025      0.688374     Lin-Lin
 950862      0.722277     Lin-Lin
 972056      0.766871     Lin-Lin
 990597      0.805185     Lin-Lin
 1E+06       0.824373     Lin-Lin
 1.04091E+06 0.87234      Lin-Lin
 1.07644E+06 0.912921     Lin-Lin
 1.11742E+06 0.958596     Lin-Lin
 1.11803E+06 0.959257     Lin-Lin
 1.16308E+06 1.00648      Lin-Lin
 1.22033E+06 1.06466      Lin-Lin
 1.25E+06    1.09407      Lin-Lin
 1.35379E+06 1.16505      Lin-Lin
 1.36931E+06 1.17523      Lin-Lin
 1.44959E+06 1.22578      Lin-Lin
 1.5E+06     1.25663      Lin-Lin
 1.64136E+06 1.32837      Lin-Lin
 1.75E+06    1.38364      Lin-Lin
 1.7925E+06  1.40356      Lin-Lin
 1.82886E+06 1.42053      Lin-Lin
 1.87083E+06 1.44002      Lin-Lin
 1.88823E+06 1.4478       Lin-Lin
 1.93434E+06 1.46829      Lin-Lin
 1.94331E+06 1.47214      Lin-Lin
 2E+06       1.49629      Lin-Lin
 2.05977E+06 1.51983      Lin-Lin
 2.12132E+06 1.54384      Lin-Lin
 2.14093E+06 1.55119      Lin-Lin
 2.21304E+06 1.57797      Lin-Lin
 2.25E+06    1.59161      Lin-Lin
 2.30009E+06 1.60833      Lin-Lin
 2.3513E+06  1.62482      Lin-Lin
 2.46197E+06 1.68112      Lin-Lin
 2.5E+06     1.70036      Lin-Lin
 2.56709E+06 1.72759      Lin-Lin
 2.63598E+06 1.75472      Lin-Lin
 2.636E+06   1.75473      Lin-Lin
 2.64579E+06 1.76071      Lin-Lin
 2.66054E+06 1.76966      Lin-Lin
 2.67537E+06 1.77861      Lin-Lin
 2.6754E+06  1.77863      Lin-Lin
 2.68553E+06 1.78639      Lin-Lin
 2.70081E+06 1.79802      Lin-Lin
 2.71617E+06 1.80965      Lin-Lin
 2.74129E+06 1.8319       Lin-Lin
 2.8038E+06  1.93526      Lin-Lin
 2.8276E+06  1.97629      Lin-Lin
 2.85161E+06 2.01783      Lin-Lin
 2.86773E+06 2.04587      Lin-Lin
 2.88801E+06 2.08102      Lin-Lin
 2.90024E+06 2.10227      Lin-Lin
 2.94347E+06 2.18053      Lin-Lin
 2.9497E+06  2.19184      Lin-Lin
 2.96219E+06 2.2146       Lin-Lin
 2.97474E+06 2.23743      Lin-Lin
 3E+06       2.28443      Lin-Lin
 3.09547E+06 2.32603      Lin-Lin
 3.11787E+06 2.33447      Lin-Lin
 3.15916E+06 2.35127      Lin-Lin
 3.16326E+06 2.35295      Lin-Lin
 3.24428E+06 2.38705      Lin-Lin
 3.2444E+06  2.3871       Lin-Lin
 3.27963E+06 2.40042      Lin-Lin
 3.29884E+06 2.40782      Lin-Lin
 3.33339E+06 2.42128      Lin-Lin
 3.37927E+06 2.44013      Lin-Lin
 3.4005E+06  2.44888      Lin-Lin
 3.41508E+06 2.45396      Lin-Lin
 3.42495E+06 2.45741      Lin-Lin
 3.44356E+06 2.46403      Lin-Lin
 3.45126E+06 2.46695      Lin-Lin
 3.5E+06     2.48542      Lin-Lin
 3.51551E+06 2.49135      Lin-Lin
 3.52478E+06 2.4949       Lin-Lin
 3.55891E+06 2.50802      Lin-Lin
 3.56311E+06 2.50972      Lin-Lin
 3.58095E+06 2.51578      Lin-Lin
 3.61881E+06 2.52865      Lin-Lin
 3.63083E+06 2.53279      Lin-Lin
 3.63801E+06 2.53528      Lin-Lin
 3.6644E+06  2.54442      Lin-Lin
 3.7198E+06  2.56464      Lin-Lin
 3.72532E+06 2.56666      Lin-Lin
 3.74556E+06 2.57408      Lin-Lin
 3.75859E+06 2.57908      Lin-Lin
 3.77616E+06 2.58583      Lin-Lin
 3.7809E+06  2.58732      Lin-Lin
 3.81754E+06 2.5989       Lin-Lin
 3.83452E+06 2.60428      Lin-Lin
 3.84309E+06 2.60713      Lin-Lin
 3.8889E+06  2.62244      Lin-Lin
 3.90771E+06 2.62875      Lin-Lin
 3.91639E+06 2.63166      Lin-Lin
 3.92559E+06 2.63488      Lin-Lin
 3.947E+06   2.64237      Lin-Lin
 3.97672E+06 2.65281      Lin-Lin
 3.97893E+06 2.65359      Lin-Lin
 4E+06       2.66113      Lin-Lin
 4.11953E+06 2.65413      Lin-Lin
 4.16364E+06 2.65159      Lin-Lin
 4.21152E+06 2.64887      Lin-Lin
 4.24264E+06 2.64716      Lin-Lin
 4.30557E+06 2.64373      Lin-Lin
 4.30574E+06 2.64372      Lin-Lin
 4.40171E+06 2.63865      Lin-Lin
 4.4697E+06  2.63517      Lin-Lin
 4.4697E+06  2.63517      Lin-Lin
 4.5E+06     2.63363      Lin-Lin
 4.55966E+06 2.6307       Lin-Lin
 4.59675E+06 2.62891      Lin-Lin
 4.64533E+06 2.62659      Lin-Lin
 4.66597E+06 2.6256       Lin-Lin
 4.71228E+06 2.62343      Lin-Lin
 4.73689E+06 2.6223       Lin-Lin
 4.74342E+06 2.62201      Lin-Lin
 4.76901E+06 2.62085      Lin-Lin
 4.78262E+06 2.62024      Lin-Lin
 4.85401E+06 2.61707      Lin-Lin
 4.86667E+06 2.61652      Lin-Lin
 4.88314E+06 2.61581      Lin-Lin
 4.92646E+06 2.61395      Lin-Lin
 5E+06       2.61083      Lin-Lin
 5.11526E+06 2.59246      Lin-Lin
 5.21829E+06 2.57605      Lin-Lin
 5.23318E+06 2.57368      Lin-Lin
 5.32339E+06 2.55933      Lin-Lin
 5.40361E+06 2.54661      Lin-Lin
 5.41517E+06 2.54478      Lin-Lin
 5.48503E+06 2.53373      Lin-Lin
 5.5469E+06  2.52394      Lin-Lin
 5.5558E+06  2.52253      Lin-Lin
 5.60948E+06 2.51407      Lin-Lin
 5.65687E+06 2.50659      Lin-Lin
