#LIBRARY    JENDL/HE-2007
#REACTION   PB-208(N,INL)PB-208,SIG
#NUCLEUS    Pb-208
#MF         3
#MT         4
#EN-MIN     2.62728e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 2.62728E+06 0            Lin-Lin
 2.6273E+06  3.12045E-05  Lin-Lin
 2.63481E+06 0.012168     Lin-Lin
 2.64894E+06 0.0349245    Lin-Lin
 2.67385E+06 0.0747484    Lin-Lin
 2.7069E+06  0.127017     Lin-Lin
 2.75E+06    0.19422      Lin-Lin
 2.80666E+06 0.279368     Lin-Lin
 2.87423E+06 0.378707     Lin-Lin
 2.93644E+06 0.468113     Lin-Lin
 3E+06       0.557518     Lin-Lin
 3.10478E+06 0.628183     Lin-Lin
 3.2132E+06  0.698842     Lin-Lin
 3.21321E+06 0.698848     Lin-Lin
 3.22237E+06 0.707522     Lin-Lin
 3.24307E+06 0.727055     Lin-Lin
 3.26462E+06 0.747248     Lin-Lin
 3.30516E+06 0.784922     Lin-Lin
 3.3509E+06  0.826986     Lin-Lin
 3.41189E+06 0.88237      Lin-Lin
 3.49195E+06 0.953878     Lin-Lin
 3.61157E+06 1.06445      Lin-Lin
 3.72669E+06 1.16981      Lin-Lin
 3.7267E+06  1.16981      Lin-Lin
 3.73962E+06 1.1803       Lin-Lin
 3.76395E+06 1.2          Lin-Lin
 3.80423E+06 1.23243      Lin-Lin
 3.83128E+06 1.25407      Lin-Lin
 3.85176E+06 1.27025      Lin-Lin
 3.90958E+06 1.31556      Lin-Lin
 3.93881E+06 1.33832      Lin-Lin
 3.95215E+06 1.35009      Lin-Lin
 3.96554E+06 1.36149      Lin-Lin
 3.98021E+06 1.38206      Lin-Lin
 3.99009E+06 1.39358      Lin-Lin
 4E+06       1.40643      Lin-Lin
 4.01508E+06 1.41956      Lin-Lin
 4.05658E+06 1.46083      Lin-Lin
 4.0606E+06  1.46381      Lin-Lin
 4.06462E+06 1.46692      Lin-Lin
 4.06738E+06 1.47099      Lin-Lin
 4.07014E+06 1.47432      Lin-Lin
 4.1052E+06  1.523        Lin-Lin
 4.10521E+06 1.52302      Lin-Lin
 4.11555E+06 1.53678      Lin-Lin
 4.12591E+06 1.55073      Lin-Lin
 4.14531E+06 1.58525      Lin-Lin
 4.16108E+06 1.61227      Lin-Lin
 4.17012E+06 1.62781      Lin-Lin
 4.17917E+06 1.64283      Lin-Lin
 4.18991E+06 1.66125      Lin-Lin
 4.20067E+06 1.67966      Lin-Lin
 4.2258E+06  1.72257      Lin-Lin
 4.23788E+06 1.74097      Lin-Lin
 4.25001E+06 1.75946      Lin-Lin
