#LIBRARY    ENDF/B-VII.1
#REACTION   S-32(N,INL)S-32,SIG
#NUCLEUS    S-32
#MF         3
#MT         4
#EN-MIN     2.30035e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.30035E+06 0            Lin-Lin
 2.5E+06     0.194913     Lin-Lin
 2.6617E+06  0.219645     Lin-Lin
 2.85004E+06 0.246625     Lin-Lin
 3E+06       0.26686      Lin-Lin
 3.24037E+06 0.282773     Lin-Lin
 3.5E+06     0.298686     Lin-Lin
 3.75E+06    0.306592     Lin-Lin
 3.89822E+06 0.306736     Lin-Lin
 4E+06       0.319545     Lin-Lin
 4.11953E+06 0.321266     Lin-Lin
 4.21152E+06 0.322515     Lin-Lin
 4.35337E+06 0.32432      Lin-Lin
 4.41503E+06 0.325043     Lin-Lin
 4.5E+06     0.349682     Lin-Lin
 4.59967E+06 0.348934     Lin-Lin
 4.62011E+06 0.349774     Lin-Lin
 4.71228E+06 0.35344      Lin-Lin
 4.84312E+06 0.358459     Lin-Lin
 4.85401E+06 0.35976      Lin-Lin
 4.87002E+06 0.361647     Lin-Lin
 5E+06       0.377434     Lin-Lin
 5.16393E+06 0.373761     Lin-Lin
 5.21829E+06 0.374921     Lin-Lin
 5.23318E+06 0.375232     Lin-Lin
 5.40361E+06 0.378723     Lin-Lin
 5.41517E+06 0.378955     Lin-Lin
 5.57036E+06 0.382562     Lin-Lin
 5.60948E+06 0.384661     Lin-Lin
 5.70009E+06 0.389485     Lin-Lin
 5.73266E+06 0.391203     Lin-Lin
 5.79835E+06 0.394635     Lin-Lin
 5.86689E+06 0.398376     Lin-Lin
 6E+06       0.405596     Lin-Lin
 6.11305E+06 0.409321     Lin-Lin
 6.21746E+06 0.41265      Lin-Lin
 6.35407E+06 0.416849     Lin-Lin
 6.48074E+06 0.420573     Lin-Lin
 6.50974E+06 0.42148      Lin-Lin
 6.71985E+06 0.427717     Lin-Lin
 6.90534E+06 0.432923     Lin-Lin
 7E+06       0.435477     Lin-Lin
 7.23762E+06 0.442349     Lin-Lin
 7.42112E+06 0.447316     Lin-Lin
 7.48332E+06 0.448879     Lin-Lin
 7.70513E+06 0.45492      Lin-Lin
 7.73735E+06 0.455725     Lin-Lin
 7.86758E+06 0.459023     Lin-Lin
 8E+06       0.462395     Lin-Lin
 8.23907E+06 0.470264     Lin-Lin
 8.42305E+06 0.475892     Lin-Lin
 8.48528E+06 0.477809     Lin-Lin
 8.61113E+06 0.481724     Lin-Lin
 8.73885E+06 0.485354     Lin-Lin
 8.80342E+06 0.487307     Lin-Lin
 9E+06       0.49328      Lin-Lin
 9.24021E+06 0.491614     Lin-Lin
 9.48683E+06 0.490231     Lin-Lin
 9.6126E+06  0.489643     Lin-Lin
 9.74004E+06 0.489069     Lin-Lin
 1E+07       0.487513     Lin-Lin
 1.02411E+07 0.476329     Lin-Lin
 1.04881E+07 0.4649       Lin-Lin
 1.06138E+07 0.459175     Lin-Lin
 1.0741E+07  0.453394     Lin-Lin
 1.09021E+07 0.446159     Lin-Lin
 1.1E+07     0.441771     Lin-Lin
 1.12419E+07 0.429446     Lin-Lin
 1.14891E+07 0.416862     Lin-Lin
 1.16148E+07 0.410493     Lin-Lin
 1.17418E+07 0.40406      Lin-Lin
 1.19025E+07 0.396157     Lin-Lin
 1.2E+07     0.391366     Lin-Lin
 1.249E+07   0.389995     Lin-Lin
 1.27424E+07 0.389295     Lin-Lin
 1.28706E+07 0.388966     Lin-Lin
 1.3E+07     0.388636     Lin-Lin
 1.32431E+07 0.392        Lin-Lin
 1.34907E+07 0.395451     Lin-Lin
 1.3743E+07  0.398969     Lin-Lin
 1.38709E+07 0.400772     Lin-Lin
 1.4E+07     0.402592     Lin-Lin
 1.45E+07    0.42149      Lin-Lin
 1.5E+07     0.430784     Lin-Lin
 1.54919E+07 0.44364      Lin-Lin
 1.57439E+07 0.450239     Lin-Lin
 1.6E+07     0.456968     Lin-Lin
 1.64924E+07 0.468711     Lin-Lin
 1.67443E+07 0.474737     Lin-Lin
 1.7E+07     0.480863     Lin-Lin
 1.74929E+07 0.487257     Lin-Lin
 1.77446E+07 0.490537     Lin-Lin
 1.8E+07     0.493879     Lin-Lin
 1.84932E+07 0.497456     Lin-Lin
 1.87449E+07 0.499282     Lin-Lin
 1.9E+07     0.501144     Lin-Lin
 1.94936E+07 0.498899     Lin-Lin
 1.97452E+07 0.497721     Lin-Lin
 2E+07       0.496536     Lin-Lin
 2E+08       0            Lin-Lin
