#LIBRARY    JENDL/HE-2007
#REACTION   SI-28(N,INL)SI-28,SIG
#NUCLEUS    Si-28
#MF         3
#MT         4
#EN-MIN     1.84298e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1.84298E+06 0            Lin-Lin
 1.84304E+06 7.6209E-06   Lin-Lin
 1.84775E+06 0.00649944   Lin-Lin
 1.85692E+06 0.0190774    Lin-Lin
 1.87423E+06 0.0426609    Lin-Lin
 1.88951E+06 0.0632966    Lin-Lin
 1.91654E+06 0.0994089    Lin-Lin
 1.95262E+06 0.146806     Lin-Lin
 2E+06       0.207746     Lin-Lin
 2.09732E+06 0.245389     Lin-Lin
 2.18031E+06 0.276132     Lin-Lin
 2.27287E+06 0.30907      Lin-Lin
 2.38914E+06 0.348595     Lin-Lin
 2.44949E+06 0.368358     Lin-Lin
 2.57684E+06 0.411091     Lin-Lin
 2.67667E+06 0.443141     Lin-Lin
 2.83373E+06 0.491216     Lin-Lin
 3E+06       0.539291     Lin-Lin
 3.4641E+06  0.562433     Lin-Lin
 4E+06       0.585576     Lin-Lin
 4.78425E+06 0.593964     Lin-Lin
 4.78429E+06 0.593962     Lin-Lin
 4.7975E+06  0.595914     Lin-Lin
 4.82235E+06 0.59957      Lin-Lin
 4.86616E+06 0.605948     Lin-Lin
 4.93263E+06 0.61547      Lin-Lin
 5E+06       0.624937     Lin-Lin
 5.11849E+06 0.626581     Lin-Lin
 5.15861E+06 0.627071     Lin-Lin
 5.15862E+06 0.62911      Lin-Lin
 5.20756E+06 0.630278     Lin-Lin
 5.27572E+06 0.631863     Lin-Lin
 5.33904E+06 0.633292     Lin-Lin
 5.35719E+06 0.633688     Lin-Lin
 5.4175E+06  0.634867     Lin-Lin
 5.51113E+06 0.636614     Lin-Lin
 5.51989E+06 0.636757     Lin-Lin
 5.56342E+06 0.63742      Lin-Lin
 5.63619E+06 0.639075     Lin-Lin
 5.75037E+06 0.641545     Lin-Lin
 5.76352E+06 0.641793     Lin-Lin
 5.92011E+06 0.644557     Lin-Lin
 6E+06       0.645888     Lin-Lin
 6.37327E+06 0.611966     Lin-Lin
 6.50279E+06 0.600359     Lin-Lin
 6.51581E+06 0.600691     Lin-Lin
 6.54111E+06 0.601327     Lin-Lin
 6.58882E+06 0.60249      Lin-Lin
 6.66784E+06 0.604315     Lin-Lin
 6.76124E+06 0.606313     Lin-Lin
 6.87503E+06 0.60852      Lin-Lin
 6.93265E+06 0.609545     Lin-Lin
 6.94943E+06 0.60864      Lin-Lin
