#LIBRARY    JENDL/HE-2007
#REACTION   C-12(N,N`)C-12-L1,SIG
#NUCLEUS    C-12
#MF         3
#MT         51
#EN-MIN     4.812e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 4.812E+06   0            Lin-Lin
 4.96456E+06 0.0573077    Lin-Lin
 5.00583E+06 0.0577446    Lin-Lin
 5.04711E+06 0.0601573    Lin-Lin
 5.08838E+06 0.0643215    Lin-Lin
 5.12966E+06 0.0700124    Lin-Lin
 5.21221E+06 0.0850759    Lin-Lin
 5.29476E+06 0.103552     Lin-Lin
 5.45986E+06 0.143553     Lin-Lin
 5.54241E+06 0.161487     Lin-Lin
 5.72187E+06 0.192458     Lin-Lin
 5.81878E+06 0.213599     Lin-Lin
 6.01259E+06 0.257528     Lin-Lin
 6.1095E+06  0.27465      Lin-Lin
 6.20641E+06 0.284762     Lin-Lin
 6.30331E+06 0.285034     Lin-Lin
 6.40022E+06 0.272627     Lin-Lin
 6.51507E+06 0.240739     Lin-Lin
 6.62993E+06 0.200151     Lin-Lin
 6.74478E+06 0.163465     Lin-Lin
 6.80221E+06 0.150524     Lin-Lin
 6.85963E+06 0.143283     Lin-Lin
 6.89911E+06 0.142391     Lin-Lin
 6.93859E+06 0.144803     Lin-Lin
 7.01756E+06 0.158205     Lin-Lin
 7.09652E+06 0.180817     Lin-Lin
 7.17548E+06 0.209966     Lin-Lin
 7.3334E+06  0.277182     Lin-Lin
 7.49132E+06 0.338467     Lin-Lin
 7.52722E+06 0.344931     Lin-Lin
 7.56311E+06 0.342669     Lin-Lin
 7.63489E+06 0.321643     Lin-Lin
 7.70667E+06 0.294754     Lin-Lin
 7.74257E+06 0.285159     Lin-Lin
 7.77846E+06 0.28136      Lin-Lin
 7.83588E+06 0.29001      Lin-Lin
 7.89331E+06 0.31214      Lin-Lin
 8.00816E+06 0.372117     Lin-Lin
 8.06559E+06 0.3976       Lin-Lin
 8.12302E+06 0.411834     Lin-Lin
 8.18044E+06 0.408638     Lin-Lin
 8.23787E+06 0.381831     Lin-Lin
 8.33478E+06 0.324048     Lin-Lin
 8.43168E+06 0.285595     Lin-Lin
 8.52858E+06 0.262902     Lin-Lin
 8.6255E+06  0.252394     Lin-Lin
 8.7224E+06  0.250505     Lin-Lin
 8.81931E+06 0.253664     Lin-Lin
 9.01313E+06 0.260842     Lin-Lin
 9.17105E+06 0.258844     Lin-Lin
 9.32897E+06 0.259465     Lin-Lin
 9.48689E+06 0.274116     Lin-Lin
 9.56586E+06 0.29027      Lin-Lin
 9.64482E+06 0.31421      Lin-Lin
 9.70224E+06 0.330169     Lin-Lin
 9.75967E+06 0.337856     Lin-Lin
 9.87452E+06 0.334323     Lin-Lin
 1E+07       0.313359     Lin-Lin
 1.01042E+07 0.303431     Lin-Lin
 1.02E+07    0.30141      Lin-Lin
 1.02478E+07 0.300879     Lin-Lin
 1.03914E+07 0.312466     Lin-Lin
 1.05E+07    0.330164     Lin-Lin
 1.06785E+07 0.349733     Lin-Lin
 1.08E+07    0.365155     Lin-Lin
 1.09656E+07 0.345327     Lin-Lin
 1.1E+07     0.33927      Lin-Lin
 1.11092E+07 0.331508     Lin-Lin
 1.12E+07    0.31829      Lin-Lin
 1.12528E+07 0.312452     Lin-Lin
 1.15E+07    0.277582     Lin-Lin
 1.16835E+07 0.260873     Lin-Lin
 1.21142E+07 0.233602     Lin-Lin
 1.25448E+07 0.215491     Lin-Lin
 1.29755E+07 0.203752     Lin-Lin
 1.38369E+07 0.188241     Lin-Lin
 1.42676E+07 0.178893     Lin-Lin
 1.46983E+07 0.164767     Lin-Lin
 1.52152E+07 0.145421     Lin-Lin
 1.5732E+07  0.129287     Lin-Lin
 1.62489E+07 0.116424     Lin-Lin
 1.67657E+07 0.106894     Lin-Lin
 1.72825E+07 0.100755     Lin-Lin
 1.77994E+07 0.0980678    Lin-Lin
 1.83162E+07 0.095        Lin-Lin
 2E+07       0.09         Lin-Lin
 2E+07       0            Lin-Lin
