#LIBRARY    JENDL-4.0
#REACTION   CR-53(N,N`)CR-53-L1,SIG
#NUCLEUS    Cr-53
#MF         3
#MT         51
#EN-MIN     574776
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 574776      0            Lin-Lin
 600000      0.14994      Lin-Lin
 700000      0.181802     Lin-Lin
 800000      0.199359     Lin-Lin
 900000      0.222118     Lin-Lin
 1E+06       0.249935     Lin-Lin
 1.02544E+06 0.25754      Lin-Lin
 1.1E+06     0.24858      Lin-Lin
 1.2E+06     0.268459     Lin-Lin
 1.31409E+06 0.2897       Lin-Lin
 1.4E+06     0.291338     Lin-Lin
 1.5E+06     0.299526     Lin-Lin
 1.5659E+06  0.302372     Lin-Lin
 1.6E+06     0.296555     Lin-Lin
 1.7E+06     0.294046     Lin-Lin
 1.8E+06     0.288815     Lin-Lin
 1.9E+06     0.281047     Lin-Lin
 2.01126E+06 0.270488     Lin-Lin
 2.21372E+06 0.234239     Lin-Lin
 2.36493E+06 0.218584     Lin-Lin
 2.5E+06     0.192267     Lin-Lin
 2.70701E+06 0.17271      Lin-Lin
 2.72077E+06 0.170113     Lin-Lin
 2.75E+06    0.162946     Lin-Lin
 2.7601E+06  0.161769     Lin-Lin
 2.77488E+06 0.155567     Lin-Lin
 2.8238E+06  0.14632      Lin-Lin
 2.88035E+06 0.139423     Lin-Lin
 3E+06       0.131788     Lin-Lin
 3.04992E+06 0.127854     Lin-Lin
 3.14287E+06 0.119559     Lin-Lin
 3.19687E+06 0.115476     Lin-Lin
 3.23254E+06 0.112169     Lin-Lin
 3.24064E+06 0.110209     Lin-Lin
 3.30538E+06 0.102202     Lin-Lin
 3.32429E+06 0.100788     Lin-Lin
 3.41485E+06 0.0928498    Lin-Lin
 3.44613E+06 0.0904792    Lin-Lin
 3.50004E+06 0.0868591    Lin-Lin
 3.66757E+06 0.0774719    Lin-Lin
 3.68541E+06 0.0760927    Lin-Lin
 3.76591E+06 0.0711483    Lin-Lin
 3.77712E+06 0.0695228    Lin-Lin
 3.85304E+06 0.0656408    Lin-Lin
 3.91112E+06 0.0622344    Lin-Lin
 4E+06       0.0580816    Lin-Lin
 4.5E+06     0.0399763    Lin-Lin
 5E+06       0.0285028    Lin-Lin
 5.5E+06     0.0207864    Lin-Lin
 6E+06       0.0154357    Lin-Lin
 6.5E+06     0.0116633    Lin-Lin
 7E+06       0.0089555    Lin-Lin
 7.5E+06     0.00698383   Lin-Lin
 8E+06       0.00554003   Lin-Lin
 8.5E+06     0.00448636   Lin-Lin
 9E+06       0.003718     Lin-Lin
 9.5E+06     0.00314776   Lin-Lin
 1E+07       0.00272668   Lin-Lin
 1.05E+07    0.0024089    Lin-Lin
 1.1E+07     0.00216174   Lin-Lin
 1.15E+07    0.00196293   Lin-Lin
 1.2E+07     0.0017976    Lin-Lin
 1.25E+07    0.00165602   Lin-Lin
 1.3E+07     0.00153183   Lin-Lin
 1.35E+07    0.0014216    Lin-Lin
 1.4E+07     0.001323     Lin-Lin
 1.45E+07    0.0012342    Lin-Lin
 1.5E+07     0.00115425   Lin-Lin
 1.55E+07    0.00108218   Lin-Lin
 1.6E+07     0.00101713   Lin-Lin
 1.65E+07    0.000957893  Lin-Lin
 1.7E+07     0.00090419   Lin-Lin
 1.75E+07    0.000855507  Lin-Lin
 1.8E+07     0.000811204  Lin-Lin
 1.85E+07    0.000770614  Lin-Lin
 1.9E+07     0.000733371  Lin-Lin
 1.95E+07    0.000699045  Lin-Lin
 2E+07       0.000667194  Lin-Lin
