#LIBRARY    JENDL/HE-2007
#REACTION   FE-56(N,N`)FE-56-L1,SIG
#NUCLEUS    Fe-56
#MF         3
#MT         51
#EN-MIN     862070
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 862070      0            Lin-Lin
 863787      0.0778334    Lin-Lin
 865054      0.123522     Lin-Lin
 867081      0.0938241    Lin-Lin
 868854      0.23089      Lin-Lin
 871134      0.651223     Lin-Lin
 872148      0.888803     Lin-Lin
 873415      0.662645     Lin-Lin
 874175      0.379377     Lin-Lin
 875695      0.201192     Lin-Lin
 877468      0.134944     Lin-Lin
 879749      0.0595721    Lin-Lin
 881775      0.048178     Lin-Lin
 882789      0.0962238    Lin-Lin
 883549      0.155727     Lin-Lin
 885069      0.242775     Lin-Lin
 886842      0.142148     Lin-Lin
 888616      0.160558     Lin-Lin
 889376      0.444792     Lin-Lin
 890136      0.481577     Lin-Lin
 890896      0.224877     Lin-Lin
 891909      0.0896189    Lin-Lin
 892923      0.0345806    Lin-Lin
 893936      0.0116398    Lin-Lin
 897230      0.0116518    Lin-Lin
 899510      0.0967308    Lin-Lin
 900777      0.147371     Lin-Lin
 901537      0.359067     Lin-Lin
 902297      0.527158     Lin-Lin
 903310      0.377737     Lin-Lin
 904070      0.168284     Lin-Lin
 905590      0.0716039    Lin-Lin
 907617      0.0347617    Lin-Lin
 910657      0.0809951    Lin-Lin
 913698      0.12041      Lin-Lin
 914964      0.298624     Lin-Lin
 916738      0.196971     Lin-Lin
 918005      0.0951457    Lin-Lin
 919778      0.0256878    Lin-Lin
 923325      0.0538058    Lin-Lin
 924845      0.231556     Lin-Lin
 926365      0.325759     Lin-Lin
 927632      0.14566      Lin-Lin
 928899      0.0800994    Lin-Lin
 930926      0.285457     Lin-Lin
 931686      0.448629     Lin-Lin
 932699      0.827475     Lin-Lin
 933966      1.25521      Lin-Lin
 935233      0.9301       Lin-Lin
 935993      0.520258     Lin-Lin
 937006      0.31172      Lin-Lin
 937766      0.140638     Lin-Lin
 940300      0.0527362    Lin-Lin
 942326      0.0984141    Lin-Lin
 944353      0.271712     Lin-Lin
 945873      0.313229     Lin-Lin
 946633      0.535346     Lin-Lin
 947394      0.453865     Lin-Lin
 948407      0.326423     Lin-Lin
 949167      0.181615     Lin-Lin
 951194      0.0462684    Lin-Lin
 951954      0.0147452    Lin-Lin
 954487      0.014797     Lin-Lin
 956261      0.0441509    Lin-Lin
 957274      0.16654      Lin-Lin
 959808      0.203948     Lin-Lin
 960821      0.309948     Lin-Lin
 961581      0.467778     Lin-Lin
 962595      0.350133     Lin-Lin
 963608      0.16059      Lin-Lin
 964875      0.0619807    Lin-Lin
 967662      0.119292     Lin-Lin
 969689      0.31354      Lin-Lin
 971209      0.278951     Lin-Lin
 972729      0.329004     Lin-Lin
 975009      0.219666     Lin-Lin
 976276      0.299685     Lin-Lin
 977036      0.377214     Lin-Lin
 978049      0.140082     Lin-Lin
 979569      0.245212     Lin-Lin
 980836      0.403009     Lin-Lin
 981849      0.583475     Lin-Lin
 982610      0.824142     Lin-Lin
 983623      0.624127     Lin-Lin
 984636      0.356199     Lin-Lin
 986156      0.158261     Lin-Lin
 987423      0.379333     Lin-Lin
 988437      0.502643     Lin-Lin
 990210      0.281827     Lin-Lin
 991223      0.120952     Lin-Lin
 992923      0.211724     Lin-Lin
 994189      0.519317     Lin-Lin
 996723      0.855648     Lin-Lin
 999003      1.09924      Lin-Lin
 1.00103E+06 1.21173      Lin-Lin
 1.00179E+06 1.16161      Lin-Lin
 1.00255E+06 0.91907      Lin-Lin
 1.00407E+06 0.732341     Lin-Lin
 1.0066E+06  0.505014     Lin-Lin
 1.00863E+06 0.368421     Lin-Lin
 1.01192E+06 0.206248     Lin-Lin
 1.01395E+06 0.321075     Lin-Lin
 1.01522E+06 0.423258     Lin-Lin
 1.01623E+06 0.334252     Lin-Lin
 1.018E+06   0.1074       Lin-Lin
 1.01978E+06 0.240394     Lin-Lin
 1.02104E+06 0.176637     Lin-Lin
 1.02231E+06 0.115346     Lin-Lin
 1.02383E+06 0.228153     Lin-Lin
 1.02459E+06 0.341007     Lin-Lin
 1.02636E+06 0.205401     Lin-Lin
 1.02763E+06 0.0823309    Lin-Lin
 1.02915E+06 0.195456     Lin-Lin
 1.03067E+06 0.37307      Lin-Lin
 1.03219E+06 0.208669     Lin-Lin
 1.0332E+06  0.0954736    Lin-Lin
 1.03624E+06 0.175618     Lin-Lin
 1.03827E+06 0.330801     Lin-Lin
 1.04156E+06 0.579859     Lin-Lin
 1.04359E+06 0.660852     Lin-Lin
 1.04511E+06 0.451386     Lin-Lin
 1.04638E+06 0.285635     Lin-Lin
 1.04917E+06 0.202919     Lin-Lin
 1.05221E+06 0.200669     Lin-Lin
 1.05347E+06 0.302429     Lin-Lin
 1.05474E+06 0.500814     Lin-Lin
 1.05575E+06 0.741125     Lin-Lin
 1.05677E+06 0.616254     Lin-Lin
 1.05778E+06 0.37892      Lin-Lin
 1.05854E+06 0.185716     Lin-Lin
 1.06259E+06 0.416626     Lin-Lin
 1.06437E+06 0.624166     Lin-Lin
 1.0669E+06  0.805324     Lin-Lin
 1.06817E+06 0.639553     Lin-Lin
 1.06918E+06 0.440106     Lin-Lin
 1.07045E+06 0.277518     Lin-Lin
 1.07171E+06 0.191016     Lin-Lin
 1.07399E+06 0.292515     Lin-Lin
 1.07475E+06 0.341931     Lin-Lin
 1.07577E+06 0.604997     Lin-Lin
 1.07678E+06 1.09435      Lin-Lin
 1.07855E+06 1.18151      Lin-Lin
 1.07982E+06 0.865916     Lin-Lin
 1.08083E+06 0.60812      Lin-Lin
 1.08286E+06 0.449021     Lin-Lin
 1.08539E+06 0.238462     Lin-Lin
 1.08945E+06 0.113828     Lin-Lin
 1.09241E+06 0.193502     Lin-Lin
 1.09419E+06 0.35803      Lin-Lin
 1.0952E+06  0.496705     Lin-Lin
 1.09647E+06 0.719898     Lin-Lin
 1.09748E+06 0.847831     Lin-Lin
 1.09849E+06 0.739435     Lin-Lin
 1.09951E+06 0.615794     Lin-Lin
 1.10052E+06 0.456444     Lin-Lin
 1.10179E+06 0.425312     Lin-Lin
 1.1028E+06  0.496673     Lin-Lin
