#LIBRARY    JENDL-4.0/HE
#REACTION   NA-23(N,N`)NA-23-L1,SIG
#NUCLEUS    Na-23
#MF         3
#MT         51
#EN-MIN     459259
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 459259      0            Lin-Lin
 459260      1.35394E-08  Lin-Lin
 459262      1.48197E-08  Lin-Lin
 459263      1.6201E-08   Lin-Lin
 459264      1.7688E-08   Lin-Lin
 459266      1.92865E-08  Lin-Lin
 459267      2.10025E-08  Lin-Lin
 459268      2.28419E-08  Lin-Lin
 459270      2.48094E-08  Lin-Lin
 459271      2.69158E-08  Lin-Lin
 459272      2.91608E-08  Lin-Lin
 459274      3.15558E-08  Lin-Lin
 459275      3.41052E-08  Lin-Lin
 459276      3.68155E-08  Lin-Lin
 459278      4.06909E-08  Lin-Lin
 459280      4.48755E-08  Lin-Lin
 459281      4.82282E-08  Lin-Lin
 459283      5.2992E-08   Lin-Lin
 459285      5.81085E-08  Lin-Lin
 459286      6.35849E-08  Lin-Lin
 459288      6.944E-08    Lin-Lin
 459290      7.56785E-08  Lin-Lin
 459292      8.23185E-08  Lin-Lin
 459294      8.93621E-08  Lin-Lin
 459295      9.68262E-08  Lin-Lin
 459297      1.0471E-07   Lin-Lin
 459300      1.17349E-07  Lin-Lin
 459302      1.30973E-07  Lin-Lin
 459305      1.45588E-07  Lin-Lin
 459307      1.59565E-07  Lin-Lin
 459310      1.7434E-07   Lin-Lin
 459313      1.95276E-07  Lin-Lin
 459316      2.17598E-07  Lin-Lin
 459319      2.41267E-07  Lin-Lin
 459323      2.72667E-07  Lin-Lin
 459327      3.05966E-07  Lin-Lin
 459332      3.4823E-07   Lin-Lin
 459337      3.92749E-07  Lin-Lin
 459343      4.55122E-07  Lin-Lin
 459351      5.36984E-07  Lin-Lin
 459360      6.39358E-07  Lin-Lin
 459375      7.97936E-07  Lin-Lin
 459432      1.44735E-06  Lin-Lin
 493180      0.000387756  Lin-Lin
 493190      0.000388813  Lin-Lin
 493201      0.00039181   Lin-Lin
 493206      0.000394919  Lin-Lin
 493211      0.000399975  Lin-Lin
 493215      0.000405665  Lin-Lin
 493219      0.000413648  Lin-Lin
 493223      0.000424711  Lin-Lin
 493226      0.000434282  Lin-Lin
 493228      0.000446021  Lin-Lin
 493231      0.000460345  Lin-Lin
 493233      0.000477715  Lin-Lin
 493236      0.000498672  Lin-Lin
 493238      0.000517107  Lin-Lin
 493240      0.000538178  Lin-Lin
 493242      0.000562189  Lin-Lin
 493244      0.00058947   Lin-Lin
 493246      0.000620369  Lin-Lin
 493248      0.000655244  Lin-Lin
 493250      0.00069455   Lin-Lin
 493252      0.000738651  Lin-Lin
 493254      0.000788009  Lin-Lin
 493256      0.00084306   Lin-Lin
 493258      0.000904342  Lin-Lin
 493260      0.000972328  Lin-Lin
 493262      0.00104758   Lin-Lin
 493263      0.00113049   Lin-Lin
 493265      0.00122173   Lin-Lin
 493267      0.00132181   Lin-Lin
 493269      0.00143126   Lin-Lin
 493271      0.00155063   Lin-Lin
 493273      0.00168047   Lin-Lin
 493275      0.0018213    Lin-Lin
 493277      0.00197364   Lin-Lin
 493279      0.00213792   Lin-Lin
 493281      0.00231486   Lin-Lin
 493283      0.00250466   Lin-Lin
 493285      0.00270783   Lin-Lin
 493287      0.00292464   Lin-Lin
 493289      0.00315567   Lin-Lin
 493292      0.00348625   Lin-Lin
 493294      0.00384293   Lin-Lin
 493296      0.00412796   Lin-Lin
 493299      0.0045315    Lin-Lin
 493301      0.00497285   Lin-Lin
 493304      0.00545382   Lin-Lin
 493307      0.0059645    Lin-Lin
 493310      0.00650412   Lin-Lin
 493312      0.00707247   Lin-Lin
 493316      0.00797646   Lin-Lin
 493320      0.00893959   Lin-Lin
 493325      0.00995818   Lin-Lin
 493330      0.0113943    Lin-Lin
 493336      0.0129092    Lin-Lin
 493342      0.014895     Lin-Lin
 493351      0.0173851    Lin-Lin
 493363      0.0212674    Lin-Lin
 493388      0.0292835    Lin-Lin
 493573      0.0905862    Lin-Lin
 493595      0.0975457    Lin-Lin
 493612      0.102336     Lin-Lin
 493623      0.105125     Lin-Lin
 493634      0.10744      Lin-Lin
 493645      0.109167     Lin-Lin
 493655      0.110229     Lin-Lin
 493667      0.110664     Lin-Lin
 493669      0.110668     Lin-Lin
