#LIBRARY    JENDL-4.0/HE
#REACTION   NI-58(N,N`)NI-58-L1,SIG
#NUCLEUS    Ni-58
#MF         3
#MT         51
#EN-MIN     1.47931e+06
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1.47931E+06 0            Lin-Lin
 1.5E+06     0.174641     Lin-Lin
 1.55518E+06 0.215848     Lin-Lin
 1.60175E+06 0.2495       Lin-Lin
 1.6532E+06  0.285556     Lin-Lin
 1.71712E+06 0.328823     Lin-Lin
 1.75E+06    0.350456     Lin-Lin
 1.93434E+06 0.380112     Lin-Lin
 2E+06       0.389997     Lin-Lin
 2.11515E+06 0.424832     Lin-Lin
 2.2764E+06  0.470554     Lin-Lin
 2.42436E+06 0.509743     Lin-Lin
 2.50191E+06 0.529338     Lin-Lin
 2.73965E+06 0.558349     Lin-Lin
 2.82382E+06 0.568019     Lin-Lin
 2.95232E+06 0.534329     Lin-Lin
 2.99681E+06 0.51476      Lin-Lin
 3E+06       0.51302      Lin-Lin
 3.09049E+06 0.483306     Lin-Lin
 3.26123E+06 0.420609     Lin-Lin
 3.32022E+06 0.39971      Lin-Lin
 3.47985E+06 0.348989     Lin-Lin
 3.58886E+06 0.317739     Lin-Lin
 3.65596E+06 0.300103     Lin-Lin
 3.68302E+06 0.291178     Lin-Lin
 3.84011E+06 0.256784     Lin-Lin
 3.96617E+06 0.231766     Lin-Lin
 4.00046E+06 0.223845     Lin-Lin
 4.22985E+06 0.200757     Lin-Lin
 4.48019E+06 0.176948     Lin-Lin
 4.65932E+06 0.160714     Lin-Lin
 4.88376E+06 0.141234     Lin-Lin
 5E+06       0.131494     Lin-Lin
 5.32339E+06 0.116315     Lin-Lin
 5.5558E+06  0.105966     Lin-Lin
 5.84812E+06 0.0935475    Lin-Lin
 6E+06       0.0873381    Lin-Lin
 6.23574E+06 0.0811342    Lin-Lin
 6.60683E+06 0.0718284    Lin-Lin
 6.89957E+06 0.064849     Lin-Lin
 7E+06       0.0625225    Lin-Lin
 8E+06       0.0502245    Lin-Lin
 9E+06       0.0445063    Lin-Lin
 1E+07       0.0412607    Lin-Lin
 1.1E+07     0.0392607    Lin-Lin
 1.2E+07     0.0379479    Lin-Lin
 1.3E+07     0.0370745    Lin-Lin
 1.4E+07     0.0364597    Lin-Lin
 1.5E+07     0.0360201    Lin-Lin
 1.6E+07     0.0356916    Lin-Lin
 1.7E+07     0.0357225    Lin-Lin
 1.8E+07     0.0356926    Lin-Lin
 1.9E+07     0.0352199    Lin-Lin
 2E+07       0.0346194    Lin-Lin
 2E+07       0            Lin-Lin
