#LIBRARY    JENDL/HE-2007
#REACTION   O-16(N,N`)O-16-L1(E+POS)O-16,SIG
#NUCLEUS    O-16
#MF         3
#MT         51
#EN-MIN     6.43046e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 6.43046E+06 0            Lin-Lin
 6.44778E+06 0.00254167   Lin-Lin
 6.4869E+06  0.00826044   Lin-Lin
 6.5E+06     0.0101667    Lin-Lin
 6.51644E+06 0.0108       Lin-Lin
 6.72374E+06 0.0139008    Lin-Lin
 6.90668E+06 0.0165587    Lin-Lin
 7E+06       0.0178876    Lin-Lin
 7.25E+06    0.0189959    Lin-Lin
 7.35306E+06 0.0224325    Lin-Lin
 7.5E+06     0.0242013    Lin-Lin
 7.56556E+06 0.0252425    Lin-Lin
 7.75E+06    0.0272211    Lin-Lin
 8E+06       0.0305002    Lin-Lin
 8.25E+06    0.0331742    Lin-Lin
 8.5E+06     0.0336239    Lin-Lin
 8.75E+06    0.0285852    Lin-Lin
 9E+06       0.0300301    Lin-Lin
 9.25E+06    0.0278537    Lin-Lin
 9.4313E+06  0.0253304    Lin-Lin
 9.5E+06     0.024692     Lin-Lin
 9.75E+06    0.0215761    Lin-Lin
 1E+07       0.0181237    Lin-Lin
 1.02435E+07 0.0163908    Lin-Lin
 1.04678E+07 0.0150711    Lin-Lin
 1.05E+07    0.0145612    Lin-Lin
 1.1E+07     0.0137845    Lin-Lin
 1.10131E+07 0.0138328    Lin-Lin
 1.13763E+07 0.0115407    Lin-Lin
 1.15E+07    0.0107766    Lin-Lin
 1.16509E+07 0.0107462    Lin-Lin
 1.1778E+07  0.0106741    Lin-Lin
 1.17781E+07 0.0108075    Lin-Lin
 1.17782E+07 0.0109049    Lin-Lin
 1.17785E+07 0.0113412    Lin-Lin
 1.17814E+07 0.0118703    Lin-Lin
 1.17941E+07 0.0130742    Lin-Lin
 1.1835E+07  0.0140261    Lin-Lin
 1.19E+07    0.01675      Lin-Lin
 1.2E+07     0.02         Lin-Lin
 1.21E+07    0.0241       Lin-Lin
 1.22E+07    0.0271       Lin-Lin
 1.23E+07    0.0294       Lin-Lin
 1.24E+07    0.0315       Lin-Lin
 1.245E+07   0.03275      Lin-Lin
 1.25E+07    0.03295      Lin-Lin
 1.255E+07   0.0324       Lin-Lin
 1.26E+07    0.03175      Lin-Lin
 1.27E+07    0.0303       Lin-Lin
 1.28E+07    0.0278       Lin-Lin
 1.29E+07    0.02625      Lin-Lin
 1.3E+07     0.0239       Lin-Lin
 1.31E+07    0.0218       Lin-Lin
 1.32E+07    0.02025      Lin-Lin
 1.33E+07    0.0205       Lin-Lin
 1.34E+07    0.0215       Lin-Lin
 1.35E+07    0.02225      Lin-Lin
 1.36499E+07 0.02395      Lin-Lin
 1.37E+07    0.0245       Lin-Lin
 1.39E+07    0.0263       Lin-Lin
 1.4E+07     0.027        Lin-Lin
 1.41E+07    0.0276       Lin-Lin
 1.42E+07    0.0279       Lin-Lin
 1.43E+07    0.0272       Lin-Lin
 1.44E+07    0.0263       Lin-Lin
 1.46E+07    0.02375      Lin-Lin
 1.47499E+07 0.02235      Lin-Lin
 1.48E+07    0.0219       Lin-Lin
 1.49E+07    0.0209       Lin-Lin
 1.5E+07     0.0199914    Lin-Lin
 1.54922E+07 0.0159638    Lin-Lin
 1.5837E+07  0.0132177    Lin-Lin
 1.62609E+07 0.00992234   Lin-Lin
 1.64771E+07 0.00827468   Lin-Lin
 1.68677E+07 0.00608161   Lin-Lin
 1.7E+07     0.00535059   Lin-Lin
 1.72447E+07 0.00449652   Lin-Lin
 1.76183E+07 0.00321542   Lin-Lin
 1.79038E+07 0.0022546    Lin-Lin
 1.8E+07     0.00193432   Lin-Lin
 1.84309E+07 0.00142642   Lin-Lin
 1.88084E+07 0.000991081  Lin-Lin
 1.9E+07     0.00077341   Lin-Lin
 1.94312E+07 0.00058391   Lin-Lin
 1.98086E+07 0.000421482  Lin-Lin
 2E+07       0.000340268  Lin-Lin
 6E+07       0            Lin-Lin
