#LIBRARY    JENDL-4.0/HE
#REACTION   F-19(N,N`)F-19-L2,SIG
#NUCLEUS    F-19
#MF         3
#MT         52
#EN-MIN     207670
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 207670      0            Lin-Lin
 240000      0.3          Lin-Lin
 275000      0.45         Lin-Lin
 300000      0.6          Lin-Lin
 350000      1.05         Lin-Lin
 400000      1.9          Lin-Lin
 420000      2.25         Lin-Lin
 450000      2.18         Lin-Lin
 500000      1.95         Lin-Lin
 600000      1.55         Lin-Lin
 700000      1.25         Lin-Lin
 800000      1            Lin-Lin
 900000      0.8          Lin-Lin
 1E+06       0.63758      Lin-Lin
 1.42E+06    0.6025       Lin-Lin
 1.45E+06    0.58766      Lin-Lin
 1.5E+06     0.57214      Lin-Lin
 1.54E+06    0.55473      Lin-Lin
 1.55E+06    0.54673      Lin-Lin
 1.6E+06     0.52204      Lin-Lin
 1.64E+06    0.50581      Lin-Lin
 1.7E+06     0.4795       Lin-Lin
 1.8E+06     0.44195      Lin-Lin
 1.9E+06     0.41116      Lin-Lin
 2E+06       0.38644      Lin-Lin
 2.5E+06     0.3203       Lin-Lin
 2.5E+06     0.324581     Lin-Lin
 2.81414E+06 0.303092     Lin-Lin
 3E+06       0.291246     Lin-Lin
 3.36768E+06 0.274361     Lin-Lin
 3.61881E+06 0.264154     Lin-Lin
 4E+06       0.250419     Lin-Lin
 4.11454E+06 0.246886     Lin-Lin
 4.21079E+06 0.242893     Lin-Lin
 4.2466E+06  0.240492     Lin-Lin
 4.5E+06     0.228389     Lin-Lin
 4.6115E+06  0.223651     Lin-Lin
 5E+06       0.203784     Lin-Lin
 5.23318E+06 0.190812     Lin-Lin
 5.60349E+06 0.171354     Lin-Lin
 5.89832E+06 0.15676      Lin-Lin
 6E+06       0.151896     Lin-Lin
 6.23574E+06 0.142015     Lin-Lin
 6.60683E+06 0.127192     Lin-Lin
 7E+06       0.11237      Lin-Lin
 7.48332E+06 0.0997378    Lin-Lin
 7.86758E+06 0.0902636    Lin-Lin
 8E+06       0.0871056    Lin-Lin
 8.48528E+06 0.0785441    Lin-Lin
 9E+06       0.0699826    Lin-Lin
 9.48683E+06 0.0633952    Lin-Lin
 1E+07       0.0568077    Lin-Lin
 1.0741E+07  0.0516539    Lin-Lin
 1.1E+07     0.049936     Lin-Lin
 1.17418E+07 0.0456128    Lin-Lin
 1.2E+07     0.0441718    Lin-Lin
 1.3E+07     0.0403114    Lin-Lin
 1.4E+07     0.0367931    Lin-Lin
 1.54919E+07 0.03328      Lin-Lin
 1.6E+07     0.0321326    Lin-Lin
 1.8E+07     0.0286634    Lin-Lin
 1.94801E+07 0.0264801    Lin-Lin
 2E+07       0.0257523    Lin-Lin
 2E+07       0            Lin-Lin
