#LIBRARY    ENDF/B-VII.1
#REACTION   GD-157(N,N`)GD-157-L2,SIG
#NUCLEUS    Gd-157
#MF         3
#MT         52
#EN-MIN     64330.9
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 64330.9     0            Lin-Lin
 70000       0.162244     Lin-Lin
 80000       0.285368     Lin-Lin
 90000       0.354986     Lin-Lin
 100000      0.403567     Lin-Lin
 120000      0.465653     Lin-Lin
 130000      0.482033     Lin-Lin
 150000      0.503758     Lin-Lin
 200000      0.501857     Lin-Lin
 270000      0.506445     Lin-Lin
 300000      0.505557     Lin-Lin
 320000      0.50293      Lin-Lin
 350000      0.50141      Lin-Lin
 370000      0.499442     Lin-Lin
 450000      0.484791     Lin-Lin
 470000      0.477791     Lin-Lin
 500000      0.451168     Lin-Lin
 520000      0.434653     Lin-Lin
 550000      0.402433     Lin-Lin
 600000      0.357018     Lin-Lin
 620000      0.34274      Lin-Lin
 650000      0.326758     Lin-Lin
 670000      0.318551     Lin-Lin
 700000      0.299501     Lin-Lin
 760000      0.254343     Lin-Lin
 780000      0.240091     Lin-Lin
 800000      0.228781     Lin-Lin
 900000      0.184001     Lin-Lin
 1E+06       0.151811     Lin-Lin
 1.1E+06     0.124746     Lin-Lin
 1.2E+06     0.102283     Lin-Lin
 1.3E+06     0.083874     Lin-Lin
 1.4E+06     0.0688699    Lin-Lin
 1.5E+06     0.0566456    Lin-Lin
 1.6E+06     0.0466784    Lin-Lin
 1.7E+06     0.0385306    Lin-Lin
 1.8E+06     0.0318694    Lin-Lin
 1.9E+06     0.0278517    Lin-Lin
 2E+06       0.0229365    Lin-Lin
 2.2E+06     0.015688     Lin-Lin
 2.4E+06     0.011133     Lin-Lin
 2.6E+06     0.00771431   Lin-Lin
 2.8E+06     0.00548188   Lin-Lin
 3E+06       0.00390167   Lin-Lin
 4E+06       0.000736005  Lin-Lin
 4.5E+06     0.000327973  Lin-Lin
 5E+06       0.000147599  Lin-Lin
 5.5E+06     6.06263E-05  Lin-Lin
 6E+06       2.81453E-05  Lin-Lin
 6.5E+06     1.36958E-05  Lin-Lin
 7E+06       6.94048E-06  Lin-Lin
 7.5E+06     3.51544E-06  Lin-Lin
 7.8E+06     2.35195E-06  Lin-Lin
 8E+06       1.80765E-06  Lin-Lin
 8.5E+06     9.35353E-07  Lin-Lin
 9E+06       4.95163E-07  Lin-Lin
 1E+07       1.46598E-07  Lin-Lin
 1.05E+07    8.21311E-08  Lin-Lin
 1.1E+07     4.68077E-08  Lin-Lin
 1.15E+07    2.72334E-08  Lin-Lin
 1.2E+07     1.60945E-08  Lin-Lin
 1.3E+07     5.90992E-09  Lin-Lin
 1.4E+07     2.31023E-09  Lin-Lin
 1.5E+07     9.50747E-10  Lin-Lin
 1.6E+07     4.1103E-10   Lin-Lin
 1.7E+07     1.85176E-10  Lin-Lin
 1.8E+07     8.72075E-11  Lin-Lin
 1.9E+07     4.27651E-11  Lin-Lin
 2E+07       2.13954E-11  Lin-Lin
