#LIBRARY    ENDF/B-VIII.0
#REACTION   K-39(N,N`)K-39-L2,SIG
#NUCLEUS    K-39
#MF         3
#MT         52
#EN-MIN     2.88685e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.88685E+06 0            Lin-Lin
 3E+06       0.0356537    Lin-Lin
 3.07257E+06 0.0451562    Lin-Lin
 3.09715E+06 0.0483237    Lin-Lin
 3.23602E+06 0.05681      Lin-Lin
 3.34425E+06 0.0631747    Lin-Lin
 3.51342E+06 0.0727218    Lin-Lin
 3.69114E+06 0.0822689    Lin-Lin
 3.89837E+06 0.0802126    Lin-Lin
 4E+06       0.0797193    Lin-Lin
 4.3189E+06  0.0728282    Lin-Lin
 4.55078E+06 0.0681298    Lin-Lin
 4.84554E+06 0.0624917    Lin-Lin
 5.23318E+06 0.055434     Lin-Lin
 5.5558E+06  0.0498708    Lin-Lin
 5.84812E+06 0.0451023    Lin-Lin
 6E+06       0.0427181    Lin-Lin
 6.23574E+06 0.037713     Lin-Lin
 6.4186E+06  0.0339592    Lin-Lin
 6.703E+06   0.0283284    Lin-Lin
 6.92454E+06 0.0241054    Lin-Lin
 7E+06       0.0226977    Lin-Lin
 7.23762E+06 0.0196918    Lin-Lin
 7.49113E+06 0.0165919    Lin-Lin
 7.66904E+06 0.0144784    Lin-Lin
 7.88812E+06 0.0119421    Lin-Lin
 8E+06       0.010674     Lin-Lin
 8.33055E+06 0.00858608   Lin-Lin
 8.56372E+06 0.00716249   Lin-Lin
 8.77915E+06 0.00588127   Lin-Lin
 9E+06       0.00460004   Lin-Lin
 9.33193E+06 0.00368455   Lin-Lin
 9.56524E+06 0.00306035   Lin-Lin
 9.78021E+06 0.00249858   Lin-Lin
 1E+07       0.0019368    Lin-Lin
 1.03331E+07 0.00154573   Lin-Lin
 1.05665E+07 0.00127909   Lin-Lin
 1.08536E+07 0.00095912   Lin-Lin
 1.1E+07     0.000799136  Lin-Lin
 1.1334E+07  0.000630136  Lin-Lin
 1.15675E+07 0.000514909  Lin-Lin
 1.18541E+07 0.000376636  Lin-Lin
 1.2E+07     0.0003075    Lin-Lin
 1.23348E+07 0.000249307  Lin-Lin
 1.25683E+07 0.00020963   Lin-Lin
 1.28545E+07 0.000162018  Lin-Lin
 1.3E+07     0.000138212  Lin-Lin
 1.34284E+07 0.000107875  Lin-Lin
 1.38068E+07 8.18722E-05  Lin-Lin
 1.4E+07     6.88707E-05  Lin-Lin
 1.43734E+07 5.62135E-05  Lin-Lin
 1.45E+07    5.19944E-05  Lin-Lin
 1.5E+07     4.32035E-05  Lin-Lin
 1.54919E+07 3.65436E-05  Lin-Lin
 1.6E+07     2.98837E-05  Lin-Lin
 1.64924E+07 2.5822E-05   Lin-Lin
 1.7E+07     2.17603E-05  Lin-Lin
 1.74929E+07 1.85326E-05  Lin-Lin
 1.8E+07     1.53049E-05  Lin-Lin
 1.84932E+07 1.28285E-05  Lin-Lin
 1.9E+07     1.0352E-05   Lin-Lin
 1.94936E+07 8.65401E-06  Lin-Lin
 2E+07       6.95602E-06  Lin-Lin
