#LIBRARY    ENDF/B-VII.1
#REACTION   S-32(N,N`)S-32-L2,SIG
#NUCLEUS    S-32
#MF         3
#MT         52
#EN-MIN     3.89822e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 3.89822E+06 0            Lin-Lin
 4E+06       0.0127097    Lin-Lin
 4.11953E+06 0.0165583    Lin-Lin
 4.21152E+06 0.0194448    Lin-Lin
 4.35337E+06 0.0237744    Lin-Lin
 4.5E+06     0.0281041    Lin-Lin
 5E+06       0.0300444    Lin-Lin
 5.73266E+06 0.0317739    Lin-Lin
 6E+06       0.0323504    Lin-Lin
 7E+06       0.0319242    Lin-Lin
 7.48332E+06 0.0299149    Lin-Lin
 8E+06       0.0279055    Lin-Lin
 8.48528E+06 0.0253875    Lin-Lin
 9E+06       0.0228696    Lin-Lin
 9.48683E+06 0.0206531    Lin-Lin
 1E+07       0.0184365    Lin-Lin
 1.04881E+07 0.016845     Lin-Lin
 1.1E+07     0.0152535    Lin-Lin
 1.17418E+07 0.0136633    Lin-Lin
 1.2E+07     0.0131333    Lin-Lin
 1.27424E+07 0.0120344    Lin-Lin
 1.32431E+07 0.0113443    Lin-Lin
 1.4E+07     0.0103728    Lin-Lin
 1.54919E+07 0.00858162   Lin-Lin
 1.6E+07     0.00799551   Lin-Lin
 1.67443E+07 0.00720245   Lin-Lin
 1.7E+07     0.00693809   Lin-Lin
 1.8E+07     0.00608808   Lin-Lin
 1.9E+07     0.00547908   Lin-Lin
 2E+07       0.00506608   Lin-Lin
 6E+07       0            Lin-Lin
