#LIBRARY    JENDL-4.0/HE
#REACTION   F-19(N,N`)F-19-L3,SIG
#NUCLEUS    F-19
#MF         3
#MT         53
#EN-MIN     1.41715e+06
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 1.41715E+06 0            Lin-Lin
 1.5E+06     0.0335227    Lin-Lin
 1.53594E+06 0.0413582    Lin-Lin
 1.58548E+06 0.0494094    Lin-Lin
 1.63661E+06 0.0574607    Lin-Lin
 1.72094E+06 0.0662905    Lin-Lin
 1.75E+06    0.0692338    Lin-Lin
 1.85528E+06 0.0773633    Lin-Lin
 1.95055E+06 0.0843315    Lin-Lin
 2E+06       0.0878156    Lin-Lin
 2.18471E+06 0.0955506    Lin-Lin
 2.25E+06    0.0981289    Lin-Lin
 2.5E+06     0.104088     Lin-Lin
 2.81414E+06 0.109365     Lin-Lin
 2.92739E+06 0.111124     Lin-Lin
 3E+06       0.111519     Lin-Lin
 4E+06       0.112821     Lin-Lin
 4.11454E+06 0.111846     Lin-Lin
 4.21079E+06 0.109926     Lin-Lin
 4.2466E+06  0.108645     Lin-Lin
 4.6115E+06  0.0996094    Lin-Lin
 4.89991E+06 0.0899106    Lin-Lin
 5E+06       0.0866777    Lin-Lin
 5.23318E+06 0.0775211    Lin-Lin
 5.48503E+06 0.0680784    Lin-Lin
 5.66367E+06 0.0616401    Lin-Lin
 5.88573E+06 0.0539142    Lin-Lin
 6E+06       0.0500513    Lin-Lin
 6.23574E+06 0.0438567    Lin-Lin
 6.48855E+06 0.0374686    Lin-Lin
 6.66677E+06 0.033113     Lin-Lin
 6.88711E+06 0.0278863    Lin-Lin
 7E+06       0.025273     Lin-Lin
 7.3288E+06  0.0211608    Lin-Lin
 7.56179E+06 0.018357     Lin-Lin
 7.85118E+06 0.0149925    Lin-Lin
 8E+06       0.0133102    Lin-Lin
 8.33055E+06 0.0111516    Lin-Lin
 8.56372E+06 0.00967981   Lin-Lin
 8.85216E+06 0.00791367   Lin-Lin
 9E+06       0.0070306    Lin-Lin
 9.33193E+06 0.00588037   Lin-Lin
 9.56524E+06 0.00509612   Lin-Lin
 9.85293E+06 0.00415502   Lin-Lin
 1E+07       0.00368447   Lin-Lin
 1.02411E+07 0.00325065   Lin-Lin
 1.06138E+07 0.00259993   Lin-Lin
 1.09021E+07 0.00211188   Lin-Lin
 1.1E+07     0.0019492    Lin-Lin
 1.12419E+07 0.00172353   Lin-Lin
 1.16148E+07 0.00138502   Lin-Lin
 1.19025E+07 0.00113114   Lin-Lin
 1.2E+07     0.00104651   Lin-Lin
 1.22425E+07 0.000916619  Lin-Lin
 1.26156E+07 0.000721783  Lin-Lin
 1.29028E+07 0.000575656  Lin-Lin
 1.3E+07     0.000526947  Lin-Lin
 1.34284E+07 0.000423967  Lin-Lin
 1.38068E+07 0.000335699  Lin-Lin
 1.4E+07     0.000291565  Lin-Lin
 1.4429E+07  0.000234911  Lin-Lin
 1.48072E+07 0.000186349  Lin-Lin
 1.5E+07     0.000162069  Lin-Lin
 1.54919E+07 0.000128871  Lin-Lin
 1.58714E+07 0.000103973  Lin-Lin
 1.6E+07     9.56739E-05  Lin-Lin
 1.64924E+07 7.58109E-05  Lin-Lin
 1.68717E+07 6.09136E-05  Lin-Lin
 1.7E+07     5.59478E-05  Lin-Lin
 1.74929E+07 4.64122E-05  Lin-Lin
 1.8E+07     3.68767E-05  Lin-Lin
 1.86639E+07 3.1254E-05   Lin-Lin
 1.91305E+07 2.74203E-05  Lin-Lin
 1.97059E+07 2.28199E-05  Lin-Lin
 2E+07       2.05197E-05  Lin-Lin
 2E+07       0            Lin-Lin
