#LIBRARY    JENDL/HE-2007
#REACTION   N-14(N,N`)N-14-L3,SIG
#NUCLEUS    N-14
#MF         3
#MT         53
#EN-MIN     5.27e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 5.27E+06    0            Lin-Lin
 5.3076E+06  0.000834558  Lin-Lin
 5.3582E+06  0.0021831    Lin-Lin
 5.4089E+06  0.00388275   Lin-Lin
 5.4596E+06  0.00608614   Lin-Lin
 5.487E+06   0.00757187   Lin-Lin
 5.5145E+06  0.00911502   Lin-Lin
 5.5419E+06  0.0107935    Lin-Lin
 5.5694E+06  0.0128946    Lin-Lin
 5.6285E+06  0.0191208    Lin-Lin
 5.6876E+06  0.0275027    Lin-Lin
 5.7467E+06  0.0354618    Lin-Lin
 5.8058E+06  0.0386243    Lin-Lin
 5.8565E+06  0.036792     Lin-Lin
 5.9072E+06  0.0328251    Lin-Lin
 5.9578E+06  0.0285901    Lin-Lin
 6.0085E+06  0.024889     Lin-Lin
 6.0233E+06  0.0239373    Lin-Lin
 6.0381E+06  0.0230471    Lin-Lin
 6.0529E+06  0.0222158    Lin-Lin
 6.0676E+06  0.0214459    Lin-Lin
 6.1077E+06  0.0196024    Lin-Lin
 6.1479E+06  0.0180796    Lin-Lin
 6.188E+06   0.0168241    Lin-Lin
 6.2281E+06  0.0157809    Lin-Lin
 6.2703E+06  0.0148675    Lin-Lin
 6.3125E+06  0.0141062    Lin-Lin
 6.3548E+06  0.0134662    Lin-Lin
 6.397E+06   0.0129277    Lin-Lin
 6.4308E+06  0.0125563    Lin-Lin
 6.4645E+06  0.012231     Lin-Lin
 6.4983E+06  0.0119438    Lin-Lin
 6.5321E+06  0.0117108    Lin-Lin
 6.6166E+06  0.0112536    Lin-Lin
 6.701E+06   0.0109339    Lin-Lin
 6.7855E+06  0.0107178    Lin-Lin
 6.8699E+06  0.0105836    Lin-Lin
 6.9544E+06  0.0105165    Lin-Lin
 7.0388E+06  0.010543     Lin-Lin
 7.1233E+06  0.0106662    Lin-Lin
 7.2077E+06  0.0108479    Lin-Lin
 7.2626E+06  0.0109992    Lin-Lin
 7.3724E+06  0.0113648    Lin-Lin
 7.478E+06   0.0117417    Lin-Lin
 7.5286E+06  0.0119519    Lin-Lin
 7.5793E+06  0.0121958    Lin-Lin
 7.63E+06    0.0124655    Lin-Lin
 7.6975E+06  0.0128721    Lin-Lin
 7.7651E+06  0.0133389    Lin-Lin
 7.8326E+06  0.0138669    Lin-Lin
 7.9424E+06  0.0148428    Lin-Lin
 8.0691E+06  0.0160259    Lin-Lin
 8.1451E+06  0.0166465    Lin-Lin
 8.5E+06     0.0191667    Lin-Lin
 9E+06       0.0200551    Lin-Lin
 9.5E+06     0.0206159    Lin-Lin
 9.55181E+06 0.0205792    Lin-Lin
 9.8302E+06  0.0210995    Lin-Lin
 1E+07       0.0212258    Lin-Lin
 1.0195E+07  0.0217626    Lin-Lin
 1.02435E+07 0.0218631    Lin-Lin
 1.0255E+07  0.0220469    Lin-Lin
 1.03449E+07 0.0220717    Lin-Lin
 1.04462E+07 0.0222027    Lin-Lin
 1.05138E+07 0.0222231    Lin-Lin
 1.09669E+07 0.0227504    Lin-Lin
 1.1E+07     0.0226427    Lin-Lin
 1.15887E+07 0.0221944    Lin-Lin
 1.1846E+07  0.0217824    Lin-Lin
 1.18674E+07 0.0216561    Lin-Lin
 1.2E+07     0.0211392    Lin-Lin
 1.20496E+07 0.021011     Lin-Lin
 1.21032E+07 0.0206104    Lin-Lin
 1.21751E+07 0.0203673    Lin-Lin
 1.2329E+07  0.0199608    Lin-Lin
 1.2473E+07  0.019293     Lin-Lin
 1.2597E+07  0.0189702    Lin-Lin
 1.27356E+07 0.0183322    Lin-Lin
 1.2865E+07  0.01801      Lin-Lin
 1.3E+07     0.0174711    Lin-Lin
 1.3133E+07  0.0171788    Lin-Lin
 1.32716E+07 0.0167064    Lin-Lin
 1.3401E+07  0.0164585    Lin-Lin
 1.35E+07    0.0161442    Lin-Lin
 1.4075E+07  0.015131     Lin-Lin
 1.426E+07   0.0148318    Lin-Lin
 1.57289E+07 0.0147681    Lin-Lin
 1.65E+07    0.0146725    Lin-Lin
 1.75E+07    0.0144549    Lin-Lin
 1.9E+07     0.0139902    Lin-Lin
 2E+07       0.0136277    Lin-Lin
 6E+07       0            Lin-Lin
