#LIBRARY    ENDF/B-VIII.0
#REACTION   PB-208(N,N`)PB-208-L3,SIG
#NUCLEUS    Pb-208
#MF         3
#MT         53
#EN-MIN     3.49196e+06
#EN-MAX     1.5e+08
#E,eV        Sig,b        Interpolation
 3.49196E+06 0            Lin-Lin
 3.5E+06     0.0169997    Lin-Lin
 3.6E+06     0.0697128    Lin-Lin
 3.75E+06    0.132733     Lin-Lin
 3.8E+06     0.150805     Lin-Lin
 3.9E+06     0.185101     Lin-Lin
 4E+06       0.210787     Lin-Lin
 4.1E+06     0.223673     Lin-Lin
 4.2E+06     0.22405      Lin-Lin
 4.25E+06    0.220462     Lin-Lin
 4.3E+06     0.213488     Lin-Lin
 4.4E+06     0.201261     Lin-Lin
 4.5E+06     0.187819     Lin-Lin
 4.6E+06     0.177532     Lin-Lin
 4.7E+06     0.171427     Lin-Lin
 4.75E+06    0.169052     Lin-Lin
 4.8E+06     0.165876     Lin-Lin
 5E+06       0.15586      Lin-Lin
 5.25E+06    0.139847     Lin-Lin
 5.5E+06     0.12306      Lin-Lin
 5.75E+06    0.106013     Lin-Lin
 6E+06       0.0930613    Lin-Lin
 6.25E+06    0.0787234    Lin-Lin
 6.5E+06     0.0689268    Lin-Lin
 6.75E+06    0.0603466    Lin-Lin
 7E+06       0.054729     Lin-Lin
 7.25E+06    0.0484784    Lin-Lin
 7.5E+06     0.0437337    Lin-Lin
 7.7E+06     0.0402127    Lin-Lin
 7.75E+06    0.0394009    Lin-Lin
 8E+06       0.0358447    Lin-Lin
 8.2E+06     0.0323789    Lin-Lin
 8.25E+06    0.0315593    Lin-Lin
 8.5E+06     0.0278757    Lin-Lin
 8.75E+06    0.0246401    Lin-Lin
 9E+06       0.0218876    Lin-Lin
 9.25E+06    0.0195223    Lin-Lin
 9.5E+06     0.0175331    Lin-Lin
 9.75E+06    0.0158291    Lin-Lin
 1E+07       0.0143896    Lin-Lin
 1.05E+07    0.0128698    Lin-Lin
 1.1E+07     0.0117237    Lin-Lin
 1.15E+07    0.0107768    Lin-Lin
 1.2E+07     0.00993854   Lin-Lin
 1.25E+07    0.00916337   Lin-Lin
 1.3E+07     0.00843579   Lin-Lin
 1.35E+07    0.00776      Lin-Lin
 1.4E+07     0.00714906   Lin-Lin
 1.45E+07    0.00659749   Lin-Lin
 1.5E+07     0.00609581   Lin-Lin
 1.55E+07    0.00564953   Lin-Lin
 1.6E+07     0.00524928   Lin-Lin
 1.65E+07    0.00483026   Lin-Lin
 1.7E+07     0.00445166   Lin-Lin
 1.75E+07    0.00413718   Lin-Lin
 1.8E+07     0.0038577    Lin-Lin
 1.85E+07    0.00359574   Lin-Lin
 1.9E+07     0.00335665   Lin-Lin
 1.95E+07    0.00313896   Lin-Lin
 2E+07       0.00294233   Lin-Lin
 2.05E+07    0.00276319   Lin-Lin
 2.1E+07     0.00259897   Lin-Lin
 2.2E+07     0.00230456   Lin-Lin
 2.3E+07     0.00205714   Lin-Lin
 2.4E+07     0.00185348   Lin-Lin
 2.5E+07     0.00167598   Lin-Lin
 2.6E+07     0.00152241   Lin-Lin
 2.7E+07     0.00139598   Lin-Lin
 2.8E+07     0.00129114   Lin-Lin
 2.9E+07     0.00120472   Lin-Lin
 3E+07       0.00112811   Lin-Lin
 3E+07       0            Lin-Lin
