#LIBRARY    ENDF/B-VIII.0
#REACTION   TI-48(N,N`)TI-48-L2,SIG
#NUCLEUS    Ti-48
#MF         3
#MT         52
#EN-MIN     2.34389e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.34389E+06 0            Lin-Lin
 2.3439E+06  1.82767E-06  Lin-Lin
 2.3517E+06  0.00142924   Lin-Lin
 2.36641E+06 0.00410564   Lin-Lin
 2.39236E+06 0.00878933   Lin-Lin
 2.42685E+06 0.0149367    Lin-Lin
 2.47193E+06 0.0228404    Lin-Lin
 2.5E+06     0.0255397    Lin-Lin
 2.55763E+06 0.0326528    Lin-Lin
 2.63201E+06 0.0415998    Lin-Lin
 2.69592E+06 0.049088     Lin-Lin
 2.76892E+06 0.0574272    Lin-Lin
 2.84933E+06 0.066362     Lin-Lin
 2.94891E+06 0.0770838    Lin-Lin
 3E+06       0.0824447    Lin-Lin
 3.11664E+06 0.0973785    Lin-Lin
 3.23236E+06 0.111768     Lin-Lin
 3.29182E+06 0.118962     Lin-Lin
 3.30795E+06 0.117255     Lin-Lin
 3.40332E+06 0.118268     Lin-Lin
 3.42946E+06 0.119783     Lin-Lin
 3.44181E+06 0.115475     Lin-Lin
 3.58231E+06 0.113897     Lin-Lin
 3.69289E+06 0.117253     Lin-Lin
 3.71004E+06 0.114911     Lin-Lin
 3.78907E+06 0.11076      Lin-Lin
 3.81725E+06 0.109791     Lin-Lin
 3.86207E+06 0.108921     Lin-Lin
 3.8828E+06  0.106868     Lin-Lin
 3.93324E+06 0.105381     Lin-Lin
 4E+06       0.0986774    Lin-Lin
 4.21476E+06 0.0850933    Lin-Lin
 4.39868E+06 0.0739996    Lin-Lin
 4.60465E+06 0.0621135    Lin-Lin
 4.79825E+06 0.0514161    Lin-Lin
 4.94878E+06 0.043393     Lin-Lin
 5E+06       0.0407186    Lin-Lin
 5.23318E+06 0.0355545    Lin-Lin
 5.48503E+06 0.0302289    Lin-Lin
 5.66367E+06 0.0265979    Lin-Lin
 5.88573E+06 0.0222406    Lin-Lin
 6E+06       0.020062     Lin-Lin
 6.32651E+06 0.017546     Lin-Lin
 6.55926E+06 0.0158305    Lin-Lin
 6.84989E+06 0.013772     Lin-Lin
 7E+06       0.0127427    Lin-Lin
 7.42112E+06 0.0112801    Lin-Lin
 7.80219E+06 0.0100265    Lin-Lin
 8E+06       0.00939967   Lin-Lin
 8.48528E+06 0.00847648   Lin-Lin
 9E+06       0.0075533    Lin-Lin
 9.48683E+06 0.00702091   Lin-Lin
 1E+07       0.00648853   Lin-Lin
 1.0741E+07  0.00585065   Lin-Lin
 1.1E+07     0.00563802   Lin-Lin
 1.17418E+07 0.00517196   Lin-Lin
 1.2E+07     0.0050166    Lin-Lin
 1.3E+07     0.00454876   Lin-Lin
 1.4E+07     0.00417674   Lin-Lin
 1.5E+07     0.00391482   Lin-Lin
 1.6E+07     0.00367528   Lin-Lin
 1.84932E+07 0.00321739   Lin-Lin
 2E+07       0.00294656   Lin-Lin
