#LIBRARY    JENDL/HE-2007
#REACTION   AR-40(N,N`)AR-40-L4,SIG
#NUCLEUS    Ar-40
#MF         3
#MT         54
#EN-MIN     2.96595e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 2.96595E+06 0            Lin-Lin
 2.97443E+06 0.00242056   Lin-Lin
 2.99359E+06 0.0078668    Lin-Lin
 3E+06       0.00968222   Lin-Lin
 3.06541E+06 0.0137879    Lin-Lin
 3.14353E+06 0.0185779    Lin-Lin
 3.21554E+06 0.0228888    Lin-Lin
 3.2892E+06  0.0271998    Lin-Lin
 3.35299E+06 0.0316115    Lin-Lin
 3.45099E+06 0.0382291    Lin-Lin
 3.55186E+06 0.0448467    Lin-Lin
 3.60174E+06 0.0487688    Lin-Lin
 3.94221E+06 0.0703063    Lin-Lin
 4E+06       0.0738631    Lin-Lin
 4.01772E+06 0.0747743    Lin-Lin
 4.0414E+06  0.0755022    Lin-Lin
 4.14393E+06 0.0818166    Lin-Lin
 4.18545E+06 0.08462      Lin-Lin
 4.28438E+06 0.0881143    Lin-Lin
 4.33257E+06 0.0900925    Lin-Lin
 4.33564E+06 0.0896213    Lin-Lin
 4.40966E+06 0.0896649    Lin-Lin
 4.43355E+06 0.0901917    Lin-Lin
 4.46789E+06 0.0897563    Lin-Lin
 4.53043E+06 0.0903999    Lin-Lin
 4.53863E+06 0.0897523    Lin-Lin
 4.60732E+06 0.0881022    Lin-Lin
 4.69344E+06 0.087489     Lin-Lin
 4.69549E+06 0.0872058    Lin-Lin
 5E+06       0.0783249    Lin-Lin
 5.23318E+06 0.0699776    Lin-Lin
 5.48503E+06 0.0613695    Lin-Lin
 5.66367E+06 0.0555003    Lin-Lin
 5.88573E+06 0.0484573    Lin-Lin
 6E+06       0.0449358    Lin-Lin
 6.23574E+06 0.0397997    Lin-Lin
 6.4186E+06  0.0359476    Lin-Lin
 6.703E+06   0.0301694    Lin-Lin
 6.92454E+06 0.0258358    Lin-Lin
 7E+06       0.0243913    Lin-Lin
 7.3288E+06  0.0203983    Lin-Lin
 7.56179E+06 0.0176758    Lin-Lin
 7.85118E+06 0.0144088    Lin-Lin
 8E+06       0.0127753    Lin-Lin
 8.33055E+06 0.0105829    Lin-Lin
 8.56372E+06 0.00908803   Lin-Lin
 8.85216E+06 0.00729422   Lin-Lin
 9E+06       0.00639732   Lin-Lin
 9.33193E+06 0.00525695   Lin-Lin
 9.56524E+06 0.00447942   Lin-Lin
 9.85293E+06 0.00354639   Lin-Lin
 1E+07       0.00307987   Lin-Lin
 1.03331E+07 0.00246246   Lin-Lin
 1.05665E+07 0.0020415    Lin-Lin
 1.08536E+07 0.00153635   Lin-Lin
 1.1E+07     0.00128377   Lin-Lin
 1.1334E+07  0.000992788  Lin-Lin
 1.15675E+07 0.000794392  Lin-Lin
 1.17818E+07 0.000615835  Lin-Lin
 1.2E+07     0.000437278  Lin-Lin
 1.23348E+07 0.000335624  Lin-Lin
 1.25683E+07 0.000266314  Lin-Lin
 1.27824E+07 0.000203935  Lin-Lin
 1.3E+07     0.000141556  Lin-Lin
 1.33354E+07 0.000110234  Lin-Lin
 1.35691E+07 8.88776E-05  Lin-Lin
 1.38549E+07 6.32503E-05  Lin-Lin
 1.4E+07     5.04366E-05  Lin-Lin
 1.42478E+07 4.0925E-05   Lin-Lin
 1.45E+07    3.14133E-05  Lin-Lin
 1.48734E+07 2.28524E-05  Lin-Lin
 1.5E+07     1.99988E-05  Lin-Lin
 1.5244E+07  1.71375E-05  Lin-Lin
 1.56174E+07 1.28455E-05  Lin-Lin
 1.59035E+07 9.62646E-06  Lin-Lin
 1.6E+07     8.55346E-06  Lin-Lin
 1.643E+07   6.50763E-06  Lin-Lin
 1.68079E+07 4.75406E-06  Lin-Lin
 1.7E+07     3.87727E-06  Lin-Lin
 1.74305E+07 2.98495E-06  Lin-Lin
 1.78081E+07 2.2201E-06   Lin-Lin
 1.8E+07     1.83768E-06  Lin-Lin
 1.84932E+07 1.36929E-06  Lin-Lin
 1.8872E+07  1.01799E-06  Lin-Lin
 1.9E+07     9.0089E-07   Lin-Lin
 1.94936E+07 6.80046E-07  Lin-Lin
 1.98722E+07 5.14414E-07  Lin-Lin
 2E+07       4.59203E-07  Lin-Lin
 6E+07       0            Lin-Lin
