#LIBRARY    ENDF/B-VIII.b4
#REACTION   B-10(N,N`)B-10-L4,SIG
#NUCLEUS    B-10
#MF         3
#MT         54
#EN-MIN     3.94845e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 3.94845E+06 0            Lin-Lin
 4E+06       0.00176191   Lin-Lin
 4.1E+06     0.00341484   Lin-Lin
 4.2E+06     0.0056496    Lin-Lin
 4.4E+06     0.0100074    Lin-Lin
 4.6E+06     0.0136655    Lin-Lin
 4.8E+06     0.0183792    Lin-Lin
 5.2E+06     0.028017     Lin-Lin
 5.6E+06     0.0381757    Lin-Lin
 5.62509E+06 0.0389015    Lin-Lin
 5.7E+06     0.040667     Lin-Lin
 5.70181E+06 0.0407915    Lin-Lin
 5.8E+06     0.0431978    Lin-Lin
 5.9E+06     0.0460785    Lin-Lin
 6E+06       0.0491056    Lin-Lin
 6.2E+06     0.0527117    Lin-Lin
 6.4E+06     0.0511728    Lin-Lin
 6.5E+06     0.0493844    Lin-Lin
 6.51581E+06 0.0489851    Lin-Lin
 6.6E+06     0.0473209    Lin-Lin
 6.63194E+06 0.0465593    Lin-Lin
 6.7E+06     0.045226     Lin-Lin
 6.74443E+06 0.0442086    Lin-Lin
 6.9E+06     0.0416557    Lin-Lin
 7E+06       0.0404348    Lin-Lin
 7.2E+06     0.0385499    Lin-Lin
 7.4E+06     0.0368125    Lin-Lin
 7.705E+06   0.0344029    Lin-Lin
 8E+06       0.0323028    Lin-Lin
 8.3E+06     0.030359     Lin-Lin
 8.6E+06     0.0285775    Lin-Lin
 8.9E+06     0.0269338    Lin-Lin
 9.3E+06     0.0249347    Lin-Lin
 9.6E+06     0.0235767    Lin-Lin
 1E+07       0.0219317    Lin-Lin
 1.05E+07    0.0201065    Lin-Lin
 1.1007E+07  0.0184789    Lin-Lin
 1.17E+07    0.0164996    Lin-Lin
 1.22E+07    0.0149819    Lin-Lin
 1.2658E+07  0.0135994    Lin-Lin
 1.3E+07     0.0126533    Lin-Lin
 1.33E+07    0.0118992    Lin-Lin
 1.37E+07    0.0109816    Lin-Lin
 1.4E+07     0.0103455    Lin-Lin
 1.44E+07    0.00954352   Lin-Lin
 1.486E+07   0.00870637   Lin-Lin
 1.5E+07     0.0084755    Lin-Lin
 1.541E+07   0.00784763   Lin-Lin
 1.56E+07    0.00758448   Lin-Lin
 1.5961E+07  0.00714773   Lin-Lin
 1.61E+07    0.00700189   Lin-Lin
 1.66E+07    0.00651892   Lin-Lin
 1.72E+07    0.00599823   Lin-Lin
 1.77E+07    0.00560172   Lin-Lin
 1.81E+07    0.00532609   Lin-Lin
 1.84E+07    0.00516015   Lin-Lin
 1.93E+07    0.00474632   Lin-Lin
 2E+07       0.004455     Lin-Lin
