#LIBRARY    JENDL/HE-2007
#REACTION   C-12(N,N`)C-12-L4(3A),SIG
#NUCLEUS    C-12
#MF         3
#MT         54
#EN-MIN     8.67244e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 8.67244E+06 0            Lin-Lin
 1.075E+07   0.000335327  Lin-Lin
 1.1E+07     0.000666358  Lin-Lin
 1.15E+07    0.00249516   Lin-Lin
 1.2E+07     0.00245952   Lin-Lin
 1.25E+07    0.00175151   Lin-Lin
 1.29E+07    0.00151236   Lin-Lin
 1.3E+07     0.00148409   Lin-Lin
 1.331E+07   0.00143445   Lin-Lin
 1.34963E+07 0.00164546   Lin-Lin
 1.37045E+07 0.00181675   Lin-Lin
 1.40993E+07 0.00213524   Lin-Lin
 1.4329E+07  0.00231708   Lin-Lin
 1.49248E+07 0.00259764   Lin-Lin
 1.55206E+07 0.00266786   Lin-Lin
 1.58938E+07 0.00261285   Lin-Lin
 1.61164E+07 0.00259399   Lin-Lin
 1.67122E+07 0.0024476    Lin-Lin
 1.76884E+07 0.00211806   Lin-Lin
 1.79038E+07 0.00205463   Lin-Lin
 1.85857E+07 0.00183881   Lin-Lin
 1.90954E+07 0.00168404   Lin-Lin
 2E+07       0.00146032   Lin-Lin
 2E+07       0            Lin-Lin
 3E+09       0            Lin-Lin
