#LIBRARY    JENDL-4.0/HE
#REACTION   CL-35(N,N`)CL-35-L4,SIG
#NUCLEUS    Cl-35
#MF         3
#MT         54
#EN-MIN     2.77123e+06
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 2.77123E+06 0            Lin-Lin
 2.7713E+06  5.2808E-06   Lin-Lin
 2.77818E+06 0.000616072  Lin-Lin
 2.79155E+06 0.00179948   Lin-Lin
 2.81679E+06 0.00401837   Lin-Lin
 2.83906E+06 0.0059599    Lin-Lin
 2.87847E+06 0.00935757   Lin-Lin
 2.93102E+06 0.013817     Lin-Lin
 3E+06       0.0195506    Lin-Lin
 3.08913E+06 0.0229875    Lin-Lin
 3.21178E+06 0.0266493    Lin-Lin
 3.25374E+06 0.0278699    Lin-Lin
 3.42612E+06 0.0313281    Lin-Lin
 3.56137E+06 0.0339217    Lin-Lin
 3.77432E+06 0.0378122    Lin-Lin
 4.03132E+06 0.042285     Lin-Lin
 4.17618E+06 0.044007     Lin-Lin
 4.29367E+06 0.0449132    Lin-Lin
 4.2983E+06  0.0449108    Lin-Lin
 4.47258E+06 0.0456697    Lin-Lin
 4.75746E+06 0.0461398    Lin-Lin
 4.94256E+06 0.0455323    Lin-Lin
 4.9943E+06  0.0452866    Lin-Lin
 5E+06       0.045168     Lin-Lin
 5.02239E+06 0.0452232    Lin-Lin
 5.16467E+06 0.0449523    Lin-Lin
 5.56669E+06 0.0424523    Lin-Lin
 6E+06       0.0399523    Lin-Lin
 6.4186E+06  0.0361576    Lin-Lin
 6.80057E+06 0.0329049    Lin-Lin
 7.11782E+06 0.0303653    Lin-Lin
 7.42112E+06 0.0280822    Lin-Lin
 7.80219E+06 0.0253424    Lin-Lin
 8E+06       0.0239725    Lin-Lin
 8.48528E+06 0.0210796    Lin-Lin
 8.86846E+06 0.0189099    Lin-Lin
 9E+06       0.0181867    Lin-Lin
 9.48683E+06 0.0162653    Lin-Lin
 1E+07       0.014344     Lin-Lin
 1.0741E+07  0.0127502    Lin-Lin
 1.1E+07     0.0122189    Lin-Lin
 1.17418E+07 0.0111516    Lin-Lin
 1.2E+07     0.0107958    Lin-Lin
 1.3E+07     0.00980812   Lin-Lin
 1.4E+07     0.00900895   Lin-Lin
 1.45E+07    0.00865351   Lin-Lin
 1.5E+07     0.00832895   Lin-Lin
 1.6E+07     0.0077619    Lin-Lin
 1.7E+07     0.00727994   Lin-Lin
 1.8E+07     0.00686709   Lin-Lin
 1.9E+07     0.00650863   Lin-Lin
 2E+07       0.00618525   Lin-Lin
 2E+07       0            Lin-Lin
