#LIBRARY    ENDF/B-VII.1
#REACTION   GD-157(N,N`)GD-157-L4,SIG
#NUCLEUS    Gd-157
#MF         3
#MT         54
#EN-MIN     132295
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 132295      0            Lin-Lin
 150000      0.0375574    Lin-Lin
 200000      0.0937374    Lin-Lin
 250000      0.138308     Lin-Lin
 270000      0.152779     Lin-Lin
 300000      0.172284     Lin-Lin
 320000      0.187503     Lin-Lin
 400000      0.227976     Lin-Lin
 420000      0.242043     Lin-Lin
 450000      0.258102     Lin-Lin
 500000      0.275935     Lin-Lin
 520000      0.282445     Lin-Lin
 550000      0.285948     Lin-Lin
 570000      0.289025     Lin-Lin
 600000      0.294631     Lin-Lin
 620000      0.299702     Lin-Lin
 670000      0.310512     Lin-Lin
 700000      0.315575     Lin-Lin
 720000      0.316454     Lin-Lin
 740000      0.316614     Lin-Lin
 760000      0.31474      Lin-Lin
 780000      0.311228     Lin-Lin
 900000      0.283418     Lin-Lin
 1E+06       0.27124      Lin-Lin
 1.2E+06     0.244586     Lin-Lin
 1.3E+06     0.232363     Lin-Lin
 1.4E+06     0.221866     Lin-Lin
 1.5E+06     0.213188     Lin-Lin
 1.6E+06     0.206167     Lin-Lin
 1.7E+06     0.200541     Lin-Lin
 1.8E+06     0.196029     Lin-Lin
 1.9E+06     0.193926     Lin-Lin
 2E+06       0.190455     Lin-Lin
 2.2E+06     0.185231     Lin-Lin
 2.6E+06     0.178449     Lin-Lin
 3E+06       0.173288     Lin-Lin
 4E+06       0.162629     Lin-Lin
 4.5E+06     0.158516     Lin-Lin
 5.5E+06     0.151861     Lin-Lin
 6E+06       0.148249     Lin-Lin
 6.5E+06     0.143866     Lin-Lin
 7E+06       0.138631     Lin-Lin
 8E+06       0.126468     Lin-Lin
 9E+06       0.116174     Lin-Lin
 1E+07       0.106729     Lin-Lin
 1.05E+07    0.102482     Lin-Lin
 1.1E+07     0.0985619    Lin-Lin
 1.15E+07    0.0949352    Lin-Lin
 1.2E+07     0.0915578    Lin-Lin
 1.3E+07     0.0853877    Lin-Lin
 1.4E+07     0.079814     Lin-Lin
 1.5E+07     0.0747554    Lin-Lin
 1.6E+07     0.0702338    Lin-Lin
 1.7E+07     0.0662745    Lin-Lin
 1.8E+07     0.0628635    Lin-Lin
 1.9E+07     0.0599527    Lin-Lin
 2E+07       0.0574521    Lin-Lin
