#LIBRARY    ENDF/B-VIII.0
#REACTION   MN-55(N,N`)MN-55-L4,SIG
#NUCLEUS    Mn-55
#MF         3
#MT         54
#EN-MIN     1.31584e+06
#EN-MAX     6e+07
#E,eV        Sig,b        Interpolation
 1.31584E+06 0            Lin-Lin
 1.4E+06     0.0413473    Lin-Lin
 1.5E+06     0.047357     Lin-Lin
 1.6E+06     0.0543554    Lin-Lin
 1.7E+06     0.0641089    Lin-Lin
 1.8E+06     0.074562     Lin-Lin
 1.9E+06     0.084081     Lin-Lin
 2E+06       0.0874376    Lin-Lin
 2.25E+06    0.0927477    Lin-Lin
 2.4E+06     0.0874819    Lin-Lin
 2.5E+06     0.0845214    Lin-Lin
 2.75E+06    0.077601     Lin-Lin
 2.9E+06     0.0668771    Lin-Lin
 3E+06       0.0601116    Lin-Lin
 3.5E+06     0.0388781    Lin-Lin
 4E+06       0.0266057    Lin-Lin
 4.5E+06     0.0164565    Lin-Lin
 5E+06       0.010987     Lin-Lin
 5.5E+06     0.00870705   Lin-Lin
 6E+06       0.0073041    Lin-Lin
 7E+06       0.00582822   Lin-Lin
 8E+06       0.00471418   Lin-Lin
 8.5E+06     0.00424443   Lin-Lin
 9E+06       0.00383102   Lin-Lin
 9.5E+06     0.00346504   Lin-Lin
 1E+07       0.0031412    Lin-Lin
 1.05E+07    0.0028529    Lin-Lin
 1.1E+07     0.00260055   Lin-Lin
 1.15E+07    0.00237665   Lin-Lin
 1.2E+07     0.00218419   Lin-Lin
 1.25E+07    0.00201225   Lin-Lin
 1.3E+07     0.00185796   Lin-Lin
 1.35E+07    0.0017194    Lin-Lin
 1.4E+07     0.00159563   Lin-Lin
 1.45E+07    0.00148525   Lin-Lin
 1.5E+07     0.00138746   Lin-Lin
 1.55E+07    0.00130132   Lin-Lin
 1.6E+07     0.00122575   Lin-Lin
 1.65E+07    0.00115959   Lin-Lin
 1.7E+07     0.00110157   Lin-Lin
 1.75E+07    0.00105039   Lin-Lin
 1.8E+07     0.0010047    Lin-Lin
 1.85E+07    0.000963391  Lin-Lin
 1.9E+07     0.000925444  Lin-Lin
 1.95E+07    0.000890098  Lin-Lin
 2E+07       0.000856766  Lin-Lin
 2.1E+07     0.000794793  Lin-Lin
 2.2E+07     0.000738306  Lin-Lin
 2.3E+07     0.000687294  Lin-Lin
 2.4E+07     0.000642024  Lin-Lin
 2.5E+07     0.000602529  Lin-Lin
 2.6E+07     0.000568373  Lin-Lin
 2.8E+07     0.000513065  Lin-Lin
 3E+07       0.00046958   Lin-Lin
 3.2E+07     0.000433157  Lin-Lin
 3.4E+07     0.000401677  Lin-Lin
 3.6E+07     0.000374425  Lin-Lin
 3.8E+07     0.000350946  Lin-Lin
 4E+07       0.000330632  Lin-Lin
 4.5E+07     0.000289578  Lin-Lin
 5E+07       0.000257064  Lin-Lin
 5.5E+07     0.000229972  Lin-Lin
 6E+07       0.000206863  Lin-Lin
