#LIBRARY    JENDL-4.0
#REACTION   CR-53(N,N`)CR-53-L5,SIG
#NUCLEUS    Cr-53
#MF         3
#MT         55
#EN-MIN     2.01126e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 2.01126E+06 0            Lin-Lin
 2.21372E+06 0.114737     Lin-Lin
 2.27571E+06 0.117251     Lin-Lin
 2.36493E+06 0.1215       Lin-Lin
 2.49984E+06 0.12616      Lin-Lin
 2.5E+06     0.12608      Lin-Lin
 2.70701E+06 0.142259     Lin-Lin
 2.72077E+06 0.140432     Lin-Lin
 2.75E+06    0.140442     Lin-Lin
 2.7601E+06  0.14091      Lin-Lin
 2.77488E+06 0.138811     Lin-Lin
 2.8238E+06  0.139206     Lin-Lin
 2.88035E+06 0.137941     Lin-Lin
 3E+06       0.145736     Lin-Lin
 3.04992E+06 0.146566     Lin-Lin
 3.14287E+06 0.143715     Lin-Lin
 3.19687E+06 0.14297      Lin-Lin
 3.23254E+06 0.140328     Lin-Lin
 3.24064E+06 0.138097     Lin-Lin
 3.30538E+06 0.132655     Lin-Lin
 3.32429E+06 0.131929     Lin-Lin
 3.41485E+06 0.126077     Lin-Lin
 3.44613E+06 0.123444     Lin-Lin
 3.50004E+06 0.11979      Lin-Lin
 3.66084E+06 0.112001     Lin-Lin
 3.66757E+06 0.111522     Lin-Lin
 3.67063E+06 0.110976     Lin-Lin
 3.68541E+06 0.109282     Lin-Lin
 3.76591E+06 0.104538     Lin-Lin
 3.77712E+06 0.103605     Lin-Lin
 3.91112E+06 0.0969731    Lin-Lin
 4E+06       0.092908     Lin-Lin
 4.5E+06     0.0683316    Lin-Lin
 5E+06       0.0506293    Lin-Lin
 5.5E+06     0.0378197    Lin-Lin
 6E+06       0.0286119    Lin-Lin
 6.5E+06     0.0220453    Lin-Lin
 7E+06       0.017339     Lin-Lin
 7.5E+06     0.01392      Lin-Lin
 8E+06       0.0113973    Lin-Lin
 8.5E+06     0.00951232   Lin-Lin
 9E+06       0.00808937   Lin-Lin
 9.5E+06     0.00698749   Lin-Lin
 1E+07       0.00614244   Lin-Lin
 1.05E+07    0.00548631   Lin-Lin
 1.1E+07     0.00496855   Lin-Lin
 1.15E+07    0.00455138   Lin-Lin
 1.2E+07     0.00420676   Lin-Lin
 1.25E+07    0.00391271   Lin-Lin
 1.3E+07     0.0036549    Lin-Lin
 1.35E+07    0.00342369   Lin-Lin
 1.4E+07     0.00321278   Lin-Lin
 1.45E+07    0.00301862   Lin-Lin
 1.5E+07     0.00283971   Lin-Lin
 1.55E+07    0.0026751    Lin-Lin
 1.6E+07     0.00252361   Lin-Lin
 1.65E+07    0.00238338   Lin-Lin
 1.7E+07     0.00225462   Lin-Lin
 1.75E+07    0.00213668   Lin-Lin
 1.8E+07     0.00202829   Lin-Lin
 1.85E+07    0.00192895   Lin-Lin
 1.9E+07     0.00183741   Lin-Lin
 1.95E+07    0.00175305   Lin-Lin
 2E+07       0.00167471   Lin-Lin
