#LIBRARY    JENDL/HE-2007
#REACTION   SI-28(N,N`)SI-28-L6,SIG
#NUCLEUS    Si-28
#MF         3
#MT         56
#EN-MIN     7.12639e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 7.12639E+06 0            Lin-Lin
 7.1266E+06  3.33287E-06  Lin-Lin
 7.13717E+06 0.000448991  Lin-Lin
 7.168E+06   0.00312786   Lin-Lin
 7.22617E+06 0.00815074   Lin-Lin
 7.27746E+06 0.0125458    Lin-Lin
 7.36809E+06 0.020237     Lin-Lin
 7.48875E+06 0.0303319    Lin-Lin
 7.6468E+06  0.0433109    Lin-Lin
 7.68472E+06 0.046684     Lin-Lin
 7.91999E+06 0.059192     Lin-Lin
 8E+06       0.0633613    Lin-Lin
 8.1494E+06  0.0641038    Lin-Lin
 8.21943E+06 0.0643864    Lin-Lin
 8.55677E+06 0.0645988    Lin-Lin
 8.71663E+06 0.0641809    Lin-Lin
 8.89866E+06 0.0633423    Lin-Lin
 1E+07       0.056058     Lin-Lin
 1.0741E+07  0.0508851    Lin-Lin
 1.1E+07     0.0491608    Lin-Lin
 1.2E+07     0.0448437    Lin-Lin
 1.27424E+07 0.0414617    Lin-Lin
 1.3E+07     0.0403343    Lin-Lin
 1.3743E+07  0.0363342    Lin-Lin
 1.4E+07     0.0350008    Lin-Lin
 1.5E+07     0.0320045    Lin-Lin
 1.6E+07     0.0305683    Lin-Lin
 1.7E+07     0.029908     Lin-Lin
 1.8E+07     0.0296858    Lin-Lin
 1.9E+07     0.0297436    Lin-Lin
 2E+07       0.029944     Lin-Lin
 6E+07       0            Lin-Lin
