#LIBRARY    JENDL-4.0
#REACTION   N-14(N,N`)N-14-L7,SIG
#NUCLEUS    N-14
#MF         3
#MT         57
#EN-MIN     6.65185e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 6.65185E+06 0            Lin-Lin
 6.701E+06   0.000503951  Lin-Lin
 6.7855E+06  0.00135654   Lin-Lin
 6.8699E+06  0.00221608   Lin-Lin
 6.9544E+06  0.00308523   Lin-Lin
 7.0388E+06  0.00375132   Lin-Lin
 7.1233E+06  0.00418176   Lin-Lin
 7.2077E+06  0.00463044   Lin-Lin
 7.2626E+06  0.00493584   Lin-Lin
 7.3175E+06  0.00525411   Lin-Lin
 7.3724E+06  0.00558522   Lin-Lin
 7.478E+06   0.00625323   Lin-Lin
 7.5286E+06  0.00659916   Lin-Lin
 7.5793E+06  0.00696861   Lin-Lin
 7.63E+06    0.00735816   Lin-Lin
 7.6975E+06  0.00791451   Lin-Lin
 7.7651E+06  0.00852171   Lin-Lin
 7.8326E+06  0.00918211   Lin-Lin
 7.9002E+06  0.00989345   Lin-Lin
 8.0691E+06  0.0117729    Lin-Lin
 8.1451E+06  0.0125421    Lin-Lin
 8.5E+06     0.014216     Lin-Lin
 9E+06       0.0170389    Lin-Lin
 9.5E+06     0.0195585    Lin-Lin
 9.55181E+06 0.0196958    Lin-Lin
 9.83054E+06 0.0212182    Lin-Lin
 1.02435E+07 0.0232739    Lin-Lin
 1.0255E+07  0.0234979    Lin-Lin
 1.03449E+07 0.0237487    Lin-Lin
 1.04462E+07 0.0241498    Lin-Lin
 1.09669E+07 0.0254307    Lin-Lin
 1.10124E+07 0.0253466    Lin-Lin
 1.15E+07    0.0252296    Lin-Lin
 1.15887E+07 0.0251695    Lin-Lin
 1.1846E+07  0.0247933    Lin-Lin
 1.18674E+07 0.0246573    Lin-Lin
 1.2E+07     0.0241158    Lin-Lin
 1.20496E+07 0.0239818    Lin-Lin
 1.21032E+07 0.0235375    Lin-Lin
 1.21751E+07 0.0232773    Lin-Lin
 1.2329E+07  0.0228495    Lin-Lin
 1.2473E+07  0.0221188    Lin-Lin
 1.2597E+07  0.0217761    Lin-Lin
 1.27356E+07 0.021073     Lin-Lin
 1.2865E+07  0.0207296    Lin-Lin
 1.3E+07     0.0201368    Lin-Lin
 1.3133E+07  0.0198319    Lin-Lin
 1.32716E+07 0.0193189    Lin-Lin
 1.3401E+07  0.0190623    Lin-Lin
 1.35E+07    0.0187208    Lin-Lin
 1.426E+07   0.0173596    Lin-Lin
 1.5E+07     0.017441     Lin-Lin
 1.55E+07    0.0174117    Lin-Lin
 1.6E+07     0.0172861    Lin-Lin
 1.65E+07    0.0170581    Lin-Lin
 1.7E+07     0.0167406    Lin-Lin
 1.75E+07    0.0163528    Lin-Lin
 6E+07       0.0141251    Lin-Lin
