#LIBRARY    JENDL-4.0
#REACTION   AL-27(N,N`)AL-27-L8,SIG
#NUCLEUS    Al-27
#MF         3
#MT         58
#EN-MIN     4.10379e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 4.10379E+06 0            Lin-Lin
 4.11636E+06 0.00113546   Lin-Lin
 4.13846E+06 0.00312251   Lin-Lin
 4.17182E+06 0.00610309   Lin-Lin
 4.20545E+06 0.00908367   Lin-Lin
 4.24981E+06 0.0126501    Lin-Lin
 4.32857E+06 0.0188913    Lin-Lin
 4.38859E+06 0.0235722    Lin-Lin
 4.4802E+06  0.0305936    Lin-Lin
 4.57371E+06 0.037615     Lin-Lin
 4.6788E+06  0.0436655    Lin-Lin
 4.7511E+06  0.0470849    Lin-Lin
 4.99177E+06 0.0531839    Lin-Lin
 5.34758E+06 0.0540588    Lin-Lin
 5.44198E+06 0.0539711    Lin-Lin
 5.64157E+06 0.0533071    Lin-Lin
 5.78389E+06 0.0524089    Lin-Lin
 6E+06       0.0503519    Lin-Lin
 6.37122E+06 0.0459365    Lin-Lin
 6.8715E+06  0.0401171    Lin-Lin
 7.42112E+06 0.0337973    Lin-Lin
 7.80219E+06 0.0296225    Lin-Lin
 8E+06       0.0275351    Lin-Lin
 8.42305E+06 0.0236536    Lin-Lin
 8.80342E+06 0.0203267    Lin-Lin
 9E+06       0.0186632    Lin-Lin
 9.42457E+06 0.015906     Lin-Lin
 9.80439E+06 0.0135427    Lin-Lin
 1E+07       0.0123611    Lin-Lin
 1.04258E+07 0.0104043    Lin-Lin
 1.08052E+07 0.00872705   Lin-Lin
 1.1E+07     0.00788842   Lin-Lin
 1.14268E+07 0.00647627   Lin-Lin
 1.18058E+07 0.00526586   Lin-Lin
 1.2E+07     0.00466065   Lin-Lin
 1.24277E+07 0.00375025   Lin-Lin
 1.28064E+07 0.00296991   Lin-Lin
 1.3E+07     0.00257974   Lin-Lin
 1.34284E+07 0.00206431   Lin-Lin
 1.38068E+07 0.00162252   Lin-Lin
 1.4E+07     0.00140162   Lin-Lin
 1.4429E+07  0.00110427   Lin-Lin
 1.48072E+07 0.000849403  Lin-Lin
 1.5E+07     0.000721968  Lin-Lin
 1.54296E+07 0.000547252  Lin-Lin
 1.58076E+07 0.000397496  Lin-Lin
 1.6E+07     0.000322618  Lin-Lin
 1.643E+07   0.000252525  Lin-Lin
 1.68079E+07 0.000192445  Lin-Lin
 1.7E+07     0.000162405  Lin-Lin
 1.74305E+07 0.000126403  Lin-Lin
 1.78081E+07 9.55446E-05  Lin-Lin
 1.8E+07     8.01153E-05  Lin-Lin
 1.84309E+07 6.1474E-05   Lin-Lin
 1.88084E+07 4.54957E-05  Lin-Lin
 1.9E+07     3.75066E-05  Lin-Lin
 1.94936E+07 3.12758E-05  Lin-Lin
 2E+07       2.50451E-05  Lin-Lin
 6E+07       0            Lin-Lin
