#LIBRARY    JENDL/HE-2007
#REACTION   FE-56(N,N`)FE-56-L8,SIG
#NUCLEUS    Fe-56
#MF         3
#MT         58
#EN-MIN     3.43097e+06
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 3.43097E+06 0            Lin-Lin
 3.44022E+06 0.0154165    Lin-Lin
 3.4495E+06  0.030833     Lin-Lin
 3.50753E+06 0.0499297    Lin-Lin
 3.5115E+06  0.0501593    Lin-Lin
 3.62662E+06 0.0615468    Lin-Lin
 3.66583E+06 0.0653426    Lin-Lin
 3.66685E+06 0.0649553    Lin-Lin
 3.67204E+06 0.06384      Lin-Lin
 3.81559E+06 0.0684826    Lin-Lin
 3.82353E+06 0.0679545    Lin-Lin
 3.9011E+06  0.0699526    Lin-Lin
 3.92604E+06 0.0695843    Lin-Lin
 4E+06       0.0702212    Lin-Lin
 4.16783E+06 0.0739704    Lin-Lin
 4.1943E+06  0.0734803    Lin-Lin
 4.37571E+06 0.0749866    Lin-Lin
 4.37958E+06 0.0749663    Lin-Lin
 4.47425E+06 0.0751903    Lin-Lin
 4.48036E+06 0.0749899    Lin-Lin
 4.5388E+06  0.0739614    Lin-Lin
 4.78577E+06 0.0709377    Lin-Lin
 5E+06       0.0675505    Lin-Lin
 5.32339E+06 0.0598348    Lin-Lin
 5.5558E+06  0.054574     Lin-Lin
 5.84812E+06 0.0482611    Lin-Lin
 6E+06       0.0451047    Lin-Lin
 6.32651E+06 0.0387577    Lin-Lin
 6.55926E+06 0.0344302    Lin-Lin
 6.84989E+06 0.0292372    Lin-Lin
 7E+06       0.0266407    Lin-Lin
 8E+06       0.0141654    Lin-Lin
 9E+06       0.00761708   Lin-Lin
 1E+07       0.00433804   Lin-Lin
 1.1E+07     0.00303496   Lin-Lin
 1.17E+07    0.00143185   Lin-Lin
 1.2E+07     0.00197134   Lin-Lin
 1.3E+07     0.0013767    Lin-Lin
 1.4E+07     0.00181235   Lin-Lin
 1.5E+07     0.000384262  Lin-Lin
 1.6E+07     0.000452738  Lin-Lin
 1.7E+07     0.000383793  Lin-Lin
 1.8E+07     0.000323238  Lin-Lin
 1.9E+07     0.0003718    Lin-Lin
 2E+07       0.000286986  Lin-Lin
 2E+07       0            Lin-Lin
