#LIBRARY    JENDL/HE-2007
#REACTION   O-16(N,N`)O-16-L8(A)C-12,SIG
#NUCLEUS    O-16
#MF         3
#MT         58
#EN-MIN     1.10133e+07
#EN-MAX     3e+09
#E,eV        Sig,b        Interpolation
 1.10133E+07 0            Lin-Lin
 1.10431E+07 0.000313422  Lin-Lin
 1.10992E+07 0.000901088  Lin-Lin
 1.11981E+07 0.0019295    Lin-Lin
 1.1348E+07  0.00347213   Lin-Lin
 1.15E+07    0.00501475   Lin-Lin
 1.16509E+07 0.00573685   Lin-Lin
 1.1778E+07  0.00639214   Lin-Lin
 1.17785E+07 0.00724768   Lin-Lin
 1.17814E+07 0.00793836   Lin-Lin
 1.17941E+07 0.00954162   Lin-Lin
 1.18174E+07 0.0102718    Lin-Lin
 1.18392E+07 0.0109335    Lin-Lin
 1.18435E+07 0.0110532    Lin-Lin
 1.188E+07   0.0124312    Lin-Lin
 1.1893E+07  0.0132287    Lin-Lin
 1.19E+07    0.0137862    Lin-Lin
 1.2E+07     0.01915      Lin-Lin
 1.21E+07    0.02195      Lin-Lin
 1.22E+07    0.0257       Lin-Lin
 1.23E+07    0.03125      Lin-Lin
 1.24E+07    0.037        Lin-Lin
 1.245E+07   0.03925      Lin-Lin
 1.25E+07    0.0397       Lin-Lin
 1.255E+07   0.0396       Lin-Lin
 1.26E+07    0.0391       Lin-Lin
 1.27E+07    0.0375       Lin-Lin
 1.28E+07    0.0352       Lin-Lin
 1.29E+07    0.0315       Lin-Lin
 1.3E+07     0.02851      Lin-Lin
 1.31E+07    0.0278       Lin-Lin
 1.32E+07    0.0278       Lin-Lin
 1.33E+07    0.0285       Lin-Lin
 1.34E+07    0.0303       Lin-Lin
 1.35E+07    0.03175      Lin-Lin
 1.36E+07    0.034        Lin-Lin
 1.37E+07    0.0365       Lin-Lin
 1.38E+07    0.038        Lin-Lin
 1.39E+07    0.0392       Lin-Lin
 1.4E+07     0.0401       Lin-Lin
 1.41E+07    0.0413       Lin-Lin
 1.42E+07    0.04199      Lin-Lin
 1.43499E+07 0.04165      Lin-Lin
 1.44E+07    0.0415       Lin-Lin
 1.45E+07    0.0403       Lin-Lin
 1.46E+07    0.0386       Lin-Lin
 1.47E+07    0.0359       Lin-Lin
 1.48E+07    0.0339       Lin-Lin
 1.49E+07    0.0315       Lin-Lin
 1.5E+07     0.0299878    Lin-Lin
 1.50025E+07 0.0300072    Lin-Lin
 1.53583E+07 0.0265221    Lin-Lin
 1.59079E+07 0.0212945    Lin-Lin
 1.63329E+07 0.0173737    Lin-Lin
 1.64771E+07 0.0160668    Lin-Lin
 1.68677E+07 0.0126518    Lin-Lin
 1.7E+07     0.0115135    Lin-Lin
 1.74305E+07 0.00885327   Lin-Lin
 1.78081E+07 0.00657308   Lin-Lin
 1.8E+07     0.00543298   Lin-Lin
 1.84932E+07 0.0041952    Lin-Lin
 1.8872E+07  0.00326686   Lin-Lin
 1.9E+07     0.00295741   Lin-Lin
 1.94936E+07 0.0023164    Lin-Lin
 1.98722E+07 0.00183564   Lin-Lin
 2E+07       0.00167539   Lin-Lin
 6E+07       0            Lin-Lin
