#LIBRARY    JENDL-4.0/HE
#REACTION   N-14(N,N`)N-14-L9,SIG
#NUCLEUS    N-14
#MF         3
#MT         59
#EN-MIN     7.53423e+06
#EN-MAX     2e+08
#E,eV        Sig,b        Interpolation
 7.53423E+06 0            Lin-Lin
 7.5793E+06  0.000926055  Lin-Lin
 7.63E+06    0.00208159   Lin-Lin
 7.6975E+06  0.00385371   Lin-Lin
 7.7651E+06  0.00608011   Lin-Lin
 7.8326E+06  0.00904688   Lin-Lin
 7.9002E+06  0.0124426    Lin-Lin
 7.9424E+06  0.0142997    Lin-Lin
 7.9847E+06  0.0159221    Lin-Lin
 8.0268E+06  0.017135     Lin-Lin
 8.1451E+06  0.0200327    Lin-Lin
 8.5E+06     0.0227173    Lin-Lin
 9.09941E+06 0.0280843    Lin-Lin
 9.5E+06     0.0315854    Lin-Lin
 9.55181E+06 0.0317405    Lin-Lin
 9.83054E+06 0.0338013    Lin-Lin
 1.00135E+07 0.0349755    Lin-Lin
 1.02435E+07 0.0369985    Lin-Lin
 1.0255E+07  0.0373638    Lin-Lin
 1.03449E+07 0.0378356    Lin-Lin
 1.04462E+07 0.0385586    Lin-Lin
 1.06489E+07 0.0397453    Lin-Lin
 1.0967E+07  0.0417361    Lin-Lin
 1.1E+07     0.041679     Lin-Lin
 1.15E+07    0.0423493    Lin-Lin
 1.15887E+07 0.0423216    Lin-Lin
 1.1846E+07  0.0419031    Lin-Lin
 1.18674E+07 0.0416912    Lin-Lin
 1.2E+07     0.040886     Lin-Lin
 1.20496E+07 0.0406574    Lin-Lin
 1.21032E+07 0.0399028    Lin-Lin
 1.21751E+07 0.0394597    Lin-Lin
 1.2329E+07  0.0387304    Lin-Lin
 1.2473E+07  0.0374881    Lin-Lin
 1.2597E+07  0.0368553    Lin-Lin
 1.27356E+07 0.0355942    Lin-Lin
 1.2865E+07  0.0349486    Lin-Lin
 1.3E+07     0.0338827    Lin-Lin
 1.3133E+07  0.0332837    Lin-Lin
 1.32716E+07 0.0323355    Lin-Lin
 1.3401E+07  0.0318256    Lin-Lin
 1.35E+07    0.031195     Lin-Lin
 1.4E+07     0.0293885    Lin-Lin
 1.426E+07   0.0285622    Lin-Lin
 1.45E+07    0.0285288    Lin-Lin
 1.55E+07    0.0285773    Lin-Lin
 1.6E+07     0.0285604    Lin-Lin
 1.65E+07    0.0284345    Lin-Lin
 1.7E+07     0.028178     Lin-Lin
 1.75E+07    0.0277843    Lin-Lin
 1.8E+07     0.027269     Lin-Lin
 1.85E+07    0.0266562    Lin-Lin
 2E+07       0.02455      Lin-Lin
 2E+07       0            Lin-Lin
