#LIBRARY    JENDL-4.0
#REACTION   O-16(N,N`)O-16-L11(A)C-12,SIG
#NUCLEUS    O-16
#MF         3
#MT         61
#EN-MIN     1.18e+07
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.18E+07    0            Lin-Lin
 1.1835E+07  0.00295264   Lin-Lin
 1.18435E+07 0.00320232   Lin-Lin
 1.188E+07   0.0044739    Lin-Lin
 1.1893E+07  0.00510169   Lin-Lin
 1.19E+07    0.00551283   Lin-Lin
 1.19423E+07 0.0081286    Lin-Lin
 1.195E+07   0.00877194   Lin-Lin
 1.19917E+07 0.0120447    Lin-Lin
 1.2E+07     0.011011     Lin-Lin
 1.20028E+07 0.0106188    Lin-Lin
 1.2008E+07  0.010704     Lin-Lin
 1.20467E+07 0.0112057    Lin-Lin
 1.2065E+07  0.010964     Lin-Lin
 1.20907E+07 0.0105236    Lin-Lin
 1.2123E+07  0.010179     Lin-Lin
 1.21346E+07 0.0100296    Lin-Lin
 1.21785E+07 0.0111997    Lin-Lin
 1.22E+07    0.0124115    Lin-Lin
 1.22421E+07 0.0144974    Lin-Lin
 1.225E+07   0.0148702    Lin-Lin
 1.2295E+07  0.0167206    Lin-Lin
 1.23421E+07 0.0184762    Lin-Lin
 1.2353E+07  0.0188677    Lin-Lin
 1.23677E+07 0.0193245    Lin-Lin
 1.241E+07   0.0205216    Lin-Lin
 1.24651E+07 0.0216274    Lin-Lin
 1.2468E+07  0.0216673    Lin-Lin
 1.25E+07    0.0217891    Lin-Lin
 1.2525E+07  0.0218046    Lin-Lin
 1.25568E+07 0.0214711    Lin-Lin
 1.2583E+07  0.02107      Lin-Lin
 1.264E+07   0.0195655    Lin-Lin
 1.26806E+07 0.0182119    Lin-Lin
 1.26987E+07 0.0175911    Lin-Lin
 1.27477E+07 0.0171711    Lin-Lin
 1.2755E+07  0.0173695    Lin-Lin
 1.2813E+07  0.0192838    Lin-Lin
 1.28456E+07 0.0205761    Lin-Lin
 1.287E+07   0.0207366    Lin-Lin
 1.28946E+07 0.0210474    Lin-Lin
 1.29318E+07 0.0197227    Lin-Lin
 1.2977E+07  0.0170885    Lin-Lin
 1.29925E+07 0.0161845    Lin-Lin
 1.30061E+07 0.0154141    Lin-Lin
 1.30433E+07 0.0141287    Lin-Lin
 1.3077E+07  0.0141088    Lin-Lin
 1.31108E+07 0.014668     Lin-Lin
 1.31446E+07 0.015417     Lin-Lin
 1.31784E+07 0.0159289    Lin-Lin
 1.32122E+07 0.0159058    Lin-Lin
 1.325E+07   0.0155566    Lin-Lin
 1.32797E+07 0.0153655    Lin-Lin
 1.33135E+07 0.0155727    Lin-Lin
 1.3388E+07  0.0166323    Lin-Lin
 1.34554E+07 0.0174261    Lin-Lin
 1.35015E+07 0.0178979    Lin-Lin
 1.35986E+07 0.0195327    Lin-Lin
 1.37E+07    0.0215       Lin-Lin
 1.38E+07    0.0228       Lin-Lin
 1.4E+07     0.0244       Lin-Lin
 1.41E+07    0.02549      Lin-Lin
 1.42E+07    0.02625      Lin-Lin
 1.43E+07    0.02625      Lin-Lin
 1.44E+07    0.0262       Lin-Lin
 1.45E+07    0.02599      Lin-Lin
 1.46E+07    0.0256       Lin-Lin
 1.47E+07    0.02505      Lin-Lin
 1.48499E+07 0.02395      Lin-Lin
 1.49E+07    0.0236       Lin-Lin
 1.5E+07     0.0225061    Lin-Lin
 1.50025E+07 0.0225202    Lin-Lin
 1.56307E+07 0.0191264    Lin-Lin
 1.619E+07   0.0162174    Lin-Lin
 1.64771E+07 0.0147629    Lin-Lin
 1.68677E+07 0.0113289    Lin-Lin
 1.7E+07     0.0101843    Lin-Lin
 1.74305E+07 0.00772875   Lin-Lin
 1.78081E+07 0.00562399   Lin-Lin
 1.8E+07     0.00457161   Lin-Lin
 1.84932E+07 0.00351112   Lin-Lin
 1.8872E+07  0.00271576   Lin-Lin
 1.9E+07     0.00245064   Lin-Lin
 1.94936E+07 0.00194073   Lin-Lin
 2E+07       0.00003082   Lin-Lin
 6E+07       0            Lin-Lin
